dataset,target,epsilon,L0,lambda_penalty,hypergraph_mode,build_time_seconds
hospital,ProviderNumber,0.0,0.025,1000.0,MAX,0.521338
hospital,ProviderNumber,0.0,0.05,1000.0,MAX,0.515561
hospital,ProviderNumber,0.0,0.1,1000.0,MAX,0.498934
hospital,ProviderNumber,0.0,0.2,1000.0,MAX,0.534908
hospital,ProviderNumber,0.0,0.3,1000.0,MAX,0.530061
hospital,ProviderNumber,0.0,0.4,1000.0,MAX,0.543833
hospital,ProviderNumber,0.0,0.5,1000.0,MAX,0.550479
hospital,ProviderNumber,0.0,0.6,1000.0,MAX,0.540913
hospital,ProviderNumber,0.0,0.7,1000.0,MAX,0.549925
hospital,ProviderNumber,0.0,0.8,1000.0,MAX,0.552597
hospital,ProviderNumber,0.0,0.9,1000.0,MAX,0.538887
hospital,ProviderNumber,0.1,0.025,1000.0,MAX,0.531093
hospital,ProviderNumber,0.1,0.05,1000.0,MAX,0.535075
hospital,ProviderNumber,0.1,0.1,1000.0,MAX,0.528536
hospital,ProviderNumber,0.1,0.2,1000.0,MAX,0.525448
hospital,ProviderNumber,0.1,0.3,1000.0,MAX,0.522592
hospital,ProviderNumber,0.1,0.4,1000.0,MAX,0.534980
hospital,ProviderNumber,0.1,0.5,1000.0,MAX,0.523859
hospital,ProviderNumber,0.1,0.6,1000.0,MAX,0.531446
hospital,ProviderNumber,0.1,0.7,1000.0,MAX,0.532053
hospital,ProviderNumber,0.1,0.8,1000.0,MAX,0.532613
hospital,ProviderNumber,0.1,0.9,1000.0,MAX,0.535910
hospital,ProviderNumber,0.5,0.025,1000.0,MAX,0.529286
hospital,ProviderNumber,0.5,0.05,1000.0,MAX,0.532523
hospital,ProviderNumber,0.5,0.1,1000.0,MAX,0.537946
hospital,ProviderNumber,0.5,0.2,1000.0,MAX,0.523240
hospital,ProviderNumber,0.5,0.3,1000.0,MAX,0.532518
hospital,ProviderNumber,0.5,0.4,1000.0,MAX,0.531977
hospital,ProviderNumber,0.5,0.5,1000.0,MAX,0.515929
hospital,ProviderNumber,0.5,0.6,1000.0,MAX,0.549213
hospital,ProviderNumber,0.5,0.7,1000.0,MAX,0.532385
hospital,ProviderNumber,0.5,0.8,1000.0,MAX,0.535889
hospital,ProviderNumber,0.5,0.9,1000.0,MAX,0.533897
hospital,ProviderNumber,0.75,0.025,1000.0,MAX,0.531977
hospital,ProviderNumber,0.75,0.05,1000.0,MAX,0.532606
hospital,ProviderNumber,0.75,0.1,1000.0,MAX,0.537765
hospital,ProviderNumber,0.75,0.2,1000.0,MAX,0.528451
hospital,ProviderNumber,0.75,0.3,1000.0,MAX,0.552699
hospital,ProviderNumber,0.75,0.4,1000.0,MAX,0.542507
hospital,ProviderNumber,0.75,0.5,1000.0,MAX,0.536577
hospital,ProviderNumber,0.75,0.6,1000.0,MAX,0.527353
hospital,ProviderNumber,0.75,0.7,1000.0,MAX,0.530665
hospital,ProviderNumber,0.75,0.8,1000.0,MAX,0.528140
hospital,ProviderNumber,0.75,0.9,1000.0,MAX,0.530623
hospital,ProviderNumber,1.0,0.025,1000.0,MAX,0.525902
hospital,ProviderNumber,1.0,0.05,1000.0,MAX,0.547695
hospital,ProviderNumber,1.0,0.1,1000.0,MAX,0.582325
hospital,ProviderNumber,1.0,0.2,1000.0,MAX,0.532226
hospital,ProviderNumber,1.0,0.3,1000.0,MAX,0.536645
hospital,ProviderNumber,1.0,0.4,1000.0,MAX,0.511193
hospital,ProviderNumber,1.0,0.5,1000.0,MAX,0.526308
hospital,ProviderNumber,1.0,0.6,1000.0,MAX,0.509486
hospital,ProviderNumber,1.0,0.7,1000.0,MAX,0.517927
hospital,ProviderNumber,1.0,0.8,1000.0,MAX,0.532031
hospital,ProviderNumber,1.0,0.9,1000.0,MAX,0.535028
hospital,ProviderNumber,1.5,0.025,1000.0,MAX,0.535696
hospital,ProviderNumber,1.5,0.05,1000.0,MAX,0.535001
hospital,ProviderNumber,1.5,0.1,1000.0,MAX,0.530167
hospital,ProviderNumber,1.5,0.2,1000.0,MAX,0.533193
hospital,ProviderNumber,1.5,0.3,1000.0,MAX,0.526457
hospital,ProviderNumber,1.5,0.4,1000.0,MAX,0.547703
hospital,ProviderNumber,1.5,0.5,1000.0,MAX,0.562395
hospital,ProviderNumber,1.5,0.6,1000.0,MAX,0.541515
hospital,ProviderNumber,1.5,0.7,1000.0,MAX,0.531364
hospital,ProviderNumber,1.5,0.8,1000.0,MAX,0.502917
