dataset,target,epsilon,L0,lambda_penalty,hypergraph_mode,build_time_seconds
airport,continent,5.0,0.9,1000.0,MAX,0.005458
airport,continent,10.0,0.025,1000.0,MAX,0.007637
airport,continent,10.0,0.05,1000.0,MAX,0.006898
airport,continent,10.0,0.1,1000.0,MAX,0.002702
airport,continent,10.0,0.2,1000.0,MAX,0.003319
airport,continent,10.0,0.3,1000.0,MAX,0.004210
airport,continent,10.0,0.4,1000.0,MAX,0.002997
airport,continent,10.0,0.5,1000.0,MAX,0.002699
airport,continent,10.0,0.6,1000.0,MAX,0.002545
airport,continent,10.0,0.7,1000.0,MAX,0.004831
airport,continent,10.0,0.8,1000.0,MAX,0.002794
airport,continent,10.0,0.9,1000.0,MAX,0.003598
