dataset,target,hypergraph_mode,leakage_method,tau,mask,mask_size,inference_zone_size,leakage,utility
airport,scheduled_service,MAX,greedy_disjoint,,continent|iso_country|municipality|type,4,6,0.0,-0.41666666666666663
airport,scheduled_service,MAX,greedy_disjoint,,continent|keywords|municipality|type,4,6,0.2288821396123376,-0.6455488062790042
airport,scheduled_service,MAX,greedy_disjoint,,home_link|iso_country|keywords|municipality,4,6,0.29185792416741285,-0.6666666666666666
airport,scheduled_service,MAX,greedy_disjoint,,home_link|iso_country|keywords|type,4,6,0.36457513891655857,-0.6666666666666666
airport,scheduled_service,MAX,greedy_disjoint,,home_link|iso_country|municipality|type,4,6,0.0920468199405825,-0.5087134866072491
airport,scheduled_service,MAX,greedy_disjoint,,home_link|keywords|municipality|type,4,6,0.2288821396123376,-0.6455488062790042
airport,scheduled_service,MAX,greedy_disjoint,,iso_country|keywords|municipality|type,4,6,0.0920468199405825,-0.5087134866072491
airport,scheduled_service,MAX,greedy_disjoint,,continent|home_link|iso_country|keywords|municipality,5,6,0.07059070463900075,-0.6539240379723341
airport,scheduled_service,MAX,greedy_disjoint,,continent|home_link|iso_country|keywords|type,5,6,0.2693617282096118,-0.8333333333333334
airport,scheduled_service,MAX,greedy_disjoint,,continent|home_link|iso_country|municipality|type,5,6,0.0,-0.5833333333333334
airport,scheduled_service,MAX,greedy_disjoint,,continent|home_link|keywords|municipality|type,5,6,0.2288821396123376,-0.812215472945671
airport,scheduled_service,MAX,greedy_disjoint,,continent|iso_country|keywords|municipality|type,5,6,0.0,-0.5833333333333334
airport,scheduled_service,MAX,greedy_disjoint,,home_link|iso_country|keywords|municipality|type,5,6,0.0920468199405825,-0.6753801532739159
airport,scheduled_service,MAX,greedy_disjoint,,continent|home_link|iso_country|keywords|municipality|type,6,6,0.0,-0.75
airport,type,MAX,greedy_disjoint,,,0,6,0.626959591112793,0.0
airport,type,MAX,greedy_disjoint,,continent,1,6,0.5842171428591421,-0.16666666666666666
airport,type,MAX,greedy_disjoint,,home_link,1,6,0.5196653122663746,-0.16666666666666666
airport,type,MAX,greedy_disjoint,,iso_country,1,6,0.626959591112793,-0.16666666666666666
airport,type,MAX,greedy_disjoint,,keywords,1,6,0.5190731258601999,-0.16666666666666666
airport,type,MAX,greedy_disjoint,,municipality,1,6,0.5301646324266205,-0.16666666666666666
airport,type,MAX,greedy_disjoint,,scheduled_service,1,6,0.29995590873541556,-0.16666666666666666
airport,type,MAX,greedy_disjoint,,continent|home_link,2,6,0.4646292356222066,-0.3333333333333333
airport,type,MAX,greedy_disjoint,,continent|iso_country,2,6,0.5620458644930748,-0.3333333333333333
airport,type,MAX,greedy_disjoint,,continent|keywords,2,6,0.4639691973259432,-0.3333333333333333
airport,type,MAX,greedy_disjoint,,continent|municipality,2,6,0.47633155320031006,-0.3333333333333333
airport,type,MAX,greedy_disjoint,,continent|scheduled_service,2,6,0.29995590873541556,-0.3333333333333333
airport,type,MAX,greedy_disjoint,,home_link|iso_country,2,6,0.5196653122663746,-0.3333333333333333
