OfWeek', 'OriginState', 'OriginWac', 'OriginCityMarketID'} Leakage 0.8160552884069705
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginCityName', 'DayofMonth', 'Month', 'FlightDate'} Leakage 0.6810087402103261
Mask Size 5 Mask {'OriginAirportSeqID', 'DayofMonth', 'Month', 'OriginState', 'FlightDate'} Leakage 0.6632944335468509
Mask Size 5 Mask {'OriginAirportSeqID', 'DayofMonth', 'Month', 'OriginStateFips', 'FlightDate'} Leakage 0.6534070296827875
Mask Size 5 Mask {'OriginAirportSeqID', 'DayofMonth', 'Month', 'OriginStateName', 'FlightDate'} Leakage 0.6529247973957951
Mask Size 5 Mask {'OriginAirportSeqID', 'DayofMonth', 'Month', 'OriginWac', 'FlightDate'} Leakage 0.6509193832078295
Mask Size 5 Mask {'OriginCityName', 'DayofMonth', 'Month', 'OriginCityMarketID', 'FlightDate'} Leakage 0.607168703250587
Mask Size 5 Mask {'DayofMonth', 'Month', 'OriginState', 'OriginCityMarketID', 'FlightDate'} Leakage 0.6044636420500689
Mask Size 5 Mask {'DayofMonth', 'Month', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.6445610749772623
Mask Size 5 Mask {'DayofMonth', 'Month', 'OriginStateName', 'OriginCityMarketID', 'FlightDate'} Leakage 0.6304510405453994
Mask Size 5 Mask {'DayofMonth', 'Month', 'OriginWac', 'OriginCityMarketID', 'FlightDate'} Leakage 0.5962608008198127
Mask Size 5 Mask {'OriginCityName', 'DayofMonth', 'Month', 'OriginState', 'FlightDate'} Leakage 0.6460419680032932
Mask Size 5 Mask {'OriginCityName', 'DayofMonth', 'Month', 'OriginStateFips', 'FlightDate'} Leakage 0.6644222749383775
Mask Size 5 Mask {'OriginCityName', 'DayofMonth', 'Month', 'OriginStateName', 'FlightDate'} Leakage 0.6468171219510078
Mask Size 5 Mask {'OriginCityName', 'DayofMonth', 'Month', 'OriginWac', 'FlightDate'} Leakage 0.6390898753263488
Mask Size 5 Mask {'DayofMonth', 'Month', 'OriginState', 'OriginStateFips', 'FlightDate'} Leakage 0.6906445567158241
Mask Size 5 Mask {'DayofMonth', 'Month', 'OriginStateName', 'OriginState', 'FlightDate'} Leakage 0.6672869408070405
Mask Size 5 Mask {'DayofMonth', 'Month', 'OriginState', 'OriginWac', 'FlightDate'} Leakage 0.6747803323127024
Mask Size 5 Mask {'DayofMonth', 'Month', 'OriginStateName', 'OriginStateFips', 'FlightDate'} Leakage 0.7101771300109871
Mask Size 5 Mask {'DayofMonth', 'Month', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.6831179120198073
Mask Size 5 Mask {'DayofMonth', 'Month', 'OriginStateName', 'OriginWac', 'FlightDate'} Leakage 0.6586091074078272
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Origin', 'DayofMonth', 'FlightDate'} Leakage 0.9566468897331507
Mask Size 5 Mask {'OriginAirportID', 'Origin', 'DayofMonth', 'OriginCityMarketID', 'FlightDate'} Leakage 0.9078911124402227
Mask Size 5 Mask {'OriginAirportID', 'Origin', 'DayofMonth', 'OriginCityName', 'FlightDate'} Leakage 0.9118527820186372
Mask Size 5 Mask {'OriginAirportID', 'Origin', 'DayofMonth', 'OriginState', 'FlightDate'} Leakage 0.9069273389700577
Mask Size 5 Mask {'OriginAirportID', 'Origin', 'DayofMonth', 'OriginStateFips', 'FlightDate'} Leakage 0.9102302005446068
Mask Size 5 Mask {'OriginAirportID', 'Origin', 'DayofMonth', 'OriginStateName', 'FlightDate'} Leakage 0.906284593725856
Mask Size 5 Mask {'OriginAirportID', 'Origin', 'DayofMonth', 'OriginWac', 'FlightDate'} Leakage 0.9055018728934611
Mask Size 5 Mask {'OriginAirportSeqID', 'Origin', 'DayofMonth', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8885318003082624
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginCityName', 'Origin', 'DayofMonth', 'FlightDate'} Leakage 0.9084838203577839
Mask Size 5 Mask {'OriginAirportSeqID', 'Origin', 'DayofMonth', 'OriginState', 'FlightDate'} Leakage 0.9111341860353712
Mask Size 5 Mask {'OriginAirportSeqID', 'Origin', 'DayofMonth', 'OriginStateFips', 'FlightDate'} Leakage 0.9065190240690065
Mask Size 5 Mask {'OriginAirportSeqID', 'Origin', 'DayofMonth', 'OriginStateName', 'FlightDate'} Leakage 0.9062775683914396
Mask Size 5 Mask {'OriginAirportSeqID', 'Origin', 'DayofMonth', 'OriginWac', 'FlightDate'} Leakage 0.9053283101024932
Mask Size 5 Mask {'OriginCityName', 'Origin', 'DayofMonth', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8205232277377258
Mask Size 5 Mask {'Origin', 'DayofMonth', 'OriginState', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8457105206084908
Mask Size 5 Mask {'Origin', 'DayofMonth', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8674069653761134
Mask Size 5 Mask {'Origin', 'DayofMonth', 'OriginStateName', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8643495549820952
Mask Size 5 Mask {'Origin', 'DayofMonth', 'OriginWac', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8631593921058921
Mask Size 5 Mask {'OriginCityName', 'Origin', 'DayofMonth', 'OriginState', 'FlightDate'} Leakage 0.8718481140174659
Mask Size 5 Mask {'OriginCityName', 'Origin', 'DayofMonth', 'OriginStateFips', 'FlightDate'} Leakage 0.8829164446007924
Mask Size 5 Mask {'OriginCityName', 'Origin', 'DayofMonth', 'OriginStateName', 'FlightDate'} Leakage 0.8720213638705185
Mask Size 5 Mask {'OriginCityName', 'Origin', 'DayofMonth', 'OriginWac', 'FlightDate'} Leakage 0.8674124793845496
Mask Size 5 Mask {'Origin', 'DayofMonth', 'OriginState', 'OriginStateFips', 'FlightDate'} Leakage 0.9163696720730506
Mask Size 5 Mask {'Origin', 'DayofMonth', 'OriginStateName', 'OriginState', 'FlightDate'} Leakage 0.9050114611349116
Mask Size 5 Mask {'Origin', 'DayofMonth', 'OriginState', 'OriginWac', 'FlightDate'} Leakage 0.9087288010190506
Mask Size 5 Mask {'Origin', 'DayofMonth', 'OriginStateName', 'OriginStateFips', 'FlightDate'} Leakage 0.9253809787045056
Mask Size 5 Mask {'Origin', 'DayofMonth', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.912778156335825
Mask Size 5 Mask {'Origin', 'DayofMonth', 'OriginStateName', 'OriginWac', 'FlightDate'} Leakage 0.9006433648261429
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginAirportID', 'DayofMonth', 'OriginCityMarketID', 'FlightDate'} Leakage 0.9472055211466138
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'DayofMonth', 'FlightDate'} Leakage 0.9544423654949941
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginAirportID', 'DayofMonth', 'OriginState', 'FlightDate'} Leakage 0.9327603402641501
Mask Size 5 Mask {'OriginAirportSeqID', 'OriginAirportID', 'DayofMonth', 'OriginStateFips', 'FlightDate'} Leakage 0.9338309043222499
