OfWeek', 'OriginState', 'OriginWac', 'OriginCityMarketID'} Leakage 0.8160552884069705
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'Origin', 'OriginState', 'OriginWac', 'FlightDate'} Leakage 0.9210486597591478
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'Origin', 'OriginStateName', 'OriginStateFips', 'FlightDate'} Leakage 0.9855762753131633
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'Origin', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.9855762753131633
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'Origin', 'OriginStateName', 'OriginWac', 'FlightDate'} Leakage 0.9822908466038381
Mask Size 6 Mask {'OriginAirportSeqID', 'Origin', 'OriginStateName', 'OriginState', 'OriginStateFips', 'FlightDate'} Leakage 0.9222709489947887
Mask Size 6 Mask {'OriginAirportSeqID', 'Origin', 'OriginState', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.9217326945106997
Mask Size 6 Mask {'OriginAirportSeqID', 'Origin', 'OriginStateName', 'OriginState', 'OriginWac', 'FlightDate'} Leakage 0.910950144050133
Mask Size 6 Mask {'OriginAirportSeqID', 'Origin', 'OriginStateName', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.9817118454609698
Mask Size 6 Mask {'OriginCityName', 'Origin', 'OriginState', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.96707703238295
Mask Size 6 Mask {'OriginCityName', 'Origin', 'OriginStateName', 'OriginState', 'OriginCityMarketID', 'FlightDate'} Leakage 0.9655923780363226
Mask Size 6 Mask {'OriginCityName', 'Origin', 'OriginState', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.9740141820483241
Mask Size 6 Mask {'OriginCityName', 'Origin', 'OriginStateName', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.963446343364569
Mask Size 6 Mask {'OriginCityName', 'Origin', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.9640717600367685
Mask Size 6 Mask {'OriginCityName', 'Origin', 'OriginStateName', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.9638098081965106
Mask Size 6 Mask {'Origin', 'OriginStateName', 'OriginState', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.9837914316246185
Mask Size 6 Mask {'Origin', 'OriginState', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.984977277984923
Mask Size 6 Mask {'Origin', 'OriginStateName', 'OriginState', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.9840967994507341
Mask Size 6 Mask {'Origin', 'OriginStateName', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.9850546907256926
Mask Size 6 Mask {'OriginCityName', 'Origin', 'OriginStateName', 'OriginState', 'OriginStateFips', 'FlightDate'} Leakage 0.9965518816038089
Mask Size 6 Mask {'OriginCityName', 'Origin', 'OriginState', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.9966350311075042
Mask Size 6 Mask {'OriginCityName', 'Origin', 'OriginStateName', 'OriginState', 'OriginWac', 'FlightDate'} Leakage 0.9966343654362296
Mask Size 6 Mask {'OriginCityName', 'Origin', 'OriginStateName', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.9964615867165705
Mask Size 6 Mask {'Origin', 'OriginStateName', 'OriginState', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.9992149958806357
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'OriginState', 'OriginCityMarketID', 'FlightDate'} Leakage 0.9441611618938639
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.9831518986456084
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'OriginStateName', 'OriginCityMarketID', 'FlightDate'} Leakage 0.9818459043797771
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.9685041580597351
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginState', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8892587380327646
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginStateName', 'OriginState', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8859498539508649
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginState', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.8466786282300289
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginStateName', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.9587611382213793
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.9260664412669796
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginStateName', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.9232478123181291
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'OriginState', 'OriginStateFips', 'FlightDate'} Leakage 0.9249491940070339
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'OriginStateName', 'OriginState', 'FlightDate'} Leakage 0.9430635356171975
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'OriginState', 'OriginWac', 'FlightDate'} Leakage 0.8789288972598505
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'OriginStateName', 'OriginStateFips', 'FlightDate'} Leakage 0.9830498546772174
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.9588918831660748
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'OriginStateName', 'OriginWac', 'FlightDate'} Leakage 0.957325379209901
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginStateName', 'OriginState', 'OriginStateFips', 'FlightDate'} Leakage 0.9095039397054189
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginState', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.8329416085154674
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginStateName', 'OriginState', 'OriginWac', 'FlightDate'} Leakage 0.8505002080167121
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginStateName', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.92916383402038
Mask Size 6 Mask {'OriginAirportID', 'OriginCityName', 'OriginState', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.9804505415774236
Mask Size 6 Mask {'OriginAirportID', 'OriginCityName', 'OriginStateName', 'OriginState', 'OriginCityMarketID', 'FlightDate'} Leakage 0.9403531682678063
Mask Size 6 Mask {'OriginAirportID', 'OriginCityName', 'OriginState', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.9735281276445652
Mask Size 6 Mask {'OriginAirportID', 'OriginCityName', 'OriginStateName', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.9322463412147394
Mask Size 6 Mask {'OriginAirportID', 'OriginCityName', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.9384620853181825
Mask Size 6 Mask {'OriginAirportID', 'OriginCityName', 'OriginStateName', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.8854003677383724
Mask Size 6 Mask {'OriginAirportID', 'OriginStateName', 'OriginState', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.9324524774746017
Mask Size 6 Mask {'OriginAirportID', 'OriginState', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.9639263019150854
Mask Size 6 Mask {'OriginAirportID', 'OriginStateName', 'OriginState', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.9147996825028811
Mask Size 6 Mask {'OriginAirportID', 'OriginStateName', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.8897564062883021
Mask Size 6 Mask {'OriginAirportID', 'OriginCityName', 'OriginStateName', 'OriginState', 'OriginStateFips', 'FlightDate'} Leakage 0.9721708794780015
Mask Size 6 Mask {'OriginAirportID', 'OriginCityName', 'OriginState', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.9880253250624708
Mask Size 6 Mask {'OriginAirportID', 'OriginCityName', 'OriginStateName', 'OriginState', 'OriginWac', 'FlightDate'} Leakage 0.9609627210716261
Mask Size 6 Mask {'OriginAirportID', 'OriginCityName', 'OriginStateName', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.9409999099643752
Mask Size 6 Mask {'OriginAirportID', 'OriginStateName', 'OriginState', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.9706183653662694
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'OriginState', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.9042029187037911
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'OriginStateName', 'OriginState', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8870006944145364
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'OriginState', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.9027546569038362
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'OriginStateName', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.9640295256331306
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.9699112522939908
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'OriginStateName', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.9628843840688054
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginStateName', 'OriginState', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.8683928435676825
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginState', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.8730817302143596
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginStateName', 'OriginState', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.8573642492343666
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginStateName', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.9517274357201521
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'OriginStateName', 'OriginState', 'OriginStateFips', 'FlightDate'} Leakage 0.9222618379435062
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'OriginState', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.9217234502532966
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'OriginStateName', 'OriginState', 'OriginWac', 'FlightDate'} Leakage 0.910947687227837
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'OriginStateName', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.9816793579350419
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginStateName', 'OriginState', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.904701626191462
Mask Size 6 Mask {'OriginCityName', 'OriginStateName', 'OriginState', 'OriginStateFips', 'OriginCityMarketID', 'FlightDate'} Leakage 0.9857726986943722
Mask Size 6 Mask {'OriginCityName', 'OriginState', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.987889996387687
Mask Size 6 Mask {'OriginCityName', 'OriginStateName', 'OriginState', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.9871781665975429
Mask Size 6 Mask {'OriginCityName', 'OriginStateName', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.9851777797942286
Mask Size 6 Mask {'OriginStateName', 'OriginState', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac', 'FlightDate'} Leakage 0.9933395915661558
Mask Size 6 Mask {'OriginCityName', 'OriginStateName', 'OriginState', 'OriginStateFips', 'OriginWac', 'FlightDate'} Leakage 0.999215888423759
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Origin', 'OriginCityName', 'Month', 'OriginCityMarketID'} Leakage 0.9879078273555001
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Origin', 'Month', 'OriginState', 'OriginCityMarketID'} Leakage 0.8620137292118032
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Origin', 'Month', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.9589718172018123
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Origin', 'Month', 'OriginStateName', 'OriginCityMarketID'} Leakage 0.9563951521166574
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Origin', 'Month', 'OriginCityMarketID', 'OriginWac'} Leakage 0.9141549330364466
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Origin', 'OriginCityName', 'Month', 'OriginState'} Leakage 0.888278952887686
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Origin', 'OriginCityName', 'Month', 'OriginStateFips'} Leakage 0.9813866279987993
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Origin', 'OriginCityName', 'Month', 'OriginStateName'} Leakage 0.980359386317649
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Origin', 'OriginCityName', 'Month', 'OriginWac'} Leakage 0.9447779220006678
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Origin', 'Month', 'OriginState', 'OriginStateFips'} Leakage 0.8360812403762312
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Origin', 'Month', 'OriginStateName', 'OriginState'} Leakage 0.8781029942465429
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Origin', 'Month', 'OriginState', 'OriginWac'} Leakage 0.7356184175917762
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Origin', 'Month', 'OriginStateName', 'OriginStateFips'} Leakage 0.9629659390497559
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Origin', 'Month', 'OriginStateFips', 'OriginWac'} Leakage 0.9102327587561307
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Origin', 'Month', 'OriginStateName', 'OriginWac'} Leakage 0.9067791103459318
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'OriginCityName', 'Month', 'OriginState', 'OriginCityMarketID'} Leakage 0.9682241367258526
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'OriginCityName', 'Month', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.9574359363785118
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'OriginCityName', 'Month', 'OriginStateName', 'OriginCityMarketID'} Leakage 0.8693583304971195
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'OriginCityName', 'Month', 'OriginCityMarketID', 'OriginWac'} Leakage 0.8836255955489095
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'Month', 'OriginState', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.9497347207075307
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'Month', 'OriginStateName', 'OriginState', 'OriginCityMarketID'} Leakage 0.8465494341595218
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'Month', 'OriginState', 'OriginCityMarketID', 'OriginWac'} Leakage 0.9195961321032762
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'Month', 'OriginStateName', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.8510344900948736
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'Month', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac'} Leakage 0.8647002835146842
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'Month', 'OriginStateName', 'OriginCityMarketID', 'OriginWac'} Leakage 0.7491375090704299
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'OriginCityName', 'Month', 'OriginState', 'OriginStateFips'} Leakage 0.982861343720123
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'OriginCityName', 'Month', 'OriginStateName', 'OriginState'} Leakage 0.9181131829959881
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'OriginCityName', 'Month', 'OriginState', 'OriginWac'} Leakage 0.9658430424989803
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'OriginCityName', 'Month', 'OriginStateName', 'OriginStateFips'} Leakage 0.9180853182721291
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'OriginCityName', 'Month', 'OriginStateFips', 'OriginWac'} Leakage 0.9242281265067536
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'OriginCityName', 'Month', 'OriginStateName', 'OriginWac'} Leakage 0.8215702848154124
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'Month', 'OriginStateName', 'OriginState', 'OriginStateFips'} Leakage 0.9391228365235438
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'Month', 'OriginState', 'OriginStateFips', 'OriginWac'} Leakage 0.9738163424876477
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'Month', 'OriginStateName', 'OriginState', 'OriginWac'} Leakage 0.9145880053551341
Mask Size 6 Mask {'OriginAirportID', 'Origin', 'Month', 'OriginStateName', 'OriginStateFips', 'OriginWac'} Leakage 0.8708759824794008
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'Origin', 'Month', 'OriginState', 'OriginCityMarketID'} Leakage 0.8159295199067802
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'Origin', 'Month', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.9468582690904409
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'Origin', 'Month', 'OriginStateName', 'OriginCityMarketID'} Leakage 0.9321839804916261
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'Origin', 'Month', 'OriginCityMarketID', 'OriginWac'} Leakage 0.9501145350479647
Mask Size 6 Mask {'OriginAirportSeqID', 'Origin', 'Month', 'OriginState', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.7774035104778372
Mask Size 6 Mask {'OriginAirportSeqID', 'Origin', 'Month', 'OriginStateName', 'OriginState', 'OriginCityMarketID'} Leakage 0.7384910426771902
Mask Size 6 Mask {'OriginAirportSeqID', 'Origin', 'Month', 'OriginState', 'OriginCityMarketID', 'OriginWac'} Leakage 0.7450115467599099
Mask Size 6 Mask {'OriginAirportSeqID', 'Origin', 'Month', 'OriginStateName', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.9177343048540628
Mask Size 6 Mask {'OriginAirportSeqID', 'Origin', 'Month', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac'} Leakage 0.9232376758732068
Mask Size 6 Mask {'OriginAirportSeqID', 'Origin', 'Month', 'OriginStateName', 'OriginCityMarketID', 'OriginWac'} Leakage 0.9057471920057036
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'Origin', 'Month', 'OriginState', 'OriginStateFips'} Leakage 0.8586905511519474
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'Origin', 'Month', 'OriginStateName', 'OriginState'} Leakage 0.8279674686595282
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'Origin', 'Month', 'OriginState', 'OriginWac'} Leakage 0.8271945891605645
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'Origin', 'Month', 'OriginStateName', 'OriginStateFips'} Leakage 0.968429951122552
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'Origin', 'Month', 'OriginStateFips', 'OriginWac'} Leakage 0.968429951122552
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginCityName', 'Origin', 'Month', 'OriginStateName', 'OriginWac'} Leakage 0.9612389413668389
Mask Size 6 Mask {'OriginAirportSeqID', 'Origin', 'Month', 'OriginStateName', 'OriginState', 'OriginStateFips'} Leakage 0.82986988501856
Mask Size 6 Mask {'OriginAirportSeqID', 'Origin', 'Month', 'OriginState', 'OriginStateFips', 'OriginWac'} Leakage 0.8286917759836101
Mask Size 6 Mask {'OriginAirportSeqID', 'Origin', 'Month', 'OriginStateName', 'OriginState', 'OriginWac'} Leakage 0.8050913778579926
Mask Size 6 Mask {'OriginAirportSeqID', 'Origin', 'Month', 'OriginStateName', 'OriginStateFips', 'OriginWac'} Leakage 0.9599716477393382
Mask Size 6 Mask {'OriginCityName', 'Origin', 'Month', 'OriginState', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.9279395773680111
Mask Size 6 Mask {'OriginCityName', 'Origin', 'Month', 'OriginStateName', 'OriginState', 'OriginCityMarketID'} Leakage 0.9246900276638411
Mask Size 6 Mask {'OriginCityName', 'Origin', 'Month', 'OriginState', 'OriginCityMarketID', 'OriginWac'} Leakage 0.943123322119178
Mask Size 6 Mask {'OriginCityName', 'Origin', 'Month', 'OriginStateName', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.9199928762032487
Mask Size 6 Mask {'OriginCityName', 'Origin', 'Month', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac'} Leakage 0.9213617622114603
Mask Size 6 Mask {'OriginCityName', 'Origin', 'Month', 'OriginStateName', 'OriginCityMarketID', 'OriginWac'} Leakage 0.9207884129150731
Mask Size 6 Mask {'Origin', 'Month', 'OriginStateName', 'OriginState', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.964523359468221
Mask Size 6 Mask {'Origin', 'Month', 'OriginState', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac'} Leakage 0.967118890675921
Mask Size 6 Mask {'Origin', 'Month', 'OriginStateName', 'OriginState', 'OriginCityMarketID', 'OriginWac'} Leakage 0.9651917358692813
Mask Size 6 Mask {'Origin', 'Month', 'OriginStateName', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac'} Leakage 0.9672883284642106
Mask Size 6 Mask {'OriginCityName', 'Origin', 'Month', 'OriginStateName', 'OriginState', 'OriginStateFips'} Leakage 0.9924529018220707
Mask Size 6 Mask {'OriginCityName', 'Origin', 'Month', 'OriginState', 'OriginStateFips', 'OriginWac'} Leakage 0.9926348959985257
Mask Size 6 Mask {'OriginCityName', 'Origin', 'Month', 'OriginStateName', 'OriginState', 'OriginWac'} Leakage 0.9926334390049176
Mask Size 6 Mask {'OriginCityName', 'Origin', 'Month', 'OriginStateName', 'OriginStateFips', 'OriginWac'} Leakage 0.9922552681272109
Mask Size 6 Mask {'Origin', 'Month', 'OriginStateName', 'OriginState', 'OriginStateFips', 'OriginWac'} Leakage 0.9982818156228436
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'Month', 'OriginState', 'OriginCityMarketID'} Leakage 0.8777822728494392
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'Month', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.9631235762745973
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'Month', 'OriginStateName', 'OriginCityMarketID'} Leakage 0.9602650703268526
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'Month', 'OriginCityMarketID', 'OriginWac'} Leakage 0.9310632107115873
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Month', 'OriginState', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.7576141302636977
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Month', 'OriginStateName', 'OriginState', 'OriginCityMarketID'} Leakage 0.7503717823637334
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Month', 'OriginState', 'OriginCityMarketID', 'OriginWac'} Leakage 0.6644165563453432
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Month', 'OriginStateName', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.9097380939897226
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Month', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac'} Leakage 0.8381773006929866
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Month', 'OriginStateName', 'OriginCityMarketID', 'OriginWac'} Leakage 0.8320080028441583
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'Month', 'OriginState', 'OriginStateFips'} Leakage 0.8357319163439032
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'Month', 'OriginStateName', 'OriginState'} Leakage 0.8753798340927459
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'Month', 'OriginState', 'OriginWac'} Leakage 0.7350046042794165
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'Month', 'OriginStateName', 'OriginStateFips'} Leakage 0.9629002266794203
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'Month', 'OriginStateFips', 'OriginWac'} Leakage 0.9100242630884908
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'OriginCityName', 'Month', 'OriginStateName', 'OriginWac'} Leakage 0.9065955643621313
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Month', 'OriginStateName', 'OriginState', 'OriginStateFips'} Leakage 0.8019259859193161
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Month', 'OriginState', 'OriginStateFips', 'OriginWac'} Leakage 0.634349538759036
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Month', 'OriginStateName', 'OriginState', 'OriginWac'} Leakage 0.6727810712868101
Mask Size 6 Mask {'OriginAirportSeqID', 'OriginAirportID', 'Month', 'OriginStateName', 'OriginStateFips', 'OriginWac'} Leakage 0.8449567451666284
Mask Size 6 Mask {'OriginAirportID', 'OriginCityName', 'Month', 'OriginState', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.9572109582421788
Mask Size 6 Mask {'OriginAirportID', 'OriginCityName', 'Month', 'OriginStateName', 'OriginState', 'OriginCityMarketID'} Leakage 0.8694474947314571
Mask Size 6 Mask {'OriginAirportID', 'OriginCityName', 'Month', 'OriginState', 'OriginCityMarketID', 'OriginWac'} Leakage 0.9420594664496524
Mask Size 6 Mask {'OriginAirportID', 'OriginCityName', 'Month', 'OriginStateName', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.8517036087475607
Mask Size 6 Mask {'OriginAirportID', 'OriginCityName', 'Month', 'OriginStateFips', 'OriginCityMarketID', 'OriginWac'} Leakage 0.8653083709997473
Mask Size 6 Mask {'OriginAirportID', 'OriginCityName', 'Month', 'OriginStateName', 'OriginCityMarketID', 'OriginWac'} Leakage 0.7491690897886518
Mask Size 6 Mask {'OriginAirportID', 'Month', 'OriginStateName', 'OriginState', 'OriginStateFips', 'OriginCityMarketID'} Leakage 0.8521547912223068
