method,dataset,target_attribute,total_time,init_time,model_time,del_time,delete_db_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,num_cells_updated,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,inference_zone_size,denom_I_minus_1
delexp,airport,scheduled_service,0.012134075164794922,0.006499052047729492,0.0029120445251464844,0.0,0.0027229785919189453,0.0027229785919189453,0.2288821396123376,0.7151856454814502,-0.3144410698061688,0,1,0,1,2,24268,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp,airport,scheduled_service,0.007871866226196289,0.003735065460205078,0.0017578601837158203,0.0,0.0023789405822753906,0.0023789405822753906,0.2288821396123376,0.7151856454814502,-0.5144410698061688,0,1,0,1,4,24412,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp,airport,scheduled_service,0.009307146072387695,0.004539012908935547,0.0021419525146484375,0.0,0.002626180648803711,0.002626180648803711,0.35257182612971993,0.7151856454814502,-0.47628591306485996,4,3,4,3,3,24340,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp,airport,scheduled_service,0.006977081298828125,0.003515958786010742,0.0013370513916015625,0.0,0.0021240711212158203,0.0021240711212158203,0.5961899077512927,0.7151856454814502,-0.49809495387564634,4,5,4,5,2,24268,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp,airport,scheduled_service,0.006989002227783203,0.0035500526428222656,0.001199960708618164,0.0,0.0022389888763427734,0.0022389888763427734,0.0,0.7151856454814502,-0.5,0,-1,0,-1,5,24484,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp,airport,scheduled_service,0.006473064422607422,0.003364086151123047,0.001132965087890625,0.0,0.00197601318359375,0.00197601318359375,0.2288821396123376,0.7151856454814502,-0.4144410698061688,0,1,0,1,3,24340,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp,airport,scheduled_service,0.006730079650878906,0.0033788681030273438,0.0010881423950195312,0.0,0.0022630691528320312,0.0022630691528320312,0.4332660237695529,0.7151856454814502,-0.5166330118847764,0,2,0,2,3,24340,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp,airport,scheduled_service,0.00673985481262207,0.003376007080078125,0.0011799335479736328,0.0,0.0021839141845703125,0.0021839141845703125,0.35257182612971993,0.7151856454814502,-0.47628591306485996,4,3,4,3,3,24340,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp,airport,scheduled_service,0.006966590881347656,0.0034770965576171875,0.0011451244354248047,0.0,0.002344369888305664,0.002344369888305664,0.2288821396123376,0.7151856454814502,-0.3144410698061688,0,1,0,1,2,24268,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp,airport,scheduled_service,0.006610870361328125,0.0031981468200683594,0.0010788440704345703,0.0,0.0023338794708251953,0.0023338794708251953,0.0920468199405825,0.7151856454814502,-0.34602340997029124,2,1,2,1,3,24340,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
