method,dataset,target_attribute,total_time,init_time,model_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,num_cells_updated,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,inference_zone_size,denom_I_minus_1
delexp_canonical,airport,scheduled_service,0.013562679290771484,0.009073972702026367,0.0020508766174316406,0.0024378299713134766,0.6377015566223647,0.7151856454814502,-0.41885077831118234,2,5,2,5,1,8748,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.006217002868652344,0.003341197967529297,0.0005068778991699219,0.002368927001953125,0.2288821396123376,0.7151856454814502,-0.4144410698061688,0,1,0,1,3,8892,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.006329059600830078,0.0033910274505615234,0.0005681514739990234,0.0023698806762695312,0.4919295802745304,0.7151856454814502,-0.4459647901372652,4,4,4,4,2,8820,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.007143735885620117,0.003921031951904297,0.0005469322204589844,0.002675771713256836,0.6377015566223647,0.7151856454814502,-0.41885077831118234,2,5,2,5,1,8748,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.006601572036743164,0.003580808639526367,0.0005540847778320312,0.0024666786193847656,0.6328149070033673,0.7151856454814502,-0.4164074535016836,0,4,0,4,1,8748,7,0,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.006647825241088867,0.0032999515533447266,0.0005447864532470703,0.0028030872344970703,0.5217987710088933,0.7151856454814502,-0.36089938550444667,6,5,6,5,1,8748,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.0063953399658203125,0.0033121109008789062,0.0004901885986328125,0.0025930404663085938,0.2288821396123376,0.7151856454814502,-0.4144410698061688,0,1,0,1,3,8892,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.00606989860534668,0.002991914749145508,0.0008580684661865234,0.0022199153900146484,0.4697142498776278,0.7151856454814502,-0.5348571249388139,2,3,2,3,3,8892,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.006286144256591797,0.0034592151641845703,0.0005037784576416016,0.002323150634765625,0.4919295802745304,0.7151856454814502,-0.4459647901372652,4,4,4,4,2,8820,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.006245851516723633,0.0034160614013671875,0.000492095947265625,0.0023376941680908203,0.2288821396123376,0.7151856454814502,-0.4144410698061688,0,1,0,1,3,8892,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.0067789554595947266,0.0035991668701171875,0.0006458759307861328,0.0025339126586914062,0.2288821396123376,0.7151856454814502,-0.4144410698061688,0,1,0,1,3,8892,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.006766080856323242,0.003634929656982422,0.0005640983581542969,0.0025670528411865234,0.46957305266532445,0.7151856454814502,-0.5347865263326622,2,3,2,3,3,8892,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.006788969039916992,0.0037870407104492188,0.0005140304565429688,0.0024878978729248047,0.5217987710088933,0.7151856454814502,-0.36089938550444667,6,5,6,5,1,8748,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.005976200103759766,0.00400090217590332,0.00054931640625,0.0014259815216064453,0.7151856454814502,0.7151856454814502,-0.3575928227407251,0,5,0,5,0,8676,7,0,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.0071637630462646484,0.0037751197814941406,0.0005218982696533203,0.0028667449951171875,0.2288821396123376,0.7151856454814502,-0.4144410698061688,0,1,0,1,3,8892,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.005853891372680664,0.0035390853881835938,0.00048804283142089844,0.0018267631530761719,0.7151856454814502,0.7151856454814502,-0.3575928227407251,0,5,0,5,0,8676,7,0,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.0063092708587646484,0.0031991004943847656,0.0005099773406982422,0.0026001930236816406,0.5217987710088933,0.7151856454814502,-0.36089938550444667,6,5,6,5,1,8748,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.006636857986450195,0.0035181045532226562,0.0005578994750976562,0.002560853958129883,0.49206482628207104,0.7151856454814502,-0.44603241314103553,4,4,4,4,2,8820,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.005587339401245117,0.0034890174865722656,0.0004820823669433594,0.0016162395477294922,0.7151856454814502,0.7151856454814502,-0.3575928227407251,0,5,0,5,0,8676,7,0,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.0062410831451416016,0.003306150436401367,0.0005047321319580078,0.0024302005767822266,0.4697142498776278,0.7151856454814502,-0.5348571249388139,2,3,2,3,3,8892,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.0062482357025146484,0.0032889842987060547,0.00045800209045410156,0.002501249313354492,0.2288821396123376,0.7151856454814502,-0.4144410698061688,0,1,0,1,3,8892,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.006051063537597656,0.003139972686767578,0.00047588348388671875,0.0024352073669433594,0.5217987710088933,0.7151856454814502,-0.36089938550444667,6,5,6,5,1,8748,7,1,10.0,,0.5,0.9,,noisy_or,5,7,,,
delexp_canonical,airport,scheduled_service,0.0058672428131103516,0.0031960010528564453,0.0004801750183105469,0.0021910667419433594,0.6328149070033673,0.7151856454814502,-0.4164074535016836,0,4,0,4,1,8748,7,0,10.0,,0.5,0.9,,noisy_or,5,7,,,
