method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsd
elgum,airport,home_link,0.006426811218261719,0.0036182403564453125,0.0010297298431396484,0.0017788410186767578,0.051126318247808444,0.22337399647872114,-0.13445965158114176,2,2,458,6
delgum,airport,home_link,0.0018258094787597656,0.00023698806762695312,0.0001659393310546875,0.001422882080078125,0.06016840572859605,0.22337399647872114,-0.31016840572859605,4,3,458,6
delgum,airport,home_link,0.0015690326690673828,0.00015473365783691406,8.916854858398438e-05,0.0013251304626464844,0.22337399647872114,0.22337399647872114,-0.1400406631453878,1,1,458,6
delgum,airport,home_link,0.0018990039825439453,0.00019884109497070312,0.00015425682067871094,0.0015459060668945312,0.013497595919447658,0.22337399647872114,-0.26349759591944766,2,3,458,6
delgum,airport,home_link,0.0016336441040039062,0.00016307830810546875,0.00012969970703125,0.0013408660888671875,0.0008907266304110095,0.22337399647872114,-0.5842240599637444,2,5,458,6
delgum,airport,home_link,0.0013310909271240234,0.00015306472778320312,6.604194641113281e-05,0.0011119842529296875,0.22337399647872114,0.22337399647872114,0.026626003521278863,1,0,458,6
delgum,airport,home_link,0.002082347869873047,0.00024890899658203125,0.00015473365783691406,0.0016787052154541016,0.011469181810646378,0.22337399647872114,-0.428135848477313,4,4,458,6
delgum,airport,home_link,0.0022220611572265625,0.000331878662109375,0.0001289844512939453,0.0017611980438232422,0.22337399647872114,0.22337399647872114,-0.1400406631453878,1,1,458,6
delgum,airport,home_link,0.002370595932006836,0.00028228759765625,0.00016307830810546875,0.0019252300262451172,0.051126318247808444,0.22337399647872114,-0.30112631824780844,4,3,458,6
delgum,airport,home_link,0.0017940998077392578,0.0002319812774658203,0.0001709461212158203,0.0013911724090576172,0.03592524660768637,0.22337399647872114,-0.452591913274353,8,4,458,6
delgum,airport,home_link,0.0018391609191894531,0.00015115737915039062,0.00011110305786132812,0.0015769004821777344,0.22337399647872114,0.22337399647872114,-0.47337399647872114,1,3,458,6
delgum,airport,home_link,0.0015134811401367188,0.00017261505126953125,0.00014209747314453125,0.0011987686157226562,0.003609042830710618,0.22337399647872114,-0.586942376164044,4,5,458,6
delgum,airport,home_link,0.0021169185638427734,0.0003426074981689453,0.000164031982421875,0.0016102790832519531,0.004612425044516089,0.22337399647872114,-0.4212790917111827,2,4,458,6
delgum,airport,home_link,0.0017430782318115234,0.00023698806762695312,0.00012111663818359375,0.0013849735260009766,0.03592524660768637,0.22337399647872114,-0.11925857994101968,2,2,458,6
delgum,airport,home_link,0.0016722679138183594,0.00015020370483398438,0.00013303756713867188,0.0013890266418457031,0.004612425044516089,0.22337399647872114,-0.4212790917111827,2,4,458,6
delgum,airport,home_link,0.002048015594482422,0.0003039836883544922,0.00015211105346679688,0.0015919208526611328,0.0008907266304110095,0.22337399647872114,-0.5842240599637444,2,5,458,6
delgum,airport,home_link,0.0018138885498046875,0.00030803680419921875,0.0001277923583984375,0.0013780593872070312,0.22337399647872114,0.22337399647872114,-0.30670732981205445,1,2,458,6
delgum,airport,home_link,0.0019137859344482422,0.00029587745666503906,0.0001888275146484375,0.0014290809631347656,0.03592524660768637,0.22337399647872114,-0.452591913274353,8,4,458,6
delgum,airport,home_link,0.0021600723266601562,0.00023984909057617188,0.0001442432403564453,0.001775979995727539,0.051126318247808444,0.22337399647872114,-0.30112631824780844,4,3,458,6
delgum,airport,home_link,0.0017669200897216797,0.00020313262939453125,0.00010275840759277344,0.001461029052734375,0.0,0.22337399647872114,-0.5833333333333334,-1,5,458,6
delgum,airport,home_link,0.0018966197967529297,0.0002739429473876953,9.083747863769531e-05,0.001531839370727539,0.22337399647872114,0.22337399647872114,0.026626003521278863,1,0,458,6
delgum,airport,home_link,0.0017349720001220703,0.00023508071899414062,0.0001437664031982422,0.0013561248779296875,0.0008907266304110095,0.22337399647872114,-0.5842240599637444,2,5,458,6
delgum,airport,home_link,0.002616405487060547,0.00028324127197265625,0.00017404556274414062,0.00215911865234375,0.03592524660768637,0.22337399647872114,-0.28592524660768637,2,3,458,6
delgum,airport,home_link,0.0021390914916992188,0.0002770423889160156,0.0001049041748046875,0.0017571449279785156,0.22337399647872114,0.22337399647872114,-0.1400406631453878,1,1,458,6
delgum,airport,home_link,0.002027750015258789,0.00024890899658203125,0.00011086463928222656,0.0016679763793945312,0.0,0.22337399647872114,-0.5833333333333334,-1,5,458,6
delgum,airport,home_link,0.0014758110046386719,0.00019288063049316406,7.009506225585938e-05,0.0012128353118896484,0.22337399647872114,0.22337399647872114,0.026626003521278863,1,0,458,6
delgum,airport,home_link,0.001814126968383789,0.00014209747314453125,0.00015997886657714844,0.0015120506286621094,0.015768127809462573,0.22337399647872114,-0.5991014611427959,8,5,458,6
delgum,airport,home_link,0.002074003219604492,0.0001938343048095703,0.00012803077697753906,0.0017521381378173828,0.03592524660768637,0.22337399647872114,-0.28592524660768637,2,3,458,6
delgum,airport,home_link,0.002028942108154297,0.0001621246337890625,0.00015878677368164062,0.0017080307006835938,0.015768127809462573,0.22337399647872114,-0.5991014611427959,8,5,458,6
delgum,airport,home_link,0.001772165298461914,0.00015091896057128906,0.00012302398681640625,0.0014982223510742188,0.051126318247808444,0.22337399647872114,-0.30112631824780844,4,3,458,6
delgum,airport,home_link,0.0015437602996826172,0.00012993812561035156,0.0001227855682373047,0.001291036605834961,0.0008907266304110095,0.22337399647872114,-0.5842240599637444,2,5,458,6
delgum,airport,home_link,0.00185394287109375,0.0001361370086669922,6.175041198730469e-05,0.0016560554504394531,0.22337399647872114,0.22337399647872114,0.026626003521278863,1,0,458,6
