method,dataset,target_attribute,total_time,init_time,model_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,num_cells_updated,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,inference_zone_size,denom_I_minus_1
delgum,airport,scheduled_service,0.003177165985107422,3.0040740966796875e-05,0.0007581710815429688,0.0023889541625976562,0.2693617282096118,,-0.5513475307714726,0,1,0,1,5,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0007271766662597656,6,5
delgum,airport,scheduled_service,0.0021371841430664062,3.0040740966796875e-05,0.0003771781921386719,0.0017299652099609375,0.682552015129659,,-0.4246093408981628,2,5,2,5,1,0,,0,10.0,0.5,0.5,,,noisy_or,,,0.00035691261291503906,6,5
delgum,airport,scheduled_service,0.0030128955841064453,3.0994415283203125e-05,0.0005788803100585938,0.0024030208587646484,0.4325673189597369,,-0.46628365947986844,0,2,0,2,3,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0005640983581542969,6,5
delgum,airport,scheduled_service,0.0024008750915527344,3.0994415283203125e-05,0.0003428459167480469,0.0020270347595214844,0.6328149070033673,,-0.39974078683501696,0,4,0,4,1,0,,0,10.0,0.5,0.5,,,noisy_or,,,0.00032401084899902344,6,5
delgum,airport,scheduled_service,0.003027677536010742,2.7894973754882812e-05,0.0006358623504638672,0.002363920211791992,0.312315565021691,,-0.4894911158441788,2,2,2,2,4,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.00061798095703125,6,5
delgum,airport,scheduled_service,0.0032091140747070312,2.8848648071289062e-05,0.0007700920104980469,0.0024101734161376953,0.0,,-0.5,0,-1,0,-1,6,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0007429122924804688,6,5
delgum,airport,scheduled_service,0.0036199092864990234,7.414817810058594e-05,0.0011839866638183594,0.002361774444580078,0.0920468199405825,,-0.37935674330362457,2,1,2,1,4,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.001146078109741211,6,5
delgum,airport,scheduled_service,0.00373077392578125,8.487701416015625e-05,0.0012028217315673828,0.002443075180053711,0.07059070463900075,,-0.45196201898616706,2,1,2,1,5,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.001168966293334961,6,5
delgum,airport,scheduled_service,0.0036530494689941406,7.009506225585938e-05,0.0010499954223632812,0.002532958984375,0.4325673189597369,,-0.46628365947986844,0,2,0,2,3,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0010190010070800781,6,5
delgum,airport,scheduled_service,0.0031359195709228516,8.296966552734375e-05,0.0007088184356689453,0.0023441314697265625,0.6646451700889366,,-0.41565591837780164,2,5,2,5,1,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0006721019744873047,6,5
delgum,airport,scheduled_service,0.003634214401245117,7.915496826171875e-05,0.0012919902801513672,0.0022630691528320312,0.0,,-0.5,0,-1,0,-1,6,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0012569427490234375,6,5
delgum,airport,scheduled_service,0.0035293102264404297,8.20159912109375e-05,0.0010170936584472656,0.0024302005767822266,0.5329217593367891,,-0.43312754633506123,2,4,2,4,2,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0009741783142089844,6,5
delgum,airport,scheduled_service,0.003607034683227539,6.723403930664062e-05,0.0012068748474121094,0.002332925796508789,0.2781965733082593,,-0.47243161998746297,2,2,2,2,4,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0011687278747558594,6,5
delgum,airport,scheduled_service,0.00362396240234375,6.389617919921875e-05,0.0013041496276855469,0.0022559165954589844,0.0920468199405825,,-0.46269007663695794,2,1,2,1,5,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0012722015380859375,6,5
delgum,airport,scheduled_service,0.003471851348876953,6.508827209472656e-05,0.001035928726196289,0.0023708343505859375,0.5007565718104581,,-0.41704495257189567,4,4,4,4,2,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0009889602661132812,6,5
delgum,airport,scheduled_service,0.0035829544067382812,6.389617919921875e-05,0.0012760162353515625,0.0022430419921875,0.2693617282096118,,-0.5513475307714726,0,1,0,1,5,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0012438297271728516,6,5
delgum,airport,scheduled_service,0.0032796859741210938,6.389617919921875e-05,0.0007178783416748047,0.0024979114532470703,0.6646451700889366,,-0.41565591837780164,2,5,2,5,1,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0006771087646484375,6,5
delgum,airport,scheduled_service,0.0034749507904052734,9.608268737792969e-05,0.0012128353118896484,0.0021660327911376953,0.0920468199405825,,-0.29602340997029125,2,1,2,1,3,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0011739730834960938,6,5
delgum,airport,scheduled_service,0.002521514892578125,9.584426879882812e-05,0.00042438507080078125,0.0020012855529785156,0.7151856454814502,,-0.3575928227407251,0,5,0,5,0,0,,0,10.0,0.5,0.5,,,noisy_or,,,0.0003910064697265625,6,5
delgum,airport,scheduled_service,0.0035827159881591797,7.891654968261719e-05,0.0011830329895019531,0.0023207664489746094,0.0,,-0.5,0,-1,0,-1,6,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0011479854583740234,6,5
delgum,airport,scheduled_service,0.003926753997802734,6.985664367675781e-05,0.0015599727630615234,0.002296924591064453,0.0920468199405825,,-0.37935674330362457,2,1,2,1,4,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0015230178833007812,6,5
delgum,airport,scheduled_service,0.002190113067626953,6.508827209472656e-05,0.0003960132598876953,0.0017290115356445312,0.7151856454814502,,-0.3575928227407251,0,5,0,5,0,0,,0,10.0,0.5,0.5,,,noisy_or,,,0.0003662109375,6,5
delgum,airport,scheduled_service,0.0035200119018554688,6.389617919921875e-05,0.0011410713195800781,0.002315044403076172,0.2288821396123376,,-0.4477744031395021,0,1,0,1,4,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0011069774627685547,6,5
delgum,airport,scheduled_service,0.0032470226287841797,6.985664367675781e-05,0.0008292198181152344,0.0023479461669921875,0.682552015129659,,-0.4246093408981628,2,5,2,5,1,0,,0,10.0,0.5,0.5,,,noisy_or,,,0.0007863044738769531,6,5
delgum,airport,scheduled_service,0.0036246776580810547,6.771087646484375e-05,0.0012950897216796875,0.0022618770599365234,0.2288821396123376,,-0.5311077364728355,0,1,0,1,5,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0012621879577636719,6,5
delgum,airport,scheduled_service,0.0031728744506835938,7.295608520507812e-05,0.0009329319000244141,0.0021669864654541016,0.682552015129659,,-0.4246093408981628,2,5,2,5,1,0,,0,10.0,0.5,0.5,,,noisy_or,,,0.0008881092071533203,6,5
delgum,hospital,ProviderNumber,0.07232117652893066,0.0024919509887695312,0.06683802604675293,0.002991199493408203,0.4876350348422127,,-0.6188175174211064,304,153,304,153,9,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.0650780200958252,12,11
delgum,hospital,ProviderNumber,0.012020111083984375,0.0001289844512939453,0.009309053421020508,0.002582073211669922,0.39315835083520145,,-0.4049125087509341,14,9,14,9,5,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.009160995483398438,12,11
delgum,hospital,ProviderNumber,0.0755615234375,0.00012421607971191406,0.07262706756591797,0.002810239791870117,0.5372166126662105,,-0.6852749729997719,588,295,588,295,10,0,,1,10.0,0.5,0.5,,,noisy_or,,,0.06881999969482422,12,11
