method,dataset,target_attribute,total_time,init_time,model_time,update_time,utility,baseline_leakage_empty_mask,num_instantiated_cells,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,leakage,num_cells_updated,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,inference_zone_size,denom_I_minus_1,total_time_minus_init
delmin,airport,scheduled_service,0.03988003730773926,0.008157968521118164,0.024487972259521484,0.0026199817657470703,-0.6,,6,0,-1,0,-1,7,3444,0.0,1,,,,,,,,,,,,0.031722068786621094
delmin,airport,scheduled_service,0.01714634895324707,0.0034241676330566406,0.008594036102294922,0.002334117889404297,-0.6,,6,0,-1,0,-1,7,3444,0.0,1,,,,,,,,,,,,0.01372218132019043
delmin,airport,scheduled_service,0.016086816787719727,0.003083944320678711,0.008234024047851562,0.0020799636840820312,-0.6,,6,0,-1,0,-1,7,3444,0.0,1,,,,,,,,,,,,0.013002872467041016
delmin,airport,scheduled_service,0.01601886749267578,0.0031859874725341797,0.007936954498291016,0.0020830631256103516,-0.6,,6,0,-1,0,-1,7,3444,0.0,1,,,,,,,,,,,,0.012832880020141602
delmin,airport,scheduled_service,0.015996217727661133,0.0029261112213134766,0.008095979690551758,0.002335071563720703,-0.6,,6,0,-1,0,-1,7,3444,0.0,1,,,,,,,,,,,,0.013070106506347656
delmin,airport,scheduled_service,0.01586008071899414,0.0029518604278564453,0.008208751678466797,0.0021550655364990234,-0.6,,6,0,-1,0,-1,7,3444,0.0,1,,,,,,,,,,,,0.012908220291137695
delmin,airport,scheduled_service,0.015271902084350586,0.0028460025787353516,0.007866859436035156,0.002187967300415039,-0.6,,6,0,-1,0,-1,7,3444,0.0,1,,,,,,,,,,,,0.012425899505615234
delmin,airport,scheduled_service,0.017844676971435547,0.003484964370727539,0.008913040161132812,0.002544879913330078,-0.6,,6,0,-1,0,-1,7,3444,0.0,1,,,,,,,,,,,,0.014359712600708008
delmin,airport,scheduled_service,0.01736617088317871,0.0035698413848876953,0.008391141891479492,0.002557039260864258,-0.6,,6,0,-1,0,-1,7,3444,0.0,1,,,,,,,,,,,,0.013796329498291016
delmin,airport,scheduled_service,0.016962051391601562,0.0031669139862060547,0.008603811264038086,0.002250194549560547,-0.6,,6,0,-1,0,-1,7,3444,0.0,1,,,,,,,,,,,,0.013795137405395508
