method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cells
del2ph,airport,home_link,0.00954127311706543,0.0,0.0014410018920898438,0.001764059066772461,0.05010955345870127,0.22337399647872114,-0.5,4,3,4356,6
del2ph,airport,home_link,0.0015838146209716797,0.0,4.673004150390625e-05,0.0015370845794677734,0.011469181810646378,0.22337399647872114,-0.5,2,3,4356,6
del2ph,airport,home_link,0.0012290477752685547,0.0,3.910064697265625e-05,0.0011899471282958984,0.06016840572859605,0.22337399647872114,-0.6666666666666666,8,4,4356,6
del2ph,airport,home_link,0.0018198490142822266,0.0,2.3126602172851562e-05,0.001796722412109375,0.05010955345870127,0.22337399647872114,-0.6666666666666666,6,4,4356,6
del2ph,airport,home_link,0.00144195556640625,0.0,5.2928924560546875e-05,0.0013890266418457031,0.051126318247808444,0.22337399647872114,-0.16666666666666666,1,1,4356,6
del2ph,airport,home_link,0.0014362335205078125,0.0,9.322166442871094e-05,0.0013430118560791016,0.051126318247808444,0.22337399647872114,-0.5,4,3,4356,6
del2ph,airport,home_link,0.001192331314086914,0.0,5.030632019042969e-05,0.0011420249938964844,0.22337399647872114,0.22337399647872114,-0.3333333333333333,1,2,4356,6
del2ph,airport,home_link,0.0026531219482421875,0.0,4.1961669921875e-05,0.0026111602783203125,0.003306804705818678,0.22337399647872114,-0.8333333333333334,4,5,4356,6
del2ph,airport,home_link,0.0014429092407226562,0.0,0.00010609626770019531,0.001336812973022461,0.03592524660768637,0.22337399647872114,-0.3333333333333333,2,2,4356,6
del2ph,airport,home_link,0.001360177993774414,0.0,4.8160552978515625e-05,0.0013120174407958984,0.05010955345870127,0.22337399647872114,-0.5,3,3,4356,6
del2ph,airport,home_link,0.0017261505126953125,0.0,8.702278137207031e-05,0.0016391277313232422,0.06016840572859605,0.22337399647872114,-0.5,4,3,4356,6
del2ph,airport,home_link,0.0015959739685058594,0.0,5.1975250244140625e-05,0.0015439987182617188,0.008222647309668152,0.22337399647872114,-0.6666666666666666,4,4,4356,6
del2ph,airport,home_link,0.001856088638305664,0.0,4.482269287109375e-05,0.0018112659454345703,0.03592524660768637,0.22337399647872114,-0.5,2,3,4356,6
del2ph,airport,home_link,0.0014269351959228516,0.0,4.38690185546875e-05,0.001383066177368164,0.22337399647872114,0.22337399647872114,-0.3333333333333333,1,2,4356,6
del2ph,airport,home_link,0.0011081695556640625,0.0,4.38690185546875e-05,0.001064300537109375,0.05010955345870127,0.22337399647872114,-0.5,3,3,4356,6
del2ph,airport,home_link,0.0011737346649169922,0.0,6.079673767089844e-05,0.0011129379272460938,0.22337399647872114,0.22337399647872114,-0.5,1,3,4356,6
del2ph,airport,home_link,0.0015878677368164062,0.0,9.584426879882812e-05,0.0014920234680175781,0.011469181810646378,0.22337399647872114,-0.3333333333333333,1,2,4356,6
del2ph,airport,home_link,0.0013911724090576172,0.0,4.601478576660156e-05,0.0013451576232910156,0.03592524660768637,0.22337399647872114,-0.5,2,3,4356,6
del2ph,airport,home_link,0.0012607574462890625,0.0,3.3855438232421875e-05,0.0012269020080566406,0.05010955345870127,0.22337399647872114,-0.6666666666666666,8,4,4356,6
del2ph,airport,home_link,0.0017685890197753906,0.0,9.179115295410156e-05,0.001676797866821289,0.051126318247808444,0.22337399647872114,-0.5,4,3,4356,6
del2ph,airport,home_link,0.0018260478973388672,0.0,9.512901306152344e-05,0.0017309188842773438,0.011469181810646378,0.22337399647872114,-0.5,2,3,4356,6
del2ph,airport,home_link,0.0015358924865722656,0.0,0.00011897087097167969,0.001416921615600586,0.22337399647872114,0.22337399647872114,-0.5,1,3,4356,6
