dataset,target,hypergraph_mode,leakage_method,tau,mask,mask_size,inference_zone_size,leakage,utility
airport,home_link,MAX,greedy_disjoint,,,0,6,0.22337399647872114,0.026626003521278863
airport,home_link,MAX,greedy_disjoint,,continent,1,6,0.22337399647872114,-0.1400406631453878
airport,home_link,MAX,greedy_disjoint,,iso_country,1,6,0.22337399647872114,-0.1400406631453878
airport,home_link,MAX,greedy_disjoint,,keywords,1,6,0.22337399647872114,-0.1400406631453878
airport,home_link,MAX,greedy_disjoint,,municipality,1,6,0.22337399647872114,-0.1400406631453878
airport,home_link,MAX,greedy_disjoint,,scheduled_service,1,6,0.051126318247808444,0.0322070150855249
airport,home_link,MAX,greedy_disjoint,,type,1,6,0.03592524660768637,0.047408086725646975
airport,home_link,MAX,greedy_disjoint,,continent|iso_country,2,6,0.22337399647872114,-0.30670732981205445
airport,home_link,MAX,greedy_disjoint,,continent|keywords,2,6,0.22337399647872114,-0.30670732981205445
airport,home_link,MAX,greedy_disjoint,,continent|municipality,2,6,0.22337399647872114,-0.30670732981205445
airport,home_link,MAX,greedy_disjoint,,continent|scheduled_service,2,6,0.051126318247808444,-0.13445965158114176
airport,home_link,MAX,greedy_disjoint,,continent|type,2,6,0.05010955345870127,-0.1334428867920346
airport,home_link,MAX,greedy_disjoint,,iso_country|keywords,2,6,0.22337399647872114,-0.30670732981205445
airport,home_link,MAX,greedy_disjoint,,iso_country|municipality,2,6,0.22337399647872114,-0.30670732981205445
airport,home_link,MAX,greedy_disjoint,,iso_country|scheduled_service,2,6,0.06016840572859605,-0.14350173906192937
airport,home_link,MAX,greedy_disjoint,,iso_country|type,2,6,0.03592524660768637,-0.11925857994101968
airport,home_link,MAX,greedy_disjoint,,keywords|municipality,2,6,0.22337399647872114,-0.30670732981205445
airport,home_link,MAX,greedy_disjoint,,keywords|scheduled_service,2,6,0.051126318247808444,-0.13445965158114176
airport,home_link,MAX,greedy_disjoint,,keywords|type,2,6,0.03592524660768637,-0.11925857994101968
airport,home_link,MAX,greedy_disjoint,,municipality|scheduled_service,2,6,0.051126318247808444,-0.13445965158114176
airport,home_link,MAX,greedy_disjoint,,municipality|type,2,6,0.03592524660768637,-0.11925857994101968
airport,home_link,MAX,greedy_disjoint,,scheduled_service|type,2,6,0.008222647309668152,-0.09155598064300147
airport,home_link,MAX,greedy_disjoint,,continent|iso_country|keywords,3,6,0.22337399647872114,-0.47337399647872114
airport,home_link,MAX,greedy_disjoint,,continent|iso_country|municipality,3,6,0.22337399647872114,-0.47337399647872114
airport,home_link,MAX,greedy_disjoint,,continent|iso_country|scheduled_service,3,6,0.06016840572859605,-0.31016840572859605
