method,dataset,target_attribute,total_time,init_time,model_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,epsil,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,num_instantiated_cells,denom_I_minus_1,total_time_minus_init
delgum,airport,scheduled_service,0.0020465850830078125,0.00012683868408203125,0.0006039142608642578,0.0013158321380615234,0.4697142498776278,,-0.45228568740822084,2,4,2,4,2,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0005807876586914062,6,5,0.0019197463989257812
delgum,airport,scheduled_service,0.0020699501037597656,0.00011491775512695312,0.0005879402160644531,0.0013670921325683594,0.5334968933116484,,-0.5001226699837363,1,4,1,4,2,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0005679130554199219,6,5,0.0019550323486328125
delgum,airport,scheduled_service,0.002006053924560547,0.00011801719665527344,0.0006210803985595703,0.0012669563293457031,0.5961899077512927,,-0.5471424308134695,2,5,2,5,2,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0005948543548583984,6,5,0.0018880367279052734
delgum,airport,scheduled_service,0.0023148059844970703,0.0001437664031982422,0.0007450580596923828,0.0014259815216064453,0.0920468199405825,,-0.3190351149554369,1,1,1,1,5,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0007250308990478516,6,5,0.002171039581298828
delgum,airport,scheduled_service,0.001695871353149414,0.00013017654418945312,0.00025272369384765625,0.0013129711151123047,0.7151856454814501,,-0.5363892341110876,0,5,0,5,0,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.00023484230041503906,6,5,0.001565694808959961
delgum,airport,scheduled_service,0.002120494842529297,0.0002090930938720703,0.0005910396575927734,0.0013203620910644531,0.5912472883588642,,-0.5434354662691482,1,4,1,4,2,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0005691051483154297,6,5,0.0019114017486572266
delgum,airport,scheduled_service,0.002178192138671875,0.0001621246337890625,0.0004611015319824219,0.0015549659729003906,0.4697142498776278,,-0.40228568740822085,3,5,3,5,1,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0004382133483886719,6,5,0.0020160675048828125
delgum,airport,scheduled_service,0.002275228500366211,0.0001220703125,0.0007441043853759766,0.0014090538024902344,0.07059070463900075,,-0.3029430284792506,1,1,1,1,5,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0007250308990478516,6,5,0.002153158187866211
delgum,airport,scheduled_service,0.0019698143005371094,0.00013518333435058594,0.0005588531494140625,0.001275777816772461,0.5334968933116484,,-0.5001226699837363,1,4,1,4,2,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0005359649658203125,6,5,0.0018346309661865234
delgum,airport,scheduled_service,0.0023429393768310547,0.0001418590545654297,0.0007951259613037109,0.001405954360961914,0.0,,-0.3,0,-1,0,-1,6,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0007791519165039062,6,5,0.002201080322265625
delgum,airport,scheduled_service,0.0019466876983642578,0.00014209747314453125,0.0002429485321044922,0.0015616416931152344,0.7151856454814501,,-0.5363892341110876,0,5,0,5,0,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0002257823944091797,6,5,0.0018045902252197266
delgum,airport,scheduled_service,0.0020728111267089844,0.00013589859008789062,0.0004527568817138672,0.0014841556549072266,0.682552015129659,,-0.5619140113472443,1,5,1,5,1,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0004298686981201172,6,5,0.0019369125366210938
delgum,airport,scheduled_service,0.0019271373748779297,0.00013184547424316406,0.0003981590270996094,0.0013971328735351562,0.6328149070033673,,-0.5246111802525255,0,4,0,4,1,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.00038242340087890625,6,5,0.0017952919006347656
delgum,airport,scheduled_service,0.0022199153900146484,0.00011515617370605469,0.0007538795471191406,0.0013508796691894531,0.0,,-0.3,0,-1,0,-1,6,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0007388591766357422,6,5,0.0021047592163085938
delgum,airport,scheduled_service,0.002313852310180664,0.0001289844512939453,0.0007588863372802734,0.0014259815216064453,0.0,,-0.2,0,-1,0,-1,4,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0007441043853759766,6,5,0.0021848678588867188
delgum,airport,scheduled_service,0.001980304718017578,0.00012993812561035156,0.00024199485778808594,0.0016083717346191406,0.7151856454814501,,-0.5363892341110876,0,5,0,5,0,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.00022292137145996094,6,5,0.0018503665924072266
delgum,airport,scheduled_service,0.0022394657135009766,0.00011801719665527344,0.0007412433624267578,0.0013802051544189453,0.4365917791396565,,-0.5274438343547424,0,2,0,2,4,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0007169246673583984,6,5,0.002121448516845703
delgum,airport,scheduled_service,0.0024220943450927734,0.00015306472778320312,0.0007638931274414062,0.001505136489868164,0.4794045878552673,,-0.5095534408914505,2,4,2,4,3,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0007376670837402344,6,5,0.0022690296173095703
delgum,airport,scheduled_service,0.001729726791381836,0.00012993812561035156,0.0002529621124267578,0.0013468265533447266,0.7151856454814501,,-0.5363892341110876,0,5,0,5,0,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.00023603439331054688,6,5,0.0015997886657714844
delgum,airport,scheduled_service,0.0018200874328613281,0.00011897087097167969,0.0002410411834716797,0.0014600753784179688,0.7151856454814501,,-0.5363892341110876,0,5,0,5,0,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.00022292137145996094,6,5,0.0017011165618896484
delgum,airport,scheduled_service,0.002095937728881836,0.00012421607971191406,0.0005588531494140625,0.0014128684997558594,0.5329217593367891,,-0.4996913195025918,1,4,1,4,2,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0005381107330322266,6,5,0.001971721649169922
delgum,airport,scheduled_service,0.0022907257080078125,0.00010967254638671875,0.0007481575012207031,0.0014328956604003906,0.0,,-0.3,0,-1,0,-1,6,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0007321834564208984,6,5,0.0021810531616210938
delgum,airport,scheduled_service,0.0016772747039794922,0.00010895729064941406,0.0002422332763671875,0.0013260841369628906,0.7151856454814501,,-0.5363892341110876,0,5,0,5,0,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.000225067138671875,6,5,0.0015683174133300781
delgum,airport,scheduled_service,0.0022699832916259766,0.00013113021850585938,0.0005698204040527344,0.0015690326690673828,0.5681900575173376,,-0.5261425431380032,1,4,1,4,2,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0005478858947753906,6,5,0.002138853073120117
delgum,airport,scheduled_service,0.0025069713592529297,0.00014400482177734375,0.0007879734039306641,0.0015749931335449219,0.36457513891655857,,-0.47343135418741894,2,3,2,3,4,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0007648468017578125,6,5,0.002362966537475586
delgum,airport,scheduled_service,0.001997709274291992,0.00014472007751464844,0.00040411949157714844,0.0014488697052001953,0.633267038153267,,-0.5249502786149502,0,4,0,4,1,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.0003871917724609375,6,5,0.0018529891967773438
delgum,airport,scheduled_service,0.002362966537475586,0.0001430511474609375,0.000782012939453125,0.0014379024505615234,0.07059070463900075,,-0.3029430284792506,1,1,1,1,5,466,,0,25.0,0.75,0.75,,,greedy_disjoint,,,0.000762939453125,6,5,0.0022199153900146484
