method,dataset,target_attribute,total_time,init_time,model_time,del_time,delete_db_time,update_time,leakage,baseline_leakage_empty_mask,utility,blocked,total_paths,paths_blocked,num_paths,mask_size,memory_overhead_bytes,num_instantiated_cells,num_cells_updated,epsilon,lambda,lam,rho,tau,leakage_method,num_channel_edges,num_rdrs,greedy_time,inference_zone_size,denom_I_minus_1
delmin,airport,scheduled_service,0.04522824287414551,0.01058197021484375,0.026947021484375,0.005204200744628906,0.0024950504302978516,0.0024950504302978516,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
delmin,airport,scheduled_service,0.018299102783203125,0.0038819313049316406,0.008352994918823242,0.00357818603515625,0.002485990524291992,0.002485990524291992,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
delmin,airport,scheduled_service,0.016937971115112305,0.0033719539642333984,0.008414268493652344,0.00286865234375,0.0022830963134765625,0.0022830963134765625,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
delmin,airport,scheduled_service,0.017346858978271484,0.0039501190185546875,0.007941961288452148,0.002950906753540039,0.0025038719177246094,0.0025038719177246094,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
delmin,airport,scheduled_service,0.016804933547973633,0.003582000732421875,0.008172035217285156,0.002846956253051758,0.0022039413452148438,0.0022039413452148438,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
delmin,airport,scheduled_service,0.01743626594543457,0.0038270950317382812,0.008044004440307617,0.003027200698852539,0.002537965774536133,0.002537965774536133,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
delmin,airport,scheduled_service,0.017941951751708984,0.0037801265716552734,0.008695125579833984,0.003136873245239258,0.0023298263549804688,0.0023298263549804688,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
delmin,airport,scheduled_service,0.017603635787963867,0.003762960433959961,0.008188009262084961,0.003404855728149414,0.0022478103637695312,0.0022478103637695312,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
delmin,airport,scheduled_service,0.01710200309753418,0.003637075424194336,0.00811910629272461,0.002911090850830078,0.0024347305297851562,0.0024347305297851562,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
delmin,airport,scheduled_service,0.01866888999938965,0.003660917282104492,0.00795888900756836,0.004781246185302734,0.0022678375244140625,0.0022678375244140625,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
delmin,airport,scheduled_service,0.015873193740844727,0.0032501220703125,0.007678985595703125,0.0026330947875976562,0.0023109912872314453,0.0023109912872314453,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
delmin,airport,scheduled_service,0.015743255615234375,0.0032629966735839844,0.007688999176025391,0.0026862621307373047,0.0021049976348876953,0.0021049976348876953,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
delmin,airport,scheduled_service,0.015877962112426758,0.003762960433959961,0.007884025573730469,0.002502918243408203,0.001728057861328125,0.001728057861328125,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
delmin,airport,scheduled_service,0.016503095626831055,0.003551006317138672,0.007666110992431641,0.0031681060791015625,0.0021178722381591797,0.0021178722381591797,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
delmin,airport,scheduled_service,0.016536951065063477,0.003385782241821289,0.008100748062133789,0.002828359603881836,0.0022220611572265625,0.0022220611572265625,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
delmin,airport,scheduled_service,0.015522241592407227,0.003467082977294922,0.007814884185791016,0.0023581981658935547,0.0018820762634277344,0.0018820762634277344,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
delmin,airport,scheduled_service,0.014614582061767578,0.0034558773040771484,0.006500244140625,0.002823352813720703,0.0018351078033447266,0.0018351078033447266,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
delmin,airport,scheduled_service,0.012883424758911133,0.0030350685119628906,0.005755901336669922,0.002123117446899414,0.0019693374633789062,0.0019693374633789062,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
delmin,airport,scheduled_service,0.012068748474121094,0.0027468204498291016,0.0056612491607666016,0.001941680908203125,0.0017189979553222656,0.0017189979553222656,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
delmin,airport,scheduled_service,0.013865232467651367,0.0030710697174072266,0.006779193878173828,0.002385854721069336,0.0016291141510009766,0.0016291141510009766,-0.6,,6,0,-1,0,-1,7,23856,0.0,1,,,,,,,,,,,
