dc_file,target_attr,num_dcs_total,num_dcs_with_target,num_attrs_total,mask_size_excl_target,total_deleted_including_target,mask_attrs_excl_target,ilp_time_sec,max_depth,zone_cells_instantiated,zone_edges,ilp_num_vars,ilp_num_constrs,ilp_file_bytes
topFlightDCs_parsed.py,AirlineID,112,4,17,2,3,Carrier;UniqueCarrier,0.000403,1,3,3,6,10,0
topFlightDCs_parsed.py,Carrier,112,4,17,2,3,AirlineID;UniqueCarrier,0.000299,1,3,3,6,10,0
topFlightDCs_parsed.py,DayOfWeek,112,10,17,11,12,DayofMonth;FlightDate;Origin;OriginAirportID;OriginAirportSeqID;OriginCityMarketID;OriginCityName;OriginState;OriginStateFips;OriginStateName;OriginWac,0.002887,3,14,71,28,188,0
topFlightDCs_parsed.py,DayofMonth,112,27,17,11,12,DayOfWeek;FlightDate;Origin;OriginAirportID;OriginAirportSeqID;OriginCityMarketID;OriginCityName;OriginState;OriginStateFips;OriginStateName;OriginWac,0.002871,3,14,71,28,188,0
topFlightDCs_parsed.py,FlightDate,112,3,17,11,12,DayOfWeek;DayofMonth;Origin;OriginAirportID;OriginAirportSeqID;OriginCityMarketID;OriginCityName;OriginState;OriginStateFips;OriginStateName;OriginWac,0.002806,4,14,71,28,188,0
topFlightDCs_parsed.py,FlightNum,112,9,17,10,11,Month;Origin;OriginAirportID;OriginAirportSeqID;OriginCityMarketID;OriginCityName;OriginState;OriginStateFips;OriginStateName;OriginWac,0.002801,3,14,71,28,188,0
topFlightDCs_parsed.py,Month,112,1,17,10,11,FlightNum;Origin;OriginAirportID;OriginAirportSeqID;OriginCityMarketID;OriginCityName;OriginState;OriginStateFips;OriginStateName;OriginWac,0.002783,4,14,71,28,188,0
topFlightDCs_parsed.py,Origin,112,13,17,8,9,OriginAirportID;OriginAirportSeqID;OriginCityMarketID;OriginCityName;OriginState;OriginStateFips;OriginStateName;OriginWac,0.002699,3,14,71,28,188,0
topFlightDCs_parsed.py,OriginAirportID,112,33,17,8,9,Origin;OriginAirportSeqID;OriginCityMarketID;OriginCityName;OriginState;OriginStateFips;OriginStateName;OriginWac,0.002698,2,14,71,28,188,0
topFlightDCs_parsed.py,OriginAirportSeqID,112,33,17,8,9,Origin;OriginAirportID;OriginCityMarketID;OriginCityName;OriginState;OriginStateFips;OriginStateName;OriginWac,0.002685,2,14,71,28,188,0
topFlightDCs_parsed.py,OriginCityMarketID,112,29,17,8,9,Origin;OriginAirportID;OriginAirportSeqID;OriginCityName;OriginState;OriginStateFips;OriginStateName;OriginWac,0.002680,3,14,71,28,188,0
topFlightDCs_parsed.py,OriginCityName,112,13,17,8,9,Origin;OriginAirportID;OriginAirportSeqID;OriginCityMarketID;OriginState;OriginStateFips;OriginStateName;OriginWac,0.002676,3,14,71,28,188,0
topFlightDCs_parsed.py,OriginState,112,22,17,8,9,Origin;OriginAirportID;OriginAirportSeqID;OriginCityMarketID;OriginCityName;OriginStateFips;OriginStateName;OriginWac,0.002693,2,14,71,28,188,0
topFlightDCs_parsed.py,OriginStateFips,112,22,17,8,9,Origin;OriginAirportID;OriginAirportSeqID;OriginCityMarketID;OriginCityName;OriginState;OriginStateName;OriginWac,0.002668,2,14,71,28,188,0
topFlightDCs_parsed.py,OriginStateName,112,22,17,8,9,Origin;OriginAirportID;OriginAirportSeqID;OriginCityMarketID;OriginCityName;OriginState;OriginStateFips;OriginWac,0.002709,2,14,71,28,188,0
topFlightDCs_parsed.py,OriginWac,112,22,17,8,9,Origin;OriginAirportID;OriginAirportSeqID;OriginCityMarketID;OriginCityName;OriginState;OriginStateFips;OriginStateName,0.002662,2,14,71,28,188,0
topFlightDCs_parsed.py,UniqueCarrier,112,4,17,2,3,AirlineID;Carrier,0.000299,1,3,3,6,10,0
