dataset,epsilon,leakage,utility,mask_size
airport,5,0.05010955345870127,-0.5,3
airport,5,0.22337399647872114,-0.5,3
airport,5,0.05010955345870127,-0.3333333333333333,2
airport,5,0.22337399647872114,-0.5,3
airport,5,0.03592524660768637,-0.3333333333333333,2
airport,5,0.013132038880604324,-0.3333333333333333,2
airport,5,0.03592524660768637,-0.6666666666666666,4
airport,5,0.015768127809462573,-0.6666666666666666,4
airport,5,0.015768127809462573,-0.8333333333333334,5
airport,5,0.03592524660768637,-0.3333333333333333,2
airport,5,0.22337399647872114,-0.0,0
airport,5,0.011469181810646378,-0.5,3
airport,5,0.22337399647872114,-0.16666666666666666,1
airport,5,0.22337399647872114,-0.3333333333333333,2
airport,5,0.015768127809462573,-0.8333333333333334,5
airport,5,0.03592524660768637,-0.3333333333333333,2
airport,5,0.013132038880604324,-0.5,3
airport,5,0.051126318247808444,-0.5,3
airport,5,0.013132038880604324,-0.5,3
airport,5,0.051126318247808444,-0.6666666666666666,4
airport,5,0.0008907266304110095,-0.8333333333333334,5
airport,5,0.22337399647872114,-0.3333333333333333,2
airport,5,0.05010955345870127,-0.6666666666666666,4
airport,5,0.05010955345870127,-0.5,3
airport,5,0.03592524660768637,-0.5,3
airport,5,0.03592524660768637,-0.5,3
airport,5,0.22337399647872114,-0.6666666666666666,4
airport,5,0.22337399647872114,-0.5,3
airport,5,0.003609042830710618,-0.8333333333333334,5
airport,5,0.22337399647872114,-0.16666666666666666,1
airport,5,0.015768127809462573,-0.8333333333333334,5
airport,5,0.22337399647872114,-0.0,0
airport,5,0.011469181810646378,-0.5,3
airport,5,0.0,-0.8333333333333334,5
airport,5,0.22337399647872114,-0.6666666666666666,4
airport,5,0.05010955345870127,-0.6666666666666666,4
airport,5,0.05853885744745513,-0.5,3
airport,5,0.22337399647872114,-0.3333333333333333,2
airport,5,0.03592524660768637,-0.5,3
airport,5,0.22337399647872114,-0.6666666666666666,4
airport,5,0.03592524660768637,-0.5,3
airport,5,0.05010955345870127,-0.5,3
airport,5,0.03592524660768637,-0.3333333333333333,2
airport,5,0.013132038880604324,-0.5,3
airport,5,0.0,-0.8333333333333334,5
airport,5,0.051126318247808444,-0.6666666666666666,4
airport,5,0.03592524660768637,-0.3333333333333333,2
airport,5,0.22337399647872114,-0.3333333333333333,2
airport,5,0.22337399647872114,-0.3333333333333333,2
airport,5,0.03592524660768637,-0.16666666666666666,1
airport,5,0.03592524660768637,-0.5,3
airport,5,0.22337399647872114,-0.3333333333333333,2
airport,5,0.22337399647872114,-0.3333333333333333,2
airport,5,0.03592524660768637,-0.6666666666666666,4
airport,5,0.22337399647872114,-0.3333333333333333,2
airport,5,0.22337399647872114,-0.0,0
airport,5,0.03592524660768637,-0.5,3
airport,5,0.03592524660768637,-0.16666666666666666,1
airport,5,0.22337399647872114,-0.0,0
airport,5,0.03592524660768637,-0.3333333333333333,2
airport,5,0.011469181810646378,-0.5,3
airport,5,0.05853885744745513,-0.5,3
airport,5,0.03592524660768637,-0.6666666666666666,4
airport,5,0.009414806213275395,-0.5,3
airport,5,0.008222647309668152,-0.6666666666666666,4
airport,5,0.22337399647872114,-0.16666666666666666,1
airport,5,0.051126318247808444,-0.5,3
airport,5,0.22337399647872114,-0.5,3
airport,5,0.003306804705818678,-0.8333333333333334,5
airport,5,0.03592524660768637,-0.3333333333333333,2
airport,5,0.03592524660768637,-0.5,3
airport,5,0.22337399647872114,-0.3333333333333333,2
airport,5,0.013132038880604324,-0.6666666666666666,4
airport,5,0.009414806213275395,-0.5,3
airport,5,0.013132038880604324,-0.5,3
airport,5,0.03592524660768637,-0.3333333333333333,2
airport,5,0.05010955345870127,-0.5,3
airport,5,0.03592524660768637,-0.3333333333333333,2
airport,5,0.05010955345870127,-0.3333333333333333,2
airport,5,0.05853885744745513,-0.5,3
airport,5,0.013132038880604324,-0.5,3
airport,5,0.22337399647872114,-0.6666666666666666,4
airport,5,0.013132038880604324,-0.5,3
airport,5,0.03592524660768637,-0.5,3
airport,5,0.03592524660768637,-0.5,3
airport,5,0.05010955345870127,-0.5,3
airport,5,0.22337399647872114,-0.16666666666666666,1
airport,5,0.0,-0.6666666666666666,4
airport,5,0.22337399647872114,-0.16666666666666666,1
airport,5,0.03592524660768637,-0.6666666666666666,4
airport,5,0.051126318247808444,-0.5,3
airport,5,0.0008907266304110095,-0.8333333333333334,5
airport,5,0.0008907266304110095,-0.8333333333333334,5
airport,5,0.009414806213275395,-0.5,3
airport,5,0.22337399647872114,-0.5,3
airport,5,0.05853885744745513,-0.5,3
airport,5,0.22337399647872114,-0.6666666666666666,4
airport,5,0.011469181810646378,-0.5,3
airport,5,0.03592524660768637,-0.3333333333333333,2
airport,5,0.22337399647872114,-0.16666666666666666,1
hospital,5,0.3592419527878562,-100.6,6
hospital,5,0.2629936790618288,-0.6,6
hospital,5,0.44440927545847886,-100.7,7
hospital,5,0.6090400455538584,-100.4,4
hospital,5,0.3592419527878562,-100.6,6
hospital,5,0.6623992294064142,-100.2,2
hospital,5,0.26303652729247295,-0.6,6
hospital,5,0.4824620342632009,-100.3,3
hospital,5,0.24175913958548945,-0.6,6
hospital,5,0.41469597047666695,-100.8,8
hospital,5,0.385599188513301,-100.3,3
hospital,5,0.41469597047666695,-100.5,5
hospital,5,0.6005002201919581,-100.3,3
hospital,5,0.6623992294064142,-100.2,2
hospital,5,0.5053837288882768,-100.4,4
hospital,5,0.24175913958548945,-0.5,5
hospital,5,0.6005002201919581,-100.3,3
hospital,5,0.6005002201919581,-100.3,3
hospital,5,0.5053837288882768,-100.3,3
hospital,5,0.029167650999047168,-0.8,8
hospital,5,0.24175913958548945,-0.7,7
hospital,5,0.4824620342632009,-100.4,4
hospital,5,0.41469597047666695,-100.6,6
hospital,5,0.5468475106079831,-100.5,5
hospital,5,0.46992211475481305,-100.5,5
hospital,5,0.385599188513301,-100.5,5
hospital,5,0.46992211475481305,-100.4,4
hospital,5,0.3592419527878562,-100.3,3
hospital,5,0.24175913958548945,-0.3,3
hospital,5,0.24175913958548945,-0.4,4
hospital,5,0.26303652729247295,-0.5,5
hospital,5,0.41469597047666695,-100.3,3
hospital,5,0.5053837288882768,-100.4,4
hospital,5,0.4824620342632009,-100.6,6
hospital,5,0.5053837288882768,-100.1,1
hospital,5,0.5626500316767806,-100.4,4
hospital,5,0.44440927545847886,-100.8,8
hospital,5,0.5053837288882768,-100.4,4
hospital,5,0.6623992294064142,-100.5,5
hospital,5,0.6005002201919581,-100.5,5
hospital,5,0.6090400455538584,-100.4,4
hospital,5,0.5053837288882768,-100.2,2
hospital,5,0.5626500316767806,-100.6,6
hospital,5,0.41469597047666695,-100.6,6
hospital,5,0.41469597047666695,-100.5,5
hospital,5,0.24175913958548945,-0.7,7
hospital,5,0.385599188513301,-100.4,4
hospital,5,0.5053837288882768,-100.4,4
hospital,5,0.24175913958548945,-0.8,8
hospital,5,0.4824620342632009,-100.4,4
hospital,5,0.4824620342632009,-100.5,5
hospital,5,0.24175913958548945,-0.8,8
hospital,5,0.6090400455538584,-100.5,5
hospital,5,0.6005002201919581,-100.6,6
hospital,5,0.14540885463656628,-0.9,9
hospital,5,0.6005002201919581,-100.4,4
hospital,5,0.24315756576632586,-0.5,5
hospital,5,0.46992211475481305,-100.3,3
hospital,5,0.4824620342632009,-100.6,6
hospital,5,0.6090400455538584,-100.4,4
hospital,5,0.42850099142022324,-100.7,7
hospital,5,0.46992211475481305,-100.6,6
hospital,5,0.46992211475481305,-100.6,6
hospital,5,0.4824620342632009,-100.5,5
hospital,5,0.5053837288882768,-100.3,3
hospital,5,0.6623992294064142,-100.2,2
hospital,5,0.42853421735144903,-100.6,6
hospital,5,0.24175913958548945,-0.4,4
hospital,5,0.6090400455538584,-100.3,3
hospital,5,0.6623992294064142,-100.5,5
hospital,5,0.24315756576632586,-0.7,7
hospital,5,0.5053837288882768,-100.4,4
hospital,5,0.5468475106079831,-100.5,5
hospital,5,0.5468475106079831,-100.4,4
hospital,5,0.21940735109689347,-0.8,8
hospital,5,0.24175913958548945,-0.7,7
hospital,5,0.6623992294064142,-100.4,4
hospital,5,0.5626500316767806,-100.5,5
hospital,5,0.5069645614182471,-100.5,5
hospital,5,0.6005002201919581,-100.6,6
hospital,5,0.26303652729247295,-0.5,5
hospital,5,0.21945273335876703,-0.8,8
hospital,5,0.6005002201919581,-100.4,4
hospital,5,0.3592419527878562,-100.6,6
hospital,5,0.6090400455538584,-100.5,5
hospital,5,0.24175913958548945,-0.5,5
hospital,5,0.5069358955522029,-100.4,4
hospital,5,0.3592419527878562,-100.4,4
hospital,5,0.6090400455538584,-100.3,3
hospital,5,0.385599188513301,-100.6,6
hospital,5,0.385599188513301,-100.5,5
hospital,5,0.5069645614182471,-100.5,5
hospital,5,0.5069645614182471,-100.2,2
hospital,5,0.3592419527878562,-100.5,5
hospital,5,0.5468475106079831,-100.2,2
hospital,5,0.5053837288882768,-100.5,5
hospital,5,0.26303652729247295,-0.6,6
hospital,5,0.5053837288882768,-100.4,4
hospital,5,0.2629936790618288,-0.5,5
hospital,5,0.24175913958548945,-0.4,4
adult,5,0.1052628956832925,-0.5833333333333334,7
adult,5,0.0774344949388257,-0.4166666666666667,5
adult,5,0.07470802683816113,-0.5,6
adult,5,0.05952883670912035,-0.75,9
adult,5,0.4400981151104615,-100.41666666666667,5
adult,5,0.06245553429299022,-0.5833333333333334,7
adult,5,0.189147475748339,-0.5,6
adult,5,0.11174008934892732,-0.5833333333333334,7
adult,5,0.2602038864131443,-0.4166666666666667,5
adult,5,0.1826450195234257,-0.5,6
adult,5,0.03328409085217854,-0.5,6
adult,5,0.07470802683816113,-0.25,3
adult,5,0.49122554744404323,-100.08333333333333,1
adult,5,0.0035473236271421626,-0.6666666666666666,8
adult,5,0.12068209858875811,-0.4166666666666667,5
adult,5,0.0021431443156229024,-0.8333333333333334,10
adult,5,0.20657663525365322,-0.5,6
adult,5,0.12486866579692091,-0.4166666666666667,5
adult,5,0.06494594038142054,-0.6666666666666666,8
adult,5,0.06787191711412988,-0.5833333333333334,7
adult,5,0.49122554744404323,-100.08333333333333,1
adult,5,0.0878679316721257,-0.4166666666666667,5
adult,5,0.12044135365660302,-0.5,6
adult,5,0.3176491522669148,-100.41666666666667,5
adult,5,0.1878313247026666,-0.4166666666666667,5
adult,5,0.1286723566017356,-0.4166666666666667,5
adult,5,0.07692492647331284,-0.5,6
adult,5,0.0711866684377851,-0.75,9
adult,5,0.1286723566017356,-0.3333333333333333,4
adult,5,0.32232490250934953,-100.5,6
adult,5,0.10651596730398294,-0.4166666666666667,5
adult,5,0.13249648641337675,-0.3333333333333333,4
adult,5,0.1918785466640921,-0.3333333333333333,4
adult,5,0.3549121986195237,-100.33333333333333,4
adult,5,0.1878313247026666,-0.4166666666666667,5
adult,5,0.05768827985770486,-0.75,9
adult,5,0.02081924993057771,-0.75,9
adult,5,0.05444461049555549,-0.5833333333333334,7
adult,5,0.02081924993057771,-0.8333333333333334,10
adult,5,0.0039926715069840135,-0.5833333333333334,7
adult,5,0.3098032298169604,-100.5,6
adult,5,0.0774344949388257,-0.5,6
adult,5,0.0774344949388257,-0.5,6
adult,5,0.1458503869495088,-0.5833333333333334,7
adult,5,0.4529639280348353,-100.25,3
adult,5,0.3104229597877465,-100.58333333333333,7
adult,5,0.07938108673339794,-0.5,6
adult,5,0.13346141606678164,-0.3333333333333333,4
adult,5,0.06511718862083615,-0.5,6
adult,5,0.08129409482449701,-0.5833333333333334,7
adult,5,0.3814006228815784,-100.08333333333333,1
adult,5,0.12174462157446053,-0.5,6
adult,5,0.0774344949388257,-0.4166666666666667,5
adult,5,0.2619944952694371,-0.25,3
adult,5,0.05453157757587068,-0.5,6
adult,5,0.3507251203521502,-100.41666666666667,5
adult,5,0.08567112101477592,-0.5,6
adult,5,0.06245553429299022,-0.5,6
adult,5,0.19959302122615685,-0.3333333333333333,4
adult,5,0.06590522876458327,-0.6666666666666666,8
adult,5,0.08129409482449701,-0.5833333333333334,7
adult,5,0.0774344949388257,-0.5,6
adult,5,0.06010255907941686,-0.5833333333333334,7
adult,5,0.2602038864131443,-0.3333333333333333,4
adult,5,0.13754217745055075,-0.3333333333333333,4
adult,5,0.2589491290654218,-0.5,6
adult,5,0.1203074893543431,-0.4166666666666667,5
adult,5,0.05769448915247033,-0.5833333333333334,7
adult,5,0.3541729597831603,-100.33333333333333,4
adult,5,0.0774344949388257,-0.25,3
adult,5,0.1771495162356329,-0.4166666666666667,5
adult,5,0.1918785466640921,-0.5,6
adult,5,0.32232490250934953,-100.41666666666667,5
adult,5,0.11568210096592169,-0.4166666666666667,5
adult,5,0.08225993585699454,-0.5833333333333334,7
adult,5,0.16861179236704193,-0.5833333333333334,7
adult,5,0.11568210096592169,-0.3333333333333333,4
adult,5,0.49122554744404323,-100.16666666666667,2
adult,5,0.031177655001940807,-0.5833333333333334,7
adult,5,0.1286723566017356,-0.5,6
adult,5,0.1878313247026666,-0.4166666666666667,5
adult,5,0.02148613292353818,-0.5833333333333334,7
adult,5,0.04164231935793272,-0.6666666666666666,8
adult,5,0.07153201901807926,-0.6666666666666666,8
adult,5,0.3301043526395674,-100.33333333333333,4
adult,5,0.07312504602309366,-0.5833333333333334,7
adult,5,0.2652021792392981,-0.3333333333333333,4
adult,5,0.19959302122615685,-0.3333333333333333,4
adult,5,0.2726821726489278,-0.08333333333333333,1
adult,5,0.12031716439040885,-0.5833333333333334,7
adult,5,0.06960705071649353,-0.5,6
adult,5,0.059951501956027387,-0.75,9
adult,5,0.07153923200392931,-0.6666666666666666,8
adult,5,0.06511718862083615,-0.4166666666666667,5
adult,5,0.32232490250934953,-100.5,6
adult,5,0.12486866579692091,-0.5,6
adult,5,0.13053632519572766,-0.5833333333333334,7
adult,5,0.40048075237444647,-100.5,6
adult,5,0.11586850607824573,-0.5,6
adult,5,0.2602038864131443,-0.3333333333333333,4
flight,5,0.9826408586840785,-100.15384615384616,2
flight,5,0.9680567115073361,-100.46153846153847,6
flight,5,0.9826408586840785,-100.38461538461539,5
flight,5,0.7637041577312637,-100.46153846153847,6
flight,5,0.7615997542394806,-100.3076923076923,4
flight,5,0.18094116044347042,-0.6153846153846154,8
flight,5,0.7637041577312637,-100.46153846153847,6
flight,5,0.9680567115073361,-100.38461538461539,5
flight,5,0.08907123541814055,-0.7692307692307693,10
flight,5,0.7637041577312637,-100.53846153846153,7
flight,5,0.9680567115073361,-100.38461538461539,5
flight,5,0.9680567115073361,-100.61538461538461,8
flight,5,0.7835724119593105,-100.53846153846153,7
flight,5,0.13818569520024426,-0.5384615384615384,7
flight,5,0.9826408586840785,-100.3076923076923,4
flight,5,0.12744625720955838,-0.5384615384615384,7
flight,5,0.1767850387862866,-0.7692307692307693,10
flight,5,0.9680567115073361,-100.38461538461539,5
flight,5,0.9680567115073361,-100.6923076923077,9
flight,5,0.9826408586840785,-100.53846153846153,7
flight,5,0.9680567115073361,-100.46153846153847,6
flight,5,0.8846850956852224,-100.76923076923077,10
flight,5,0.9826408586840785,-100.38461538461539,5
flight,5,0.17632192147614734,-0.38461538461538464,5
flight,5,0.9680567115073361,-100.46153846153847,6
flight,5,0.9826408586840785,-100.6923076923077,9
