method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsdel2ph,hospital,ProviderNumber,0.7320489883422852,0.7290029525756836,0.00010395050048828125,0.0029420852661132812,0.42850099142022324,0.6623992294064142,-1006.0,84,6,76100,10
del2ph,hospital,ProviderNumber,0.0018129348754882812,0.0,9.202957153320312e-05,0.0017209053039550781,0.385599188513301,0.6623992294064142,-1004.0,13,4,76100,10
del2ph,hospital,ProviderNumber,0.0019519329071044922,0.0,9.179115295410156e-05,0.0018601417541503906,0.24175913958548945,0.6623992294064142,-4.0,25,4,76100,10
del2ph,hospital,ProviderNumber,0.0018963813781738281,0.0,8.916854858398438e-05,0.0018072128295898438,0.4930779364297052,0.6623992294064142,-1004.0,16,4,76100,10
del2ph,hospital,ProviderNumber,0.0017421245574951172,0.0,8.821487426757812e-05,0.001653909683227539,0.35966634913433626,0.6623992294064142,-1005.0,9,5,76100,10
del2ph,hospital,ProviderNumber,0.0018677711486816406,0.0,8.893013000488281e-05,0.0017788410186767578,0.4156135985944347,0.6623992294064142,-1005.0,28,5,76100,10
del2ph,hospital,ProviderNumber,0.001711130142211914,0.0,0.00011897087097167969,0.0015921592712402344,0.5468475106079831,0.6623992294064142,-1006.0,50,6,76100,10
del2ph,hospital,ProviderNumber,0.001953125,0.0,9.608268737792969e-05,0.0018570423126220703,0.24175913958548945,0.6623992294064142,-8.0,102,8,76100,10
del2ph,hospital,ProviderNumber,0.0016798973083496094,0.0,9.274482727050781e-05,0.0015871524810791016,0.6009727293422886,0.6623992294064142,-1005.0,9,5,76100,10
del2ph,hospital,ProviderNumber,0.0014216899871826172,0.0,9.870529174804688e-05,0.0013229846954345703,0.6009727293422886,0.6623992294064142,-1005.0,17,5,76100,10
del2ph,hospital,ProviderNumber,0.0018928050994873047,0.0,8.988380432128906e-05,0.0018029212951660156,0.385599188513301,0.6623992294064142,-1006.0,45,6,76100,10
del2ph,hospital,ProviderNumber,0.001984834671020508,0.0,9.179115295410156e-05,0.0018930435180664062,0.35966634913433626,0.6623992294064142,-1003.0,6,3,76100,10
del2ph,hospital,ProviderNumber,0.0019021034240722656,0.0,0.00025200843811035156,0.001650094985961914,0.5468475106079831,0.6623992294064142,-1008.0,78,8,76100,10
del2ph,hospital,ProviderNumber,0.0016345977783203125,0.0,0.00027179718017578125,0.0013628005981445312,0.6623992294064142,0.6623992294064142,-1002.0,4,2,76100,10
del2ph,hospital,ProviderNumber,0.0019450187683105469,0.0,0.00042700767517089844,0.0015180110931396484,0.5468475106079831,0.6623992294064142,-1005.0,26,5,76100,10
del2ph,hospital,ProviderNumber,0.002068042755126953,0.0,0.00028586387634277344,0.0017821788787841797,0.0,0.6623992294064142,-9.0,-1,9,76100,10
del2ph,hospital,ProviderNumber,0.0018200874328613281,0.0,0.0003190040588378906,0.0015010833740234375,0.4930779364297052,0.6623992294064142,-1007.0,98,7,76100,10
