dataset,epsilon,leakage,utility,mask_size
airport,1,0.03592524660768637,-0.3333333333333333,2
airport,1,0.013132038880604324,-0.6666666666666666,4
airport,1,0.05010955345870127,-0.6666666666666666,4
airport,1,0.05010955345870127,-0.3333333333333333,2
airport,1,0.05010955345870127,-0.6666666666666666,4
airport,1,0.22337399647872114,-0.3333333333333333,2
airport,1,0.05010955345870127,-0.5,3
airport,1,0.03592524660768637,-0.5,3
airport,1,0.03592524660768637,-0.5,3
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.22337399647872114,-0.0,0
airport,1,0.22337399647872114,-0.3333333333333333,2
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.22337399647872114,-0.3333333333333333,2
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.03592524660768637,-0.5,3
airport,1,0.03592524660768637,-0.3333333333333333,2
airport,1,0.03592524660768637,-0.6666666666666666,4
airport,1,0.22337399647872114,-0.3333333333333333,2
airport,1,0.05010955345870127,-0.3333333333333333,2
airport,1,0.03592524660768637,-0.3333333333333333,2
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.03592524660768637,-0.6666666666666666,4
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.0,-0.8333333333333334,5
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.051126318247808444,-0.5,3
airport,1,0.22337399647872114,-0.0,0
airport,1,0.011469181810646378,-0.5,3
airport,1,0.03592524660768637,-0.3333333333333333,2
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.22337399647872114,-0.3333333333333333,2
airport,1,0.03592524660768637,-0.16666666666666666,1
airport,1,0.03592524660768637,-0.5,3
airport,1,0.22337399647872114,-0.3333333333333333,2
airport,1,0.03592524660768637,-0.6666666666666666,4
airport,1,0.22337399647872114,-0.0,0
airport,1,0.22337399647872114,-0.0,0
airport,1,0.22337399647872114,-0.0,0
airport,1,0.03592524660768637,-0.3333333333333333,2
airport,1,0.0,-0.6666666666666666,4
airport,1,0.22337399647872114,-0.5,3
airport,1,0.22337399647872114,-0.0,0
airport,1,0.05010955345870127,-0.3333333333333333,2
airport,1,0.03592524660768637,-0.5,3
airport,1,0.0008907266304110095,-0.8333333333333334,5
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.013132038880604324,-0.5,3
airport,1,0.03592524660768637,-0.5,3
airport,1,0.22337399647872114,-0.3333333333333333,2
airport,1,0.003306804705818678,-0.8333333333333334,5
airport,1,0.013132038880604324,-0.5,3
airport,1,0.22337399647872114,-0.3333333333333333,2
airport,1,0.22337399647872114,-0.0,0
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.03592524660768637,-0.3333333333333333,2
airport,1,0.22337399647872114,-0.3333333333333333,2
airport,1,0.22337399647872114,-0.0,0
airport,1,0.013132038880604324,-0.5,3
airport,1,0.22337399647872114,-0.3333333333333333,2
airport,1,0.03592524660768637,-0.3333333333333333,2
airport,1,0.05010955345870127,-0.3333333333333333,2
airport,1,0.03592524660768637,-0.16666666666666666,1
airport,1,0.05010955345870127,-0.3333333333333333,2
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.03592524660768637,-0.3333333333333333,2
airport,1,0.03592524660768637,-0.3333333333333333,2
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.22337399647872114,-0.0,0
airport,1,0.22337399647872114,-0.3333333333333333,2
airport,1,0.03592524660768637,-0.3333333333333333,2
airport,1,0.03592524660768637,-0.3333333333333333,2
airport,1,0.22337399647872114,-0.3333333333333333,2
airport,1,0.03592524660768637,-0.5,3
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.06016840572859605,-0.6666666666666666,4
airport,1,0.22337399647872114,-0.0,0
airport,1,0.013132038880604324,-0.5,3
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.05010955345870127,-0.5,3
airport,1,0.03592524660768637,-0.16666666666666666,1
airport,1,0.22337399647872114,-0.3333333333333333,2
airport,1,0.03592524660768637,-0.3333333333333333,2
airport,1,0.008222647309668152,-0.6666666666666666,4
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.22337399647872114,-0.3333333333333333,2
airport,1,0.015768127809462573,-0.8333333333333334,5
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.22337399647872114,-0.5,3
airport,1,0.0,-1.0,6
airport,1,0.22337399647872114,-0.0,0
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.22337399647872114,-0.3333333333333333,2
airport,1,0.03592524660768637,-0.3333333333333333,2
airport,1,0.03592524660768637,-0.16666666666666666,1
airport,1,0.22337399647872114,-0.16666666666666666,1
airport,1,0.013132038880604324,-0.3333333333333333,2
hospital,1,0.26303652729247295,-0.4,4
hospital,1,0.2629936790618288,-0.6,6
hospital,1,0.24315756576632586,-0.7,7
hospital,1,0.21945273335876703,-0.5,5
hospital,1,0.21940735109689347,-0.5,5
hospital,1,0.24315756576632586,-0.5,5
hospital,1,0.24175913958548945,-0.5,5
hospital,1,0.26303652729247295,-0.5,5
hospital,1,0.21945273335876703,-0.7,7
hospital,1,0.26303652729247295,-0.5,5
hospital,1,0.24175913958548945,-0.5,5
hospital,1,0.24175913958548945,-0.6,6
hospital,1,0.21945273335876703,-0.6,6
hospital,1,0.24175913958548945,-0.6,6
hospital,1,0.21945273335876703,-0.7,7
hospital,1,0.24175913958548945,-0.4,4
hospital,1,0.21945273335876703,-0.5,5
hospital,1,0.26303652729247295,-0.5,5
hospital,1,0.26303652729247295,-0.3,3
hospital,1,0.26303652729247295,-0.3,3
hospital,1,0.26303652729247295,-0.4,4
hospital,1,0.21940735109689347,-0.7,7
hospital,1,0.26303652729247295,-0.3,3
hospital,1,0.26303652729247295,-0.5,5
hospital,1,0.26303652729247295,-0.3,3
hospital,1,0.24175913958548945,-0.6,6
hospital,1,0.24315756576632586,-0.6,6
hospital,1,0.2629936790618288,-0.6,6
hospital,1,0.24175913958548945,-0.6,6
hospital,1,0.24175913958548945,-0.5,5
hospital,1,0.2629936790618288,-0.7,7
hospital,1,0.26303652729247295,-0.4,4
hospital,1,0.24175913958548945,-0.5,5
hospital,1,0.24175913958548945,-0.4,4
hospital,1,0.24175913958548945,-0.5,5
hospital,1,0.24175913958548945,-0.6,6
hospital,1,0.26303652729247295,-0.5,5
hospital,1,0.2629936790618288,-0.6,6
hospital,1,0.26303652729247295,-0.5,5
hospital,1,0.24175913958548945,-0.7,7
hospital,1,0.24175913958548945,-0.7,7
hospital,1,0.24175913958548945,-0.5,5
hospital,1,0.24175913958548945,-0.6,6
hospital,1,0.26303652729247295,-0.3,3
