dataset,target,epsilon,L0,lambda_penalty,hypergraph_mode,build_time_seconds
adult,education,0.0,0.025,1000.0,MAX,7.217124
adult,education,0.0,0.05,1000.0,MAX,7.257549
adult,education,0.0,0.1,1000.0,MAX,7.225080
adult,education,0.0,0.2,1000.0,MAX,7.281085
adult,education,0.0,0.3,1000.0,MAX,7.564464
adult,education,0.0,0.4,1000.0,MAX,7.299106
adult,education,0.0,0.5,1000.0,MAX,7.406402
adult,education,0.0,0.6,1000.0,MAX,7.454885
adult,education,0.0,0.7,1000.0,MAX,7.245972
adult,education,0.0,0.8,1000.0,MAX,7.306949
adult,education,0.0,0.9,1000.0,MAX,7.279946
adult,education,0.1,0.025,1000.0,MAX,7.429152
adult,education,0.1,0.05,1000.0,MAX,7.481888
adult,education,0.1,0.1,1000.0,MAX,8.264383
adult,education,0.1,0.2,1000.0,MAX,7.395694
adult,education,0.1,0.3,1000.0,MAX,7.294484
adult,education,0.1,0.4,1000.0,MAX,7.255997
adult,education,0.1,0.5,1000.0,MAX,7.341265
adult,education,0.1,0.6,1000.0,MAX,7.264797
adult,education,0.1,0.7,1000.0,MAX,7.362541
adult,education,0.1,0.8,1000.0,MAX,7.321270
adult,education,0.1,0.9,1000.0,MAX,7.293772
adult,education,0.5,0.025,1000.0,MAX,7.273662
adult,education,0.5,0.05,1000.0,MAX,7.360485
adult,education,0.5,0.1,1000.0,MAX,7.313372
adult,education,0.5,0.2,1000.0,MAX,7.296054
adult,education,0.5,0.3,1000.0,MAX,7.238207
adult,education,0.5,0.4,1000.0,MAX,7.270342
adult,education,0.5,0.5,1000.0,MAX,7.244785
adult,education,0.5,0.6,1000.0,MAX,7.232779
adult,education,0.5,0.7,1000.0,MAX,7.310099
adult,education,0.5,0.8,1000.0,MAX,7.267764
adult,education,0.5,0.9,1000.0,MAX,7.380179
adult,education,0.75,0.025,1000.0,MAX,7.401068
adult,education,0.75,0.05,1000.0,MAX,7.356376
adult,education,0.75,0.1,1000.0,MAX,7.405687
adult,education,0.75,0.2,1000.0,MAX,7.353480
adult,education,0.75,0.3,1000.0,MAX,7.452774
adult,education,0.75,0.4,1000.0,MAX,7.369111
adult,education,0.75,0.5,1000.0,MAX,7.416127
adult,education,0.75,0.6,1000.0,MAX,7.303589
adult,education,0.75,0.7,1000.0,MAX,7.246486
adult,education,0.75,0.8,1000.0,MAX,7.280329
adult,education,0.75,0.9,1000.0,MAX,7.273794
adult,education,1.0,0.025,1000.0,MAX,7.249707
adult,education,1.0,0.05,1000.0,MAX,7.336743
adult,education,1.0,0.1,1000.0,MAX,7.615649
adult,education,1.0,0.2,1000.0,MAX,7.341778
adult,education,1.0,0.3,1000.0,MAX,7.320366
adult,education,1.0,0.4,1000.0,MAX,7.345521
adult,education,1.0,0.5,1000.0,MAX,7.342618
adult,education,1.0,0.6,1000.0,MAX,7.313060
adult,education,1.0,0.7,1000.0,MAX,7.522040
adult,education,1.0,0.8,1000.0,MAX,7.627167
adult,education,1.0,0.9,1000.0,MAX,7.529044
adult,education,1.5,0.025,1000.0,MAX,7.583136
adult,education,1.5,0.05,1000.0,MAX,7.606502
adult,education,1.5,0.1,1000.0,MAX,7.604846
adult,education,1.5,0.2,1000.0,MAX,7.690000
adult,education,1.5,0.3,1000.0,MAX,7.552781
adult,education,1.5,0.4,1000.0,MAX,7.391474
adult,education,1.5,0.5,1000.0,MAX,7.434697
adult,education,1.5,0.6,1000.0,MAX,7.524261
adult,education,1.5,0.7,1000.0,MAX,7.871410
adult,education,1.5,0.8,1000.0,MAX,7.491062
adult,education,1.5,0.9,1000.0,MAX,7.357893
adult,education,2.0,0.025,1000.0,MAX,7.256238
adult,education,2.0,0.05,1000.0,MAX,7.584951
adult,education,2.0,0.1,1000.0,MAX,7.359993
adult,education,2.0,0.2,1000.0,MAX,7.612028
adult,education,2.0,0.3,1000.0,MAX,7.594915
adult,education,2.0,0.4,1000.0,MAX,7.597526
adult,education,2.0,0.5,1000.0,MAX,7.404312
adult,education,2.0,0.6,1000.0,MAX,7.611016
adult,education,2.0,0.7,1000.0,MAX,7.630214
adult,education,2.0,0.8,1000.0,MAX,7.574898
adult,education,2.0,0.9,1000.0,MAX,7.460277
adult,education,2.5,0.025,1000.0,MAX,7.590955
adult,education,2.5,0.05,1000.0,MAX,7.583276
adult,education,2.5,0.1,1000.0,MAX,7.609746
adult,education,2.5,0.2,1000.0,MAX,7.755489
adult,education,2.5,0.3,1000.0,MAX,7.500092
adult,education,2.5,0.4,1000.0,MAX,7.685331
adult,education,2.5,0.5,1000.0,MAX,7.713605
adult,education,2.5,0.6,1000.0,MAX,7.492477
adult,education,2.5,0.7,1000.0,MAX,7.570381
adult,education,2.5,0.8,1000.0,MAX,11.414817
adult,education,2.5,0.9,1000.0,MAX,11.601498
adult,education,5.0,0.025,1000.0,MAX,11.596392
adult,education,5.0,0.05,1000.0,MAX,11.560933
adult,education,5.0,0.1,1000.0,MAX,11.482205
adult,education,5.0,0.2,1000.0,MAX,11.761975
adult,education,5.0,0.3,1000.0,MAX,12.909385
adult,education,5.0,0.4,1000.0,MAX,11.502088
adult,education,5.0,0.5,1000.0,MAX,11.747181
adult,education,5.0,0.6,1000.0,MAX,11.925087
adult,education,5.0,0.7,1000.0,MAX,11.700495
adult,education,5.0,0.8,1000.0,MAX,11.694488
adult,education,5.0,0.9,1000.0,MAX,11.632479
adult,education,10.0,0.025,1000.0,MAX,13.141099
adult,education,10.0,0.05,1000.0,MAX,12.852403
adult,education,10.0,0.1,1000.0,MAX,12.546052
adult,education,10.0,0.2,1000.0,MAX,12.102066
adult,education,10.0,0.3,1000.0,MAX,12.063471
adult,education,10.0,0.4,1000.0,MAX,12.294234
adult,education,10.0,0.5,1000.0,MAX,12.210670
adult,education,10.0,0.6,1000.0,MAX,12.008093
adult,education,10.0,0.7,1000.0,MAX,12.066369
adult,education,10.0,0.8,1000.0,MAX,12.215069
adult,education,10.0,0.9,1000.0,MAX,12.331079
