dataset,target,epsilon,L0,lambda_penalty,hypergraph_mode,build_time_seconds
flight,FlightDate,5.0,0.05,1000.0,MAX,76.130730
flight,FlightDate,5.0,0.1,1000.0,MAX,76.121876
flight,FlightDate,5.0,0.2,1000.0,MAX,76.584934
flight,FlightDate,5.0,0.3,1000.0,MAX,76.209454
flight,FlightDate,5.0,0.4,1000.0,MAX,75.437971
flight,FlightDate,5.0,0.5,1000.0,MAX,74.828174
flight,FlightDate,5.0,0.6,1000.0,MAX,74.632419
flight,FlightDate,5.0,0.7,1000.0,MAX,75.273410
flight,FlightDate,5.0,0.8,1000.0,MAX,75.631517
flight,FlightDate,5.0,0.9,1000.0,MAX,77.160558
flight,FlightDate,10.0,0.025,1000.0,MAX,76.870365
flight,FlightDate,10.0,0.05,1000.0,MAX,76.502580
flight,FlightDate,10.0,0.1,1000.0,MAX,77.141232
flight,FlightDate,10.0,0.2,1000.0,MAX,77.491086
flight,FlightDate,10.0,0.3,1000.0,MAX,77.604607
flight,FlightDate,10.0,0.4,1000.0,MAX,77.549917
flight,FlightDate,10.0,0.5,1000.0,MAX,75.982671
flight,FlightDate,10.0,0.6,1000.0,MAX,77.262130
flight,FlightDate,10.0,0.7,1000.0,MAX,79.071460
flight,FlightDate,10.0,0.8,1000.0,MAX,77.541216
flight,FlightDate,10.0,0.9,1000.0,MAX,77.281478
