dataset,target,epsilon,L0,lambda_penalty,hypergraph_mode,build_time_seconds
hospital,ProviderNumber,0.0,0.025,1000.0,MAX,0.782462
hospital,ProviderNumber,0.1,0.025,1000.0,MAX,0.761266
