dataset,premise,target,N_valid,support,groups,avg_size,K,avgK,p,p0,p_lcb95,w_norm
airport,"local_code,type",iata_code,3006.0,0.0545553539019963,2967,1.01314459049545,3001.0,1.0124705089315806,0.9876912840984696,0.0006653359946773,0.9830808052221188,0.9876830892143807
airport,"continent,type,wikipedia_link",keywords,1867.0,0.0338838475499092,1841,1.0141227593699076,1689.0,1.01303639326453,0.9871451526513124,0.0246384574183181,0.9809431594811342,0.9868204283360792
airport,local_code,wikipedia_link,3919.0,0.071125226860254,3856,1.0163381742738589,3906.0,1.0147821576763485,0.9854554733350344,0.0007655014034192,0.9812035446414016,0.9854443309499488
airport,"continent,wikipedia_link",keywords,1867.0,0.0338838475499092,1833,1.0185488270594654,1689.0,1.0152755046372068,0.9850026780931976,0.0246384574183181,0.9784098428871147,0.9846238330587588
airport,gps_code,home_link,2338.0,0.0424319419237749,2299,1.0169638973466724,2329.0,1.0165289256198349,0.9837467921300256,0.001710863986313,0.9777707326838196,0.9837189374464438
airport,"local_code,scheduled_service",iata_code,3006.0,0.0545553539019963,2950,1.0189830508474575,3001.0,1.0183050847457626,0.9820359281437124,0.0006653359946773,0.9766358098786282,0.9820239680426096
airport,"continent,keywords",iso_country,5315.0,0.0964609800362976,4585,1.159214830970556,178.0,1.012431842966194,0.9836312323612416,0.1952963311382878,0.9798539441209206,0.9796586392331073
airport,local_code,iata_code,3006.0,0.0545553539019963,2919,1.0298047276464544,3001.0,1.029119561493662,0.9717232202262144,0.0006653359946773,0.965168581625747,0.9717043941411452
airport,keywords,home_link,1240.0,0.0225045372050816,1180,1.0508474576271187,1233.0,1.05,0.9524193548387097,0.0024193548387096,0.9391093362521824,0.952303961196443
airport,"continent,keywords",home_link,769.0,0.0139564428312159,730,1.0534246575342463,765.0,1.0520547945205478,0.9505851755526658,0.0039011703511053,0.9329017475104464,0.9503916449086162
airport,keywords,scheduled_service,9395.0,0.170508166969147,8569,1.09639397829385,15.0,1.0046679892636248,0.9897817988291644,0.8702501330494944,0.9875385979146436,0.9212469237079568
airport,municipality,iata_code,8418.0,0.1527767695099818,7722,1.09013209013209,8303.0,1.0876715876715877,0.9195770966975528,0.009503444998812,0.91357442321859,0.918805468937395
airport,municipality,home_link,2801.0,0.0508348457350272,2504,1.1186102236421724,2785.0,1.1166134185303511,0.8957515173152446,0.0014280614066404,0.8838873362243609,0.8956024311762604
airport,municipality,wikipedia_link,9264.0,0.168130671506352,7915,1.1704358812381557,9181.0,1.1663929248262792,0.8578367875647669,0.001727115716753,0.8505770268001638,0.8575908304498271
airport,municipality,keywords,9052.0,0.1642831215970961,6832,1.3249414519906324,8274.0,1.29230093676815,0.7773972602739726,0.0142509942554131,0.7687107973807276,0.7741790877507565
airport,municipality,scheduled_service,49443.0,0.8973321234119782,27114,1.8235229032971896,65.0,1.0455115438518847,0.9723924519143256,0.9214246708330806,0.9709111041838768,0.648648648648648
airport,municipality,type,49443.0,0.8973321234119782,27114,1.8235229032971896,7.0,1.212768311573357,0.8374694092186963,0.6082559715227636,0.8341911727060747,0.5851102276834117
airport,elevation_ft,home_link,2806.0,0.0509255898366606,1453,1.9311768754301448,2791.0,1.9311768754301448,0.5178189593727727,0.0014255167498218,0.4993185286795832,0.5171306209850107
airport,municipality,local_code,28095.0,0.50989110707804,13185,2.130830489192264,26873.0,2.129161926431551,0.4700836447766506,0.0001779676098949,0.4642518971991459,0.4699893200427198
airport,elevation_ft,keywords,7420.0,0.1346642468239564,2430,3.053497942386832,7003.0,3.0411522633744856,0.3314016172506738,0.0173854447439353,0.3207806704748314,0.3195720751611576
airport,elevation_ft,iata_code,8829.0,0.1602359346642468,2847,3.101159114857745,8719.0,3.095890410958904,0.3241590214067278,0.0090610488164004,0.3144739100784007,0.3179791976225855
airport,"continent,type",scheduled_service,27340.0,0.4961887477313975,34,804.1176470588235,56.0,3.264705882352941,0.92289685442575,0.887710314557425,0.9196750494202112,0.3133550488599364
airport,elevation_ft,wikipedia_link,9429.0,0.171125226860254,2871,3.284221525600836,9378.0,3.2803901079763147,0.3056527733587867,0.0013787252094601,0.2964347038004687,0.3046941376380629
airport,type,scheduled_service,55100.0,1.0,7,7871.428571428572,66.0,11.142857142857142,0.9450998185117968,0.92519056261343,0.9431666210249318,0.2661329451722485
airport,"continent,type",iso_country,27093.0,0.4917059891107078,34,796.8529411764706,202.0,21.558823529411764,0.3781419554866571,0.1620344738493337,0.3723852986604038,0.2578954323217197
airport,continent,iso_country,27093.0,0.4917059891107078,6,4515.5,202.0,34.5,0.3384268999372531,0.1620344738493337,0.3328157438623534,0.2105008148702814
airport,elevation_ft,local_code,28302.0,0.5136479128856625,4512,6.272606382978723,27059.0,6.268617021276596,0.1600593597625609,0.0001766659600028,0.1558337223407996,0.1599109446231048
airport,elevation_ft,gps_code,39121.0,0.71,4950,7.903232323232324,38855.0,7.899191919191919,0.1270417422867513,0.0012525242197285,0.1237782671585387,0.1259469696969697
airport,"iso_country,type",home_link,3001.0,0.0544646098003629,334,8.98502994011976,2983.0,8.95808383233533,0.1142952349216927,0.0013328890369876,0.1034012916363003,0.1131131131131131
airport,"iso_country,type",wikipedia_link,9826.0,0.1783303085299455,679,14.471281296023564,9737.0,14.381443298969073,0.0748015469163443,0.0016283329940972,0.0697644394710092,0.0732925586136595
airport,"iso_country,type",keywords,9392.0,0.1704537205081669,562,16.71174377224199,8566.0,15.587188612099643,0.0848594548551959,0.0145868824531516,0.0793917855834493,0.0713128038897893
airport,"iso_country,type",iata_code,9150.0,0.1660617059891107,625,14.64,9028.0,14.4752,0.0791256830601093,0.0087431693989071,0.0737696423559377,0.0710033076074972
airport,iso_country,home_link,3001.0,0.0544646098003629,148,20.277027027027028,2983.0,20.155405405405407,0.0543152282572475,0.0013328890369876,0.0467613914433766,0.053053053053053
airport,iso_country,keywords,9392.0,0.1704537205081669,212,44.301886792452834,8566.0,40.735849056603776,0.0484454855195911,0.0145868824531516,0.0442847658118605,0.0343598055105348
airport,iso_country,iata_code,9150.0,0.1660617059891107,238,38.445378151260506,9028.0,37.96638655462185,0.0374863387978142,0.0087431693989071,0.0337843075626426,0.0289966923925027
airport,iso_country,wikipedia_link,9826.0,0.1783303085299455,240,40.94166666666667,9737.0,40.583333333333336,0.0301241603907999,0.0016283329940972,0.0269237274926991,0.0285423037716616
airport,"continent,type",keywords,5318.0,0.0965154264972776,30,177.26666666666668,4565.0,156.23333333333332,0.0417450169236555,0.0257615644979315,0.0366920062419502,0.016406099208647
airport,"continent,type",home_link,1881.0,0.0341379310344827,27,69.66666666666667,1869.0,69.4074074074074,0.0175438596491228,0.0021265284423179,0.0125191261974904,0.0154501864677677
