method,dataset,target_attribute,epsilon_m,lambda,L0,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,memory_overhead_bytes,num_instantiated_cells
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.1211848258972168,0.0019249916076660156,0.016360998153686523,0.10289883613586426,0.3166049127277152,,-1005.0,4,5,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.02295970916748047,0.0034711360931396484,0.016332626342773438,0.003155946731567383,0.0,,-10.0,4,10,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.01512289047241211,0.0008351802825927734,0.012359857559204102,0.0019278526306152344,0.26187931623708605,,-1003.0,4,3,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.015089273452758789,0.0009551048278808594,0.01232290267944336,0.0018112659454345703,0.21945273335876703,,-1004.0,4,4,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.014500856399536133,0.0008161067962646484,0.011886835098266602,0.0017979145050048828,0.3166049127277152,,-1006.0,4,6,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.01593780517578125,0.0008418560028076172,0.01146697998046875,0.003628969192504883,0.3166049127277152,,-1006.0,4,6,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.01526021957397461,0.0007762908935546875,0.011128902435302734,0.0033550262451171875,0.6623992294064142,,-1000.0,4,0,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.013670206069946289,0.0008530616760253906,0.011199951171875,0.0016171932220458984,0.6623992294064142,,-1000.0,4,0,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.013655900955200195,0.0007901191711425781,0.011279821395874023,0.0015859603881835938,0.5422684587046469,,-1001.0,4,1,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.015939712524414062,0.0008168220520019531,0.011355876922607422,0.0037670135498046875,0.3166049127277152,,-1005.0,4,5,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.013600826263427734,0.0009059906005859375,0.011071920394897461,0.001622915267944336,0.3166049127277152,,-1007.0,4,7,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.013774871826171875,0.0008208751678466797,0.011178016662597656,0.001775979995727539,0.3166049127277152,,-1007.0,4,7,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.01355433464050293,0.0008099079132080078,0.01121211051940918,0.0015323162078857422,0.3166049127277152,,-1007.0,4,7,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.013672828674316406,0.000804901123046875,0.01123499870300293,0.0016329288482666016,0.0,,-10.0,4,10,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.013426065444946289,0.0008118152618408203,0.011129140853881836,0.0014851093292236328,0.3166049127277152,,-1006.0,4,6,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.014173269271850586,0.0008060932159423828,0.011864900588989258,0.0015022754669189453,0.21945273335876703,,-1004.0,4,4,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.013722896575927734,0.0008571147918701172,0.011442899703979492,0.001422882080078125,0.21945273335876703,,-1004.0,4,4,1823,10
marginal_em,hospital,ProviderNumber,0,1000,0.025,0.014904975891113281,0.0010960102081298828,0.011797904968261719,0.0020110607147216797,0.3166049127277152,,-1006.0,4,6,1823,10
