dataset,gamma_frac,S,seed,ci_level,nVmin,nEmin,dc_id,dc_str,m,nV,nE_best,best_head_j,best_base,weight
flights,0.25,300000,7,0.9,200,74000,7,t0.OriginWac int UNEQUAL t1.OriginWac int AND t0.OriginStateFips int EQUAL t1.OriginStateFips int,2,300000,282736,1,0.999831682602742,0.749831682602742
flights,0.25,300000,7,0.9,200,74000,8,t0.OriginStateFips int UNEQUAL t1.OriginStateFips int AND t0.OriginWac int EQUAL t1.OriginWac int,2,300000,282736,1,0.999831682602742,0.749831682602742
flights,0.25,300000,7,0.9,200,74000,10,t0.OriginAirportSeqID int LESS t1.OriginAirportSeqID int AND t0.FlightNum int GREATER_EQUAL t1.FlightNum int AND t0.OriginStateName String EQUAL t1.OriginStateName String,3,300000,74287,2,0.3602340947868061,0.11023409478680612
flights,0.25,300000,7,0.9,200,74000,17,t0.DayofMonth int LESS_EQUAL t1.DayofMonth int AND t0.OriginAirportID int LESS t1.OriginAirportID int AND t0.OriginStateName String EQUAL t1.OriginStateName String,3,300000,76130,2,0.324830444158275,0.074830444158275
flights,0.25,300000,7,0.9,200,74000,18,t0.OriginStateName String UNEQUAL t1.OriginStateName String AND t0.OriginCityMarketID int EQUAL t1.OriginCityMarketID int,2,300000,282736,1,0.907520247539331,0.657520247539331
flights,0.25,300000,7,0.9,200,74000,22,t0.OriginState String EQUAL t1.OriginState String AND t0.OriginAirportSeqID int LESS t1.OriginAirportSeqID int AND t0.FlightNum int GREATER_EQUAL t1.FlightNum int,3,300000,74287,0,0.3602340947868061,0.11023409478680612
flights,0.25,300000,7,0.9,200,74000,24,t0.OriginAirportID int LESS t1.OriginAirportID int AND t0.DayofMonth int GREATER_EQUAL t1.DayofMonth int AND t0.OriginStateName String EQUAL t1.OriginStateName String,3,300000,75666,2,0.3136177008663732,0.0636177008663732
flights,0.25,300000,7,0.9,200,74000,34,t0.OriginCityName String UNEQUAL t1.OriginCityName String AND t0.OriginAirportSeqID int GREATER_EQUAL t1.OriginAirportSeqID int AND t0.OriginAirportID int LESS_EQUAL t1.OriginAirportID int,3,300000,146325,2,0.9999637063781924,0.7499637063781924
flights,0.25,300000,7,0.9,200,74000,37,t0.OriginAirportSeqID int EQUAL t1.OriginAirportSeqID int AND t0.OriginState String UNEQUAL t1.OriginState String,2,300000,282736,0,0.9995279999941287,0.7495279999941287
flights,0.25,300000,7,0.9,200,74000,42,t0.UniqueCarrier String EQUAL t1.UniqueCarrier String AND t0.Carrier String UNEQUAL t1.Carrier String,2,300000,268720,0,0.9999025842283421,0.7499025842283421
flights,0.25,300000,7,0.9,200,74000,43,t0.Carrier String EQUAL t1.Carrier String AND t0.UniqueCarrier String UNEQUAL t1.UniqueCarrier String,2,300000,268720,0,0.9999025842283421,0.7499025842283421
flights,0.25,300000,7,0.9,200,74000,45,t0.OriginCityMarketID int EQUAL t1.OriginCityMarketID int AND t0.OriginState String UNEQUAL t1.OriginState String,2,300000,282736,0,0.907520247539331,0.657520247539331
