epsilon,leakage,utility,mask_size
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.25,5
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.25,5
90,0.0920468199405825,-0.21903511495543687,3
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0920468199405825,-0.21903511495543687,3
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0920468199405825,-0.21903511495543687,3
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0920468199405825,-0.21903511495543687,3
90,0.0,-0.2,4
90,0.0920468199405825,-0.26903511495543686,4
90,0.0,-0.2,4
90,0.0920468199405825,-0.21903511495543687,3
90,0.0,-0.2,4
90,0.0920468199405825,-0.21903511495543687,3
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0920468199405825,-0.21903511495543687,3
90,0.0920468199405825,-0.21903511495543687,3
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0920468199405825,-0.21903511495543687,3
90,0.0,-0.2,4
90,0.0,-0.25,5
90,0.0,-0.25,5
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0920468199405825,-0.21903511495543687,3
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0920468199405825,-0.21903511495543687,3
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.25,5
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.25,5
90,0.0,-0.2,4
90,0.0920468199405825,-0.21903511495543687,3
90,0.0,-0.2,4
90,0.0920468199405825,-0.21903511495543687,3
90,0.0,-0.2,4
90,0.0920468199405825,-0.21903511495543687,3
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0920468199405825,-0.21903511495543687,3
90,0.0,-0.2,4
90,0.0920468199405825,-0.21903511495543687,3
90,0.0920468199405825,-0.21903511495543687,3
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.0,-0.25,5
90,0.0,-0.2,4
90,0.0,-0.2,4
90,0.3592419527878562,-0.5194314645908922,3
90,0.3592419527878562,-0.4360981312575588,2
90,0.3592419527878562,-0.4360981312575588,2
90,0.24315756576632586,-0.5157015076580778,4
90,0.3592419527878562,-0.4360981312575588,2
90,0.24315756576632586,-0.4323681743247444,3
90,0.3592419527878562,-0.4360981312575588,2
90,0.24175913958548945,-0.4313193546891171,3
90,0.24175913958548945,-0.4313193546891171,3
90,0.24175913958548945,-0.4313193546891171,3
90,0.42742840484090816,-0.4872379702973477,2
90,0.5053837288882768,-0.4623711299995409,1
90,0.24175913958548945,-0.4313193546891171,3
90,0.24175913958548945,-0.4313193546891171,3
90,0.24175913958548945,-0.4313193546891171,3
90,0.24175913958548945,-0.4313193546891171,3
90,0.24315756576632586,-0.4323681743247444,3
90,0.24315756576632586,-0.4323681743247444,3
90,0.24175913958548945,-0.4313193546891171,3
90,0.3592419527878562,-0.4360981312575588,2
90,0.24315756576632586,-0.4323681743247444,3
90,0.24315756576632586,-0.4323681743247444,3
90,0.24175913958548945,-0.4313193546891171,3
90,0.3592419527878562,-0.4360981312575588,2
90,0.3592419527878562,-0.4360981312575588,2
90,0.24175913958548945,-0.4313193546891171,3
90,0.3592419527878562,-0.5194314645908922,3
90,0.24175913958548945,-0.4313193546891171,3
90,0.24315756576632586,-0.4323681743247444,3
90,0.24315756576632586,-0.4323681743247444,3
90,0.24315756576632586,-0.5157015076580778,4
90,0.3592419527878562,-0.4360981312575588,2
90,0.42742840484090816,-0.4872379702973477,2
90,0.24175913958548945,-0.4313193546891171,3
90,0.24315756576632586,-0.4323681743247444,3
90,0.24315756576632586,-0.4323681743247444,3
90,0.3592419527878562,-0.4360981312575588,2
90,0.24175913958548945,-0.4313193546891171,3
90,0.5053837288882768,-0.4623711299995409,1
90,0.3592419527878562,-0.4360981312575588,2
90,0.3592419527878562,-0.4360981312575588,2
90,0.24315756576632586,-0.4323681743247444,3
90,0.24175913958548945,-0.4313193546891171,3
90,0.24175913958548945,-0.4313193546891171,3
90,0.24175913958548945,-0.4313193546891171,3
90,0.24315756576632586,-0.4323681743247444,3
90,0.24175913958548945,-0.4313193546891171,3
90,0.24315756576632586,-0.4323681743247444,3
90,0.3592419527878562,-0.4360981312575588,2
90,0.24315756576632586,-0.4323681743247444,3
90,0.24315756576632586,-0.4323681743247444,3
90,0.24315756576632586,-0.4323681743247444,3
90,0.24315756576632586,-0.4323681743247444,3
90,0.3592419527878562,-0.4360981312575588,2
90,0.24315756576632586,-0.4323681743247444,3
90,0.3592419527878562,-0.4360981312575588,2
90,0.3592419527878562,-0.4360981312575588,2
90,0.24315756576632586,-0.4323681743247444,3
90,0.24175913958548945,-0.4313193546891171,3
90,0.5053837288882768,-0.4623711299995409,1
90,0.24175913958548945,-0.4313193546891171,3
90,0.24315756576632586,-0.4323681743247444,3
90,0.24315756576632586,-0.4323681743247444,3
90,0.24175913958548945,-0.4313193546891171,3
90,0.24175913958548945,-0.4313193546891171,3
90,0.3592419527878562,-0.4360981312575588,2
90,0.3592419527878562,-0.4360981312575588,2
90,0.3592419527878562,-0.4360981312575588,2
90,0.3592419527878562,-0.4360981312575588,2
90,0.24315756576632586,-0.4323681743247444,3
90,0.5053837288882768,-0.4623711299995409,1
90,0.3592419527878562,-0.4360981312575588,2
90,0.3592419527878562,-0.4360981312575588,2
90,0.24315756576632586,-0.5157015076580778,4
90,0.3592419527878562,-0.4360981312575588,2
90,0.5053837288882768,-0.4623711299995409,1
90,0.24175913958548945,-0.4313193546891171,3
90,0.3592419527878562,-0.4360981312575588,2
90,0.3592419527878562,-0.4360981312575588,2
90,0.24175913958548945,-0.4313193546891171,3
90,0.24175913958548945,-0.4313193546891171,3
90,0.5053837288882768,-0.4623711299995409,1
90,0.24315756576632586,-0.4323681743247444,3
90,0.3592419527878562,-0.4360981312575588,2
90,0.3592419527878562,-0.4360981312575588,2
90,0.24175913958548945,-0.4313193546891171,3
90,0.3592419527878562,-0.4360981312575588,2
90,0.3592419527878562,-0.4360981312575588,2
90,0.24315756576632586,-0.4323681743247444,3
90,0.24175913958548945,-0.4313193546891171,3
90,0.3592419527878562,-0.4360981312575588,2
90,0.6623992294064142,-0.49679942205481065,0
90,0.24315756576632586,-0.4323681743247444,3
90,0.3592419527878562,-0.4360981312575588,2
90,0.24175913958548945,-0.4313193546891171,3
90,0.24175913958548945,-0.5146526880224505,4
90,0.5053837288882768,-0.4623711299995409,1
90,0.3592419527878562,-0.4360981312575588,2
90,0.24175913958548945,-0.4313193546891171,3
90,0.24315756576632586,-0.4323681743247444,3
90,0.07470802683816113,-0.2226976867952875,4
90,0.11568210096592169,-0.17009490905777458,2
90,0.03091144646268107,-0.23151691818034414,5
90,0.11568210096592169,-0.25342824239110795,4
90,0.0774344949388257,-0.18307587120411928,3
90,0.0383164036515129,-0.23707063607196802,5
90,0.11568210096592169,-0.21176157572444126,3
90,0.11568210096592169,-0.21176157572444126,3
90,0.02266803224747671,-0.22533435751894088,5
90,0.13754217745055075,-0.22815663308791306,3
90,0.13754217745055075,-0.18648996642124638,2
90,0.07470802683816113,-0.18103102012862085,3
90,0.11568210096592169,-0.21176157572444126,3
90,0.07470802683816113,-0.18103102012862085,3
90,0.11568210096592169,-0.17009490905777458,2
90,0.11568210096592169,-0.21176157572444126,3
90,0.11568210096592169,-0.17009490905777458,2
90,0.06035005623483769,-0.2535958755094616,5
90,0.11568210096592169,-0.17009490905777458,2
90,0.0045644413703294084,-0.25342333102774706,6
90,0.11568210096592169,-0.21176157572444126,3
90,0.0774344949388257,-0.22474253787078594,4
90,0.0774344949388257,-0.22474253787078594,4
90,0.07470802683816113,-0.2226976867952875,4
90,0.10751078145608295,-0.2056330860920622,3
90,0.11568210096592169,-0.17009490905777458,2
90,0.07913972185099061,-0.18435479138824296,3
90,0.0774344949388257,-0.22474253787078594,4
90,0.015125043787669878,-0.21967711617408575,5
90,0.0774344949388257,-0.18307587120411928,3
90,0.12486866579692091,-0.21865149934769068,3
90,0.07470802683816113,-0.2226976867952875,4
90,0.0774344949388257,-0.18307587120411928,3
90,0.0774344949388257,-0.18307587120411928,3
90,0.13754217745055075,-0.26982329975457975,4
90,0.11568210096592169,-0.17009490905777458,2
90,0.09608012894329332,-0.2803934300408033,5
90,0.0774344949388257,-0.22474253787078594,4
90,0.12006099382548652,-0.25671241203578155,4
90,0.0774344949388257,-0.18307587120411928,3
90,0.0774344949388257,-0.22474253787078594,4
90,0.07470802683816113,-0.18103102012862085,3
90,0.0774344949388257,-0.22474253787078594,4
90,0.11568210096592169,-0.21176157572444126,3
90,0.11568210096592169,-0.17009490905777458,2
90,0.02590293422843659,-0.2694272006713274,6
90,0.13754217745055075,-0.18648996642124638,2
90,0.0774344949388257,-0.26640920453745265,5
90,0.10158161785637909,-0.24285288005895098,4
90,0.02249110016507805,-0.22520165845714188,5
90,0.11568210096592169,-0.21176157572444126,3
90,0.0774344949388257,-0.18307587120411928,3
90,0.19959302122615685,-0.23302809925295098,2
90,0.07470802683816113,-0.18103102012862085,3
90,0.07470802683816113,-0.18103102012862085,3
90,0.11568210096592169,-0.17009490905777458,2
90,0.07470802683816113,-0.2226976867952875,4
90,0.06934937044060308,-0.30201202783045233,6
90,0.07470802683816113,-0.18103102012862085,3
90,0.11568210096592169,-0.17009490905777458,2
90,0.07470802683816113,-0.18103102012862085,3
90,0.13754217745055075,-0.18648996642124638,2
90,0.13754217745055075,-0.18648996642124638,2
90,0.10083209019291617,-0.20062406764468713,3
90,0.07470802683816113,-0.18103102012862085,3
90,0.11568210096592169,-0.17009490905777458,2
90,0.13754217745055075,-0.18648996642124638,2
90,0.07913972185099061,-0.2260214580549096,4
90,0.12006099382548652,-0.2150457453691149,3
90,0.0774344949388257,-0.18307587120411928,3
90,0.11568210096592169,-0.21176157572444126,3
90,0.0878679316721257,-0.2742342820874276,5
90,0.0774344949388257,-0.22474253787078594,4
90,0.07470802683816113,-0.2226976867952875,4
90,0.12006099382548652,-0.2150457453691149,3
90,0.13754217745055075,-0.18648996642124638,2
90,0.08265074730378996,-0.22865472714450913,4
90,0.07470802683816113,-0.18103102012862085,3
90,0.11568210096592169,-0.17009490905777458,2
90,0.13483119273983069,-0.22612339455487301,3
90,0.07470802683816113,-0.2643643534619542,5
90,0.11568210096592169,-0.17009490905777458,2
90,0.11568210096592169,-0.17009490905777458,2
90,0.07470802683816113,-0.2226976867952875,4
90,0.11568210096592169,-0.17009490905777458,2
90,0.07692492647331284,-0.22436036152165129,4
90,0.04128606673762181,-0.197631216719883,4
90,0.11568210096592169,-0.17009490905777458,2
90,0.11568210096592169,-0.17009490905777458,2
90,0.10751078145608295,-0.2889664194253956,5
