dataset,target_attr,tau,mask_size,avg_leakage,num_masks
hospital,EmergencyService,0.8,2,0.29070542148940054,10
hospital,EmergencyService,0.8,3,0.09451882278517951,10
hospital,EmergencyService,0.8,4,0.0,5
hospital,EmergencyService,0.8,5,0.0,1
hospital,EmergencyService,0.9,0,0.9933672873213583,1
hospital,EmergencyService,0.9,1,0.5910466548727137,5
hospital,EmergencyService,0.9,2,0.29070542148940054,10
hospital,EmergencyService,0.9,3,0.09451882278517951,10
hospital,EmergencyService,0.9,4,0.0,5
hospital,EmergencyService,0.9,5,0.0,1
hospital,EmergencyService,1.0,0,0.9933672873213583,1
hospital,EmergencyService,1.0,1,0.5910466548727137,5
hospital,EmergencyService,1.0,2,0.29070542148940054,10
hospital,EmergencyService,1.0,3,0.09451882278517951,10
hospital,EmergencyService,1.0,4,0.0,5
hospital,EmergencyService,1.0,5,0.0,1
tax,marital_status,0.1,0,0.0,1
tax,marital_status,0.1,1,0.0,14
tax,marital_status,0.1,2,0.0,91
tax,marital_status,0.1,3,0.0,364
tax,marital_status,0.1,4,0.0,1001
tax,marital_status,0.1,5,0.0,2002
tax,marital_status,0.1,6,0.0,3003
tax,marital_status,0.1,7,0.0,3432
tax,marital_status,0.1,8,0.0,3003
tax,marital_status,0.1,9,0.0,2002
tax,marital_status,0.1,10,0.0,1001
tax,marital_status,0.1,11,0.0,364
tax,marital_status,0.1,12,0.0,91
tax,marital_status,0.1,13,0.0,14
tax,marital_status,0.1,14,0.0,1
tax,marital_status,0.2,0,0.0,1
tax,marital_status,0.2,1,0.0,14
tax,marital_status,0.2,2,0.0,91
tax,marital_status,0.2,3,0.0,364
tax,marital_status,0.2,4,0.0,1001
tax,marital_status,0.2,5,0.0,2002
tax,marital_status,0.2,6,0.0,3003
tax,marital_status,0.2,7,0.0,3432
tax,marital_status,0.2,8,0.0,3003
tax,marital_status,0.2,9,0.0,2002
tax,marital_status,0.2,10,0.0,1001
tax,marital_status,0.2,11,0.0,364
tax,marital_status,0.2,12,0.0,91
tax,marital_status,0.2,13,0.0,14
tax,marital_status,0.2,14,0.0,1
tax,marital_status,0.3,0,0.0,1
tax,marital_status,0.3,1,0.0,14
tax,marital_status,0.3,2,0.0,91
tax,marital_status,0.3,3,0.0,364
tax,marital_status,0.3,4,0.0,1001
tax,marital_status,0.3,5,0.0,2002
tax,marital_status,0.3,6,0.0,3003
tax,marital_status,0.3,7,0.0,3432
tax,marital_status,0.3,8,0.0,3003
tax,marital_status,0.3,9,0.0,2002
tax,marital_status,0.3,10,0.0,1001
tax,marital_status,0.3,11,0.0,364
tax,marital_status,0.3,12,0.0,91
tax,marital_status,0.3,13,0.0,14
tax,marital_status,0.3,14,0.0,1
tax,marital_status,0.4,0,0.0,1
tax,marital_status,0.4,1,0.0,14
tax,marital_status,0.4,2,0.0,91
tax,marital_status,0.4,3,0.0,364
tax,marital_status,0.4,4,0.0,1001
tax,marital_status,0.4,5,0.0,2002
tax,marital_status,0.4,6,0.0,3003
tax,marital_status,0.4,7,0.0,3432
tax,marital_status,0.4,8,0.0,3003
tax,marital_status,0.4,9,0.0,2002
tax,marital_status,0.4,10,0.0,1001
tax,marital_status,0.4,11,0.0,364
tax,marital_status,0.4,12,0.0,91
tax,marital_status,0.4,13,0.0,14
tax,marital_status,0.4,14,0.0,1
tax,marital_status,0.5,0,0.0,1
tax,marital_status,0.5,1,0.0,14
tax,marital_status,0.5,2,0.0,91
tax,marital_status,0.5,3,0.0,364
tax,marital_status,0.5,4,0.0,1001
tax,marital_status,0.5,5,0.0,2002
tax,marital_status,0.5,6,0.0,3003
tax,marital_status,0.5,7,0.0,3432
tax,marital_status,0.5,8,0.0,3003
tax,marital_status,0.5,9,0.0,2002
tax,marital_status,0.5,10,0.0,1001
tax,marital_status,0.5,11,0.0,364
tax,marital_status,0.5,12,0.0,91
tax,marital_status,0.5,13,0.0,14
tax,marital_status,0.5,14,0.0,1
tax,marital_status,0.6,0,0.0,1
tax,marital_status,0.6,1,0.0,14
tax,marital_status,0.6,2,0.0,91
tax,marital_status,0.6,3,0.0,364
tax,marital_status,0.6,4,0.0,1001
tax,marital_status,0.6,5,0.0,2002
tax,marital_status,0.6,6,0.0,3003
tax,marital_status,0.6,7,0.0,3432
tax,marital_status,0.6,8,0.0,3003
tax,marital_status,0.6,9,0.0,2002
tax,marital_status,0.6,10,0.0,1001
tax,marital_status,0.6,11,0.0,364
tax,marital_status,0.6,12,0.0,91
tax,marital_status,0.6,13,0.0,14
tax,marital_status,0.6,14,0.0,1
tax,marital_status,0.7,0,0.0,1
tax,marital_status,0.7,1,0.0,14
tax,marital_status,0.7,2,0.0,91
tax,marital_status,0.7,3,0.0,364
tax,marital_status,0.7,4,0.0,1001
tax,marital_status,0.7,5,0.0,2002
tax,marital_status,0.7,6,0.0,3003
tax,marital_status,0.7,7,0.0,3432
tax,marital_status,0.7,8,0.0,3003
tax,marital_status,0.7,9,0.0,2002
tax,marital_status,0.7,10,0.0,1001
tax,marital_status,0.7,11,0.0,364
tax,marital_status,0.7,12,0.0,91
tax,marital_status,0.7,13,0.0,14
tax,marital_status,0.7,14,0.0,1
tax,marital_status,0.8,0,0.0,1
tax,marital_status,0.8,1,0.0,14
tax,marital_status,0.8,2,0.0,91
tax,marital_status,0.8,3,0.0,364
tax,marital_status,0.8,4,0.0,1001
tax,marital_status,0.8,5,0.0,2002
tax,marital_status,0.8,6,0.0,3003
tax,marital_status,0.8,7,0.0,3432
tax,marital_status,0.8,8,0.0,3003
tax,marital_status,0.8,9,0.0,2002
tax,marital_status,0.8,10,0.0,1001
tax,marital_status,0.8,11,0.0,364
tax,marital_status,0.8,12,0.0,91
tax,marital_status,0.8,13,0.0,14
tax,marital_status,0.8,14,0.0,1
tax,marital_status,0.9,0,0.0,1
tax,marital_status,0.9,1,0.0,14
tax,marital_status,0.9,2,0.0,91
tax,marital_status,0.9,3,0.0,364
tax,marital_status,0.9,4,0.0,1001
tax,marital_status,0.9,5,0.0,2002
tax,marital_status,0.9,6,0.0,3003
tax,marital_status,0.9,7,0.0,3432
tax,marital_status,0.9,8,0.0,3003
tax,marital_status,0.9,9,0.0,2002
tax,marital_status,0.9,10,0.0,1001
tax,marital_status,0.9,11,0.0,364
tax,marital_status,0.9,12,0.0,91
tax,marital_status,0.9,13,0.0,14
tax,marital_status,0.9,14,0.0,1
tax,marital_status,1.0,0,0.0,1
tax,marital_status,1.0,1,0.0,14
tax,marital_status,1.0,2,0.0,91
tax,marital_status,1.0,3,0.0,364
tax,marital_status,1.0,4,0.0,1001
tax,marital_status,1.0,5,0.0,2002
tax,marital_status,1.0,6,0.0,3003
tax,marital_status,1.0,7,0.0,3432
tax,marital_status,1.0,8,0.0,3003
tax,marital_status,1.0,9,0.0,2002
tax,marital_status,1.0,10,0.0,1001
tax,marital_status,1.0,11,0.0,364
tax,marital_status,1.0,12,0.0,91
tax,marital_status,1.0,13,0.0,14
tax,marital_status,1.0,14,0.0,1
adult,education,0.1,0,0.0,1
adult,education,0.1,1,0.0,10
adult,education,0.1,2,0.0,45
adult,education,0.1,3,0.0,120
adult,education,0.1,4,0.0,210
adult,education,0.1,5,0.0,252
adult,education,0.1,6,0.0,210
adult,education,0.1,7,0.0,120
adult,education,0.1,8,0.0,45
adult,education,0.1,9,0.0,10
adult,education,0.1,10,0.0,1
adult,education,0.2,0,0.0,1
adult,education,0.2,1,0.0,10
adult,education,0.2,2,0.0,45
adult,education,0.2,3,0.0,120
