dataset,target_attr,tau,rho,zone_size,num_edges_after_tau,mask,mask_size,leakage,active_edges,blocked_edges,num_chains,active_chains,blocked_chains
airport,iso_country,1.0,0.9,6,7,{},0,0.8412245340616321,7,0,2,2,0
airport,iso_country,1.0,0.9,6,7,{continent},1,0.40215815920143,6,1,1,1,0
airport,iso_country,1.0,0.9,6,7,{home_link},1,0.8412245340616321,7,0,2,2,0
airport,iso_country,1.0,0.9,6,7,{keywords},1,0.8412245340616321,7,0,2,2,0
airport,iso_country,1.0,0.9,6,7,{municipality},1,0.8412245340616321,7,0,2,2,0
airport,iso_country,1.0,0.9,6,7,{scheduled_service},1,0.8052250735401412,6,1,4,1,3
airport,iso_country,1.0,0.9,6,7,{type},1,0.8412245340616321,7,0,2,2,0
airport,iso_country,1.0,0.9,6,7,"{continent,home_link}",2,0.40215815920143,6,1,1,1,0
airport,iso_country,1.0,0.9,6,7,"{continent,keywords}",2,0.40215815920143,6,1,1,1,0
airport,iso_country,1.0,0.9,6,7,"{continent,municipality}",2,0.40215815920143,6,1,1,1,0
airport,iso_country,1.0,0.9,6,7,"{continent,scheduled_service}",2,0.5231827254387704,4,3,9,0,9
airport,iso_country,1.0,0.9,6,7,"{continent,type}",2,0.43719676844099953,5,2,2,1,1
airport,iso_country,1.0,0.9,6,7,"{home_link,keywords}",2,0.8412245340616321,7,0,2,2,0
airport,iso_country,1.0,0.9,6,7,"{home_link,municipality}",2,0.8412245340616321,7,0,2,2,0
airport,iso_country,1.0,0.9,6,7,"{home_link,scheduled_service}",2,0.7970565213329117,5,2,5,1,4
airport,iso_country,1.0,0.9,6,7,"{home_link,type}",2,0.8412245340616321,6,1,2,2,0
airport,iso_country,1.0,0.9,6,7,"{keywords,municipality}",2,0.8412245340616321,7,0,2,2,0
airport,iso_country,1.0,0.9,6,7,"{keywords,scheduled_service}",2,0.8034628364284101,5,2,5,1,4
airport,iso_country,1.0,0.9,6,7,"{keywords,type}",2,0.8412245340616321,6,1,2,2,0
airport,iso_country,1.0,0.9,6,7,"{municipality,scheduled_service}",2,0.8056872595810688,5,2,6,1,5
airport,iso_country,1.0,0.9,6,7,"{municipality,type}",2,0.8412245340616321,6,1,2,2,0
airport,iso_country,1.0,0.9,6,7,"{scheduled_service,type}",2,0.8003993525908071,3,4,8,1,7
airport,iso_country,1.0,0.9,6,7,"{continent,home_link,keywords}",3,0.40215815920143,6,1,1,1,0
airport,iso_country,1.0,0.9,6,7,"{continent,home_link,municipality}",3,0.40215815920143,6,1,1,1,0
airport,iso_country,1.0,0.9,6,7,"{continent,home_link,scheduled_service}",3,0.4811358990318634,3,4,16,0,16
airport,iso_country,1.0,0.9,6,7,"{continent,home_link,type}",3,0.4447749189231719,4,3,4,1,3
airport,iso_country,1.0,0.9,6,7,"{continent,keywords,municipality}",3,0.40215815920143,6,1,1,1,0
airport,iso_country,1.0,0.9,6,7,"{continent,keywords,scheduled_service}",3,0.5096222230838308,3,4,16,0,16
airport,iso_country,1.0,0.9,6,7,"{continent,keywords,type}",3,0.442591493827458,4,3,4,1,3
airport,iso_country,1.0,0.9,6,7,"{continent,municipality,scheduled_service}",3,0.5238542672553426,3,4,19,0,19
airport,iso_country,1.0,0.9,6,7,"{continent,municipality,type}",3,0.40215815920143,4,3,1,1,0
airport,iso_country,1.0,0.9,6,7,"{continent,scheduled_service,type}",3,0.2787883329415992,2,5,13,0,13
airport,iso_country,1.0,0.9,6,7,"{home_link,keywords,municipality}",3,0.8412245340616321,7,0,2,2,0
airport,iso_country,1.0,0.9,6,7,"{home_link,keywords,scheduled_service}",3,0.7784930735367444,4,3,6,1,5
airport,iso_country,1.0,0.9,6,7,"{home_link,keywords,type}",3,0.8412245340616321,5,2,2,2,0
airport,iso_country,1.0,0.9,6,7,"{home_link,municipality,scheduled_service}",3,0.7807974942400274,4,3,8,1,7
airport,iso_country,1.0,0.9,6,7,"{home_link,municipality,type}",3,0.8412245340616321,5,2,2,2,0
airport,iso_country,1.0,0.9,6,7,"{home_link,scheduled_service,type}",3,0.7961358389937074,3,4,10,1,9
airport,iso_country,1.0,0.9,6,7,"{keywords,municipality,scheduled_service}",3,0.7914637732000591,4,3,8,1,7
airport,iso_country,1.0,0.9,6,7,"{keywords,municipality,type}",3,0.8412245340616321,5,2,2,2,0
airport,iso_country,1.0,0.9,6,7,"{keywords,scheduled_service,type}",3,0.7981778781801194,3,4,10,1,9
