dataset,target_attr,tau,rho,zone_size,num_edges_after_tau,mask,mask_size,leakage,active_edges,blocked_edges,num_chains,active_chains,blocked_chains
ncvoter,c3,1.0,0.9,3,8,{},0,0.9960852895678526,8,0,4,4,0
ncvoter,c3,1.0,0.9,3,8,{c4},1,0.9726113159349212,6,2,4,2,2
ncvoter,c3,1.0,0.9,3,8,{c5},1,0.9931498335326319,7,1,4,3,1
ncvoter,c3,1.0,0.9,3,8,{c6},1,0.9931498335326319,7,1,4,3,1
ncvoter,c3,1.0,0.9,3,8,"{c4,c5}",2,0.9520768687269665,4,4,7,1,6
ncvoter,c3,1.0,0.9,3,8,"{c4,c6}",2,0.9520768687269665,4,4,7,1,6
ncvoter,c3,1.0,0.9,3,8,"{c5,c6}",2,0.9880132179776794,4,4,6,2,4
ncvoter,c3,1.0,0.9,3,8,"{c4,c5,c6}",3,0.0,0,8,0,0,0
ncvoter,c4,1.0,0.9,3,8,{},0,0.9960852895678526,8,0,4,4,0
ncvoter,c4,1.0,0.9,3,8,{c3},1,0.9726113159349212,6,2,4,2,2
ncvoter,c4,1.0,0.9,3,8,{c5},1,0.9931502666761959,7,1,4,3,1
ncvoter,c4,1.0,0.9,3,8,{c6},1,0.9931502666761959,7,1,4,3,1
ncvoter,c4,1.0,0.9,3,8,"{c3,c5}",2,0.9520768687269665,4,4,7,1,6
ncvoter,c4,1.0,0.9,3,8,"{c3,c6}",2,0.9520768687269665,4,4,7,1,6
ncvoter,c4,1.0,0.9,3,8,"{c5,c6}",2,0.9880132179776794,4,4,6,2,4
ncvoter,c4,1.0,0.9,3,8,"{c3,c5,c6}",3,0.0,0,8,0,0,0
ncvoter,c5,1.0,0.9,3,8,{},0,0.9960856885930226,8,0,4,4,0
ncvoter,c5,1.0,0.9,3,8,{c3},1,0.9931508152881455,7,1,4,3,1
ncvoter,c5,1.0,0.9,3,8,{c4},1,0.9931505317678875,7,1,4,3,1
ncvoter,c5,1.0,0.9,3,8,{c6},1,0.9726119140756362,6,2,4,2,2
ncvoter,c5,1.0,0.9,3,8,"{c3,c4}",2,0.9880144397864996,4,4,6,2,4
ncvoter,c5,1.0,0.9,3,8,"{c3,c6}",2,0.9520768687269665,4,4,7,1,6
ncvoter,c5,1.0,0.9,3,8,"{c4,c6}",2,0.9520768687269665,4,4,7,1,6
ncvoter,c5,1.0,0.9,3,8,"{c3,c4,c6}",3,0.0,0,8,0,0,0
ncvoter,c6,1.0,0.9,3,8,{},0,0.9960856885930226,8,0,4,4,0
ncvoter,c6,1.0,0.9,3,8,{c3},1,0.9931508152881455,7,1,4,3,1
ncvoter,c6,1.0,0.9,3,8,{c4},1,0.9931508152881455,7,1,4,3,1
ncvoter,c6,1.0,0.9,3,8,{c5},1,0.9726119140756362,6,2,4,2,2
ncvoter,c6,1.0,0.9,3,8,"{c3,c4}",2,0.9880144397864996,4,4,6,2,4
ncvoter,c6,1.0,0.9,3,8,"{c3,c5}",2,0.9520768687269665,4,4,7,1,6
ncvoter,c6,1.0,0.9,3,8,"{c4,c5}",2,0.9520768687269665,4,4,7,1,6
ncvoter,c6,1.0,0.9,3,8,"{c3,c4,c5}",3,0.0,0,8,0,0,0
