lambda,leakage,utility,mask_size
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.11785714285714285,1
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.11785714285714285,1
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
0.05,1.0,-0.05,0
lambda,leakage,utility,mask_size
0.1,1.0,-0.28,3
0.1,1.0,-0.16,1
0.1,1.0,-0.16,1
0.1,1.0,-0.1,0
0.1,1.0,-0.4,5
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.22000000000000003,2
0.1,1.0,-0.4600000000000001,6
0.1,1.0,-0.4600000000000001,6
0.1,1.0,-0.34,4
0.1,1.0,-0.4,5
0.1,1.0,-0.1,0
0.1,1.0,-0.5800000000000001,8
0.1,1.0,-0.1,0
0.1,1.0,-0.28,3
0.1,1.0,-0.1,0
0.1,0.0,-0.42,7
0.1,1.0,-0.4,5
0.1,0.0,-0.7200000000000001,12
0.1,1.0,-0.16,1
0.1,1.0,-0.4600000000000001,6
0.1,1.0,-0.16,1
0.1,1.0,-0.16,1
0.1,0.0,-0.7200000000000001,12
0.1,1.0,-0.5800000000000001,8
0.1,1.0,-0.52,7
0.1,1.0,-0.16,1
0.1,1.0,-0.22000000000000003,2
0.1,1.0,-0.22000000000000003,2
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,0.0,-0.78,13
0.1,1.0,-0.22000000000000003,2
0.1,1.0,-0.16,1
0.1,1.0,-0.4,5
0.1,1.0,-0.4,5
0.1,1.0,-0.22000000000000003,2
0.1,1.0,-0.16,1
0.1,1.0,-0.52,7
0.1,1.0,-0.22000000000000003,2
0.1,0.0,-0.5399999999999999,9
0.1,1.0,-0.16,1
0.1,1.0,-0.4,5
0.1,1.0,-0.1,0
0.1,1.0,-0.22000000000000003,2
0.1,1.0,-0.28,3
0.1,1.0,-0.4,5
0.1,1.0,-0.52,7
0.1,1.0,-0.1,0
0.1,1.0,-0.175,1
0.1,1.0,-0.25,2
0.1,1.0,-0.1,0
0.1,1.0,-0.325,3
0.1,1.0,-0.325,3
0.1,1.0,-0.175,1
0.1,1.0,-0.625,7
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.325,3
0.1,1.0,-0.1,0
0.1,1.0,-0.4,4
0.1,1.0,-0.1,0
0.1,1.0,-0.475,5
0.1,1.0,-0.1,0
0.1,1.0,-0.325,3
0.1,1.0,-0.175,1
0.1,1.0,-0.4,4
0.1,1.0,-0.4,4
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.325,3
0.1,1.0,-0.175,1
0.1,1.0,-0.25,2
0.1,1.0,-0.325,3
0.1,1.0,-0.55,6
0.1,1.0,-0.25,2
0.1,1.0,-0.325,3
0.1,1.0,-0.1,0
0.1,1.0,-0.25,2
0.1,1.0,-0.4,4
0.1,1.0,-0.325,3
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.625,7
0.1,1.0,-0.25,2
0.1,1.0,-0.175,1
0.1,1.0,-0.325,3
0.1,1.0,-0.25,2
0.1,1.0,-0.1,0
0.1,1.0,-0.25,2
0.1,1.0,-0.175,1
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.25,2
0.1,1.0,-0.4,4
0.1,1.0,-0.15294117647058825,1
0.1,1.0,-0.25882352941176473,3
0.1,1.0,-0.1,0
0.1,1.0,-0.25882352941176473,3
0.1,1.0,-0.3647058823529412,5
0.1,1.0,-0.15294117647058825,1
0.1,1.0,-0.20588235294117646,2
0.1,1.0,-0.5235294117647059,8
0.1,1.0,-0.4176470588235295,6
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.20588235294117646,2
0.1,1.0,-0.47058823529411764,7
0.1,1.0,-0.20588235294117646,2
0.1,1.0,-0.1,0
0.1,1.0,-0.5235294117647059,8
0.1,1.0,-0.5764705882352941,9
0.1,1.0,-0.25882352941176473,3
0.1,1.0,-0.1,0
0.1,1.0,-0.47058823529411764,7
0.1,1.0,-0.31176470588235294,4
0.1,1.0,-0.15294117647058825,1
0.1,1.0,-0.25882352941176473,3
0.1,1.0,-0.7882352941176471,13
0.1,1.0,-0.7352941176470589,12
0.1,1.0,-0.4176470588235295,6
0.1,1.0,-0.6823529411764706,11
0.1,1.0,-0.5235294117647059,8
0.1,1.0,-0.1,0
0.1,1.0,-0.31176470588235294,4
0.1,1.0,-0.31176470588235294,4
0.1,1.0,-0.3647058823529412,5
0.1,1.0,-0.31176470588235294,4
0.1,1.0,-0.5235294117647059,8
0.1,1.0,-0.1,0
0.1,1.0,-0.4176470588235295,6
0.1,1.0,-0.31176470588235294,4
0.1,1.0,-0.6823529411764706,11
0.1,1.0,-0.5764705882352941,9
0.1,1.0,-0.1,0
0.1,1.0,-0.4176470588235295,6
0.1,1.0,-0.4176470588235295,6
0.1,1.0,-0.1,0
0.1,1.0,-0.3647058823529412,5
0.1,1.0,-0.1,0
0.1,1.0,-0.4176470588235295,6
0.1,1.0,-0.7352941176470589,12
0.1,1.0,-0.20588235294117646,2
0.1,1.0,-0.3647058823529412,5
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.2285714285714286,1
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.2285714285714286,1
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.2285714285714286,1
0.1,1.0,-0.1,0
0.1,1.0,-0.2285714285714286,1
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.2285714285714286,1
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.2285714285714286,1
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.19,1
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.19,1
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.19,1
0.1,1.0,-0.1,0
0.1,1.0,-0.19,1
0.1,1.0,-0.19,1
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.19,1
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,0.0,-0.18,2
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,0.0,-0.27,3
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.19,1
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.2285714285714286,2
0.1,1.0,-0.1,0
0.1,1.0,-0.1642857142857143,1
0.1,1.0,-0.1,0
0.1,1.0,-0.1642857142857143,1
0.1,1.0,-0.1,0
0.1,1.0,-0.1642857142857143,1
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.3571428571428572,4
0.1,0.0,-0.1285714285714286,2
0.1,1.0,-0.1642857142857143,1
0.1,1.0,-0.1642857142857143,1
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,0.0,-0.2571428571428572,4
0.1,1.0,-0.29285714285714287,3
0.1,1.0,-0.1,0
0.1,1.0,-0.1642857142857143,1
0.1,1.0,-0.2285714285714286,2
0.1,1.0,-0.2285714285714286,2
0.1,1.0,-0.1,0
0.1,1.0,-0.1642857142857143,1
0.1,1.0,-0.1642857142857143,1
0.1,1.0,-0.2285714285714286,2
0.1,1.0,-0.1,0
0.1,1.0,-0.2285714285714286,2
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1642857142857143,1
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1642857142857143,1
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1,0
0.1,1.0,-0.1642857142857143,1
0.1,1.0,-0.1642857142857143,1
