dataset,target_attr,tau,rho,zone_size,num_edges_after_tau,mask,mask_size,leakage,active_edges,blocked_edges,num_chains,active_chains,blocked_chains,max_chain_weight,sum_chain_weight,chains,chain_weights
airport,iso_country,0.1,0.9,11,9,"{iata_code,scheduled_service}",2,0.23550088922706203,7,2,5,5,0,0.0732925586136595,0.26056052483869824,"[['e0'],['e1'],['e3'],['e4'],['e6']]","[0.073292558614,0.07131280389,0.053053053053,0.034359805511,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{iata_code,type}",2,0.11168933494182909,5,4,3,3,0,0.053053053053053,0.11595516233524941,"[['e3'],['e4'],['e6']]","[0.053053053053,0.034359805511,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{iata_code,wikipedia_link}",2,0.1507991094099438,5,4,3,3,0,0.0713128038897893,0.1587256624533771,"[['e1'],['e3'],['e4']]","[0.07131280389,0.053053053053,0.034359805511]"
airport,iso_country,0.1,0.9,11,9,"{keywords,local_code}",2,0.23099870911155784,7,2,5,5,0,0.0732925586136595,0.254887915438374,"[['e0'],['e2'],['e3'],['e5'],['e6']]","[0.073292558614,0.071003307607,0.053053053053,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{keywords,municipality}",2,0.23099870911155784,7,2,5,5,0,0.0732925586136595,0.254887915438374,"[['e0'],['e2'],['e3'],['e5'],['e6']]","[0.073292558614,0.071003307607,0.053053053053,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{keywords,scheduled_service}",2,0.23099870911155784,7,2,5,5,0,0.0732925586136595,0.254887915438374,"[['e0'],['e2'],['e3'],['e5'],['e6']]","[0.073292558614,0.071003307607,0.053053053053,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{keywords,type}",2,0.10675570582422578,4,5,3,3,0,0.053053053053053,0.1105920492172173,"[['e3'],['e5'],['e6']]","[0.053053053053,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{keywords,wikipedia_link}",2,0.1457981155437541,5,4,3,3,0,0.0710033076074972,0.15305305305305292,"[['e2'],['e3'],['e5']]","[0.071003307607,0.053053053053,0.028996692393]"
airport,iso_country,0.1,0.9,11,9,"{local_code,municipality}",2,0.3103768028474837,9,0,7,7,0,0.0732925586136595,0.3605605248386981,"[['e0'],['e1'],['e2'],['e3'],['e4'],['e5'],['e6']]","[0.073292558614,0.07131280389,0.071003307607,0.053053053053,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{local_code,scheduled_service}",2,0.3103768028474837,9,0,7,7,0,0.0732925586136595,0.3605605248386981,"[['e0'],['e1'],['e2'],['e3'],['e4'],['e5'],['e6']]","[0.073292558614,0.07131280389,0.071003307607,0.053053053053,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{local_code,type}",2,0.13744740604550032,6,3,4,4,0,0.053053053053053,0.1449518547277521,"[['e3'],['e4'],['e5'],['e6']]","[0.053053053053,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{local_code,wikipedia_link}",2,0.23397081181509072,7,2,5,5,0,0.0713128038897893,0.258725662453377,"[['e1'],['e2'],['e3'],['e4'],['e5']]","[0.07131280389,0.071003307607,0.053053053053,0.034359805511,0.028996692393]"
airport,iso_country,0.1,0.9,11,9,"{municipality,scheduled_service}",2,0.3103768028474837,9,0,7,7,0,0.0732925586136595,0.3605605248386981,"[['e0'],['e1'],['e2'],['e3'],['e4'],['e5'],['e6']]","[0.073292558614,0.07131280389,0.071003307607,0.053053053053,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{municipality,type}",2,0.13744740604550032,6,3,4,4,0,0.053053053053053,0.1449518547277521,"[['e3'],['e4'],['e5'],['e6']]","[0.053053053053,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{municipality,wikipedia_link}",2,0.23397081181509072,7,2,5,5,0,0.0713128038897893,0.258725662453377,"[['e1'],['e2'],['e3'],['e4'],['e5']]","[0.07131280389,0.071003307607,0.053053053053,0.034359805511,0.028996692393]"
airport,iso_country,0.1,0.9,11,9,"{scheduled_service,type}",2,0.13744740604550032,6,3,4,4,0,0.053053053053053,0.1449518547277521,"[['e3'],['e4'],['e5'],['e6']]","[0.053053053053,0.034359805511,0.028996692393,0.028542303772]"
airport,iso_country,0.1,0.9,11,9,"{scheduled_service,wikipedia_link}",2,0.23397081181509072,7,2,5,5,0,0.0713128038897893,0.258725662453377,"[['e1'],['e2'],['e3'],['e4'],['e5']]","[0.07131280389,0.071003307607,0.053053053053,0.034359805511,0.028996692393]"
airport,iso_country,0.1,0.9,11,9,"{type,wikipedia_link}",2,0.11210483245607117,5,4,3,3,0,0.053053053053053,0.11640955095609051,"[['e3'],['e4'],['e5']]","[0.053053053053,0.034359805511,0.028996692393]"
airport,iso_country,0.1,0.9,11,9,"{continent,elevation_ft,gps_code}",3,0.3103768028474837,9,0,7,7,0,0.0732925586136595,0.3605605248386981,"[['e0'],['e1'],['e2'],['e3'],['e4'],['e5'],['e6']]","[0.073292558614,0.07131280389,0.071003307607,0.053053053053,0.034359805511,0.028996692393,0.028542303772]"
