dataset,target_attr,tau,rho,zone_size,num_edges_after_tau,mask,mask_size,leakage,active_edges,blocked_edges,num_chains,active_chains,blocked_chains,total_time
tax,marital_status,1.0,1.0,8,26,{},0,0.9999999816315241,26,0,13,13,0,7.510185241699219e-05
tax,marital_status,1.0,1.0,8,26,{area_code},1,0.9999999449377798,24,2,13,11,2,8.20159912109375e-05
tax,marital_status,1.0,1.0,8,26,{child_exemp},1,0.9999999816315241,26,0,13,13,0,6.389617919921875e-05
tax,marital_status,1.0,1.0,8,26,{has_child},1,0.9999999816315241,26,0,13,13,0,5.7697296142578125e-05
tax,marital_status,1.0,1.0,8,26,{married_exemp},1,0.9999972732089933,17,9,13,4,9,6.29425048828125e-05
tax,marital_status,1.0,1.0,8,26,{rate},1,0.9999999816315241,26,0,13,13,0,5.2928924560546875e-05
tax,marital_status,1.0,1.0,8,26,{salary},1,0.9999999816315241,26,0,13,13,0,5.1021575927734375e-05
tax,marital_status,1.0,1.0,8,26,{single_exemp},1,0.9999919879141247,15,11,13,2,11,5.91278076171875e-05
tax,marital_status,1.0,1.0,8,26,{state},1,0.9999998342179242,22,4,13,9,4,6.008148193359375e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp}",2,0.9999999805100248,23,3,15,11,4,9.298324584960938e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child}",2,0.9999999805100248,23,3,15,11,4,8.58306884765625e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp}",2,0.9999999510084667,14,12,22,3,19,9.107589721679688e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,rate}",2,0.9999999783617007,23,3,15,11,4,8.296966552734375e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,salary}",2,0.9999999783617007,23,3,15,11,4,7.987022399902344e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,single_exemp}",2,0.9999999501717762,12,14,24,1,23,8.869171142578125e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,state}",2,0.9999999797335785,19,7,19,7,12,8.893013000488281e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,has_child}",2,0.9999999816315241,22,4,13,13,0,4.291534423828125e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,married_exemp}",2,0.9999972732089933,17,9,13,4,9,7.295608520507812e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,rate}",2,0.9999999816315241,26,0,13,13,0,6.890296936035156e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,salary}",2,0.9999999816315241,26,0,13,13,0,6.699562072753906e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,single_exemp}",2,0.9999919879141247,15,11,13,2,11,7.295608520507812e-05
tax,marital_status,1.0,1.0,8,26,"{child_exemp,state}",2,0.9999999803396203,19,7,17,9,8,8.702278137207031e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,married_exemp}",2,0.9999972732089933,17,9,13,4,9,7.224082946777344e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,rate}",2,0.9999999816315241,26,0,13,13,0,6.985664367675781e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,salary}",2,0.9999999816315241,26,0,13,13,0,6.794929504394531e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,single_exemp}",2,0.9999919879141247,15,11,13,2,11,7.295608520507812e-05
tax,marital_status,1.0,1.0,8,26,"{has_child,state}",2,0.9999999803396203,19,7,17,9,8,8.511543273925781e-05
tax,marital_status,1.0,1.0,8,26,"{married_exemp,rate}",2,0.9999972732089933,17,9,13,4,9,6.914138793945312e-05
tax,marital_status,1.0,1.0,8,26,"{married_exemp,salary}",2,0.9999972732089933,17,9,13,4,9,6.818771362304688e-05
