dataset,target_cell,tau,rho,mask_size,leakage
airport,home_link,0.3,1.0,4,0.117880
airport,home_link,0.3,1.0,4,0.166999
airport,home_link,0.3,1.0,4,0.125964
airport,home_link,0.3,1.0,4,0.121513
airport,home_link,0.3,1.0,4,0.136064
airport,home_link,0.3,1.0,4,0.053460
airport,home_link,0.3,1.0,4,0.134127
airport,home_link,0.3,1.0,4,0.050826
airport,home_link,0.3,1.0,4,0.136217
airport,home_link,0.3,1.0,4,0.057142
airport,home_link,0.3,1.0,4,0.126263
airport,home_link,0.3,1.0,4,0.173141
airport,home_link,0.3,1.0,4,0.134179
airport,home_link,0.3,1.0,4,0.129728
airport,home_link,0.3,1.0,4,0.045602
airport,home_link,0.3,1.0,4,0.135804
airport,home_link,0.3,1.0,4,0.053134
airport,home_link,0.3,1.0,4,0.050520
airport,home_link,0.3,1.0,4,0.126064
airport,home_link,0.3,1.0,5,0.090715
airport,home_link,0.3,1.0,5,0.012564
airport,home_link,0.3,1.0,5,0.087041
airport,home_link,0.3,1.0,5,0.019616
airport,home_link,0.3,1.0,5,0.090522
airport,home_link,0.3,1.0,5,0.013058
airport,home_link,0.3,1.0,5,0.111534
airport,home_link,0.3,1.0,5,0.166747
airport,home_link,0.3,1.0,5,0.120694
airport,home_link,0.3,1.0,5,0.115594
airport,home_link,0.3,1.0,5,0.017748
airport,home_link,0.3,1.0,5,0.090220
airport,home_link,0.3,1.0,5,0.012161
airport,home_link,0.3,1.0,5,0.019284
airport,home_link,0.3,1.0,5,0.111304
airport,home_link,0.3,1.0,5,0.036384
airport,home_link,0.3,1.0,5,0.127514
airport,home_link,0.3,1.0,5,0.043150
airport,home_link,0.3,1.0,5,0.041249
airport,home_link,0.3,1.0,5,0.119962
airport,home_link,0.3,1.0,5,0.036072
airport,home_link,0.3,1.0,6,0.008654
airport,home_link,0.3,1.0,6,0.074420
airport,home_link,0.3,1.0,6,0.000000
airport,home_link,0.3,1.0,6,0.009456
airport,home_link,0.3,1.0,6,0.104207
airport,home_link,0.3,1.0,6,0.008358
airport,home_link,0.3,1.0,6,0.026786
airport,home_link,0.3,1.0,7,0.000000
airport,home_link,0.4,1.0,0,0.173141
airport,home_link,0.4,1.0,1,0.170084
airport,home_link,0.4,1.0,1,0.173141
airport,home_link,0.4,1.0,1,0.173141
airport,home_link,0.4,1.0,1,0.173141
airport,home_link,0.4,1.0,1,0.159084
airport,home_link,0.4,1.0,1,0.173141
airport,home_link,0.4,1.0,1,0.173141
airport,home_link,0.4,1.0,1,0.173141
airport,home_link,0.4,1.0,1,0.163421
airport,home_link,0.4,1.0,1,0.173141
airport,home_link,0.4,1.0,2,0.170003
airport,home_link,0.4,1.0,2,0.170076
airport,home_link,0.4,1.0,2,0.169932
airport,home_link,0.4,1.0,2,0.134667
airport,home_link,0.4,1.0,2,0.169847
airport,home_link,0.4,1.0,2,0.170074
airport,home_link,0.4,1.0,2,0.167828
airport,home_link,0.4,1.0,2,0.152237
airport,home_link,0.4,1.0,2,0.169928
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.156036
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.162010
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.158813
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.163292
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.154832
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.161771
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.154603
airport,home_link,0.4,1.0,2,0.158739
airport,home_link,0.4,1.0,2,0.153037
airport,home_link,0.4,1.0,2,0.117606
airport,home_link,0.4,1.0,2,0.154715
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.160440
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.163257
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.144206
airport,home_link,0.4,1.0,2,0.173141
airport,home_link,0.4,1.0,2,0.161727
airport,home_link,0.4,1.0,3,0.170003
airport,home_link,0.4,1.0,3,0.169847
airport,home_link,0.4,1.0,3,0.127847
airport,home_link,0.4,1.0,3,0.169782
airport,home_link,0.4,1.0,3,0.170003
airport,home_link,0.4,1.0,3,0.167703
airport,home_link,0.4,1.0,3,0.149768
airport,home_link,0.4,1.0,3,0.169842
airport,home_link,0.4,1.0,3,0.169924
airport,home_link,0.4,1.0,3,0.134060
airport,home_link,0.4,1.0,3,0.169841
airport,home_link,0.4,1.0,3,0.170066
airport,home_link,0.4,1.0,3,0.167816
airport,home_link,0.4,1.0,3,0.152011
airport,home_link,0.4,1.0,3,0.169920
airport,home_link,0.4,1.0,3,0.125024
airport,home_link,0.4,1.0,3,0.169684
airport,home_link,0.4,1.0,3,0.169922
airport,home_link,0.4,1.0,3,0.167604
airport,home_link,0.4,1.0,3,0.149394
airport,home_link,0.4,1.0,3,0.169769
airport,home_link,0.4,1.0,3,0.124774
airport,home_link,0.4,1.0,3,0.133894
airport,home_link,0.4,1.0,3,0.123008
airport,home_link,0.4,1.0,3,0.069751
airport,home_link,0.4,1.0,3,0.124756
airport,home_link,0.4,1.0,3,0.169839
airport,home_link,0.4,1.0,3,0.167458
airport,home_link,0.4,1.0,3,0.147049
airport,home_link,0.4,1.0,3,0.169679
airport,home_link,0.4,1.0,3,0.167813
airport,home_link,0.4,1.0,3,0.151949
airport,home_link,0.4,1.0,3,0.169917
airport,home_link,0.4,1.0,3,0.132091
airport,home_link,0.4,1.0,3,0.167597
airport,home_link,0.4,1.0,3,0.149319
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.156036
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.162010
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.152133
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.160496
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.151950
airport,home_link,0.4,1.0,3,0.156036
airport,home_link,0.4,1.0,3,0.148671
airport,home_link,0.4,1.0,3,0.104648
airport,home_link,0.4,1.0,3,0.151980
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.159429
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.162010
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.140037
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.160440
airport,home_link,0.4,1.0,3,0.154586
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.161653
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.154360
airport,home_link,0.4,1.0,3,0.158462
airport,home_link,0.4,1.0,3,0.152649
airport,home_link,0.4,1.0,3,0.116836
airport,home_link,0.4,1.0,3,0.154465
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.160345
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.163126
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.143825
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.161607
airport,home_link,0.4,1.0,3,0.149023
airport,home_link,0.4,1.0,3,0.154519
airport,home_link,0.4,1.0,3,0.147029
airport,home_link,0.4,1.0,3,0.105622
airport,home_link,0.4,1.0,3,0.149174
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.158299
airport,home_link,0.4,1.0,3,0.173141
airport,home_link,0.4,1.0,3,0.173141
