dataset,target_attr,tau,rho,zone_size,num_edges_after_tau,mask,mask_size,leakage,active_edges,blocked_edges,num_chains,active_chains,blocked_chains,total_time
tax,marital_status,1.0,1.0,8,26,"{married_exemp,single_exemp}",2,0.0,7,19,0,0,0,4.506111145019531e-05
tax,marital_status,1.0,1.0,8,26,"{married_exemp,state}",2,0.9485893796622411,12,14,24,1,23,0.00010204315185546875
tax,marital_status,1.0,1.0,8,26,"{rate,salary}",2,0.9999999816315241,24,2,13,13,0,4.8160552978515625e-05
tax,marital_status,1.0,1.0,8,26,"{rate,single_exemp}",2,0.9704802186671765,15,11,13,2,11,7.700920104980469e-05
tax,marital_status,1.0,1.0,8,26,"{rate,state}",2,0.9999981354364993,21,5,17,9,8,9.107589721679688e-05
tax,marital_status,1.0,1.0,8,26,"{salary,single_exemp}",2,0.9704802186671765,15,11,13,2,11,7.414817810058594e-05
tax,marital_status,1.0,1.0,8,26,"{salary,state}",2,0.9999981354364993,21,5,17,9,8,8.821487426757812e-05
tax,marital_status,1.0,1.0,8,26,"{single_exemp,state}",2,0.9486098404942003,12,14,22,1,21,0.00010013580322265625
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,has_child}",3,0.9999998792599425,20,6,13,11,2,6.794929504394531e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,married_exemp}",3,0.9966144209463859,13,13,33,3,30,0.00015306472778320312
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,rate}",3,0.9999998792599425,22,4,19,11,8,0.00013899803161621094
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,salary}",3,0.9999998792599425,22,4,19,11,8,0.00013303756713867188
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,single_exemp}",3,0.9497300713245109,11,15,37,1,36,0.00014734268188476562
tax,marital_status,1.0,1.0,8,26,"{area_code,child_exemp,state}",3,0.9999876252933931,15,11,31,7,24,0.00045228004455566406
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,married_exemp}",3,0.9966144209463859,13,13,33,3,30,0.00018310546875
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,rate}",3,0.9999998792599425,22,4,19,11,8,0.00014901161193847656
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,salary}",3,0.9999998792599425,22,4,19,11,8,0.0001380443572998047
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,single_exemp}",3,0.9497300713245109,11,15,37,1,36,0.00015592575073242188
tax,marital_status,1.0,1.0,8,26,"{area_code,has_child,state}",3,0.9999876252933931,15,11,31,7,24,0.0001583099365234375
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,rate}",3,0.9966144209463859,13,13,33,3,30,0.0001468658447265625
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,salary}",3,0.9966144209463859,13,13,33,3,30,0.00013589859008789062
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,single_exemp}",3,0.0,7,19,0,0,0,6.103515625e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,married_exemp,state}",3,0.9116515207660179,8,18,48,0,48,0.00019216537475585938
tax,marital_status,1.0,1.0,8,26,"{area_code,rate,salary}",3,0.9999998792599425,22,4,13,11,2,6.866455078125e-05
tax,marital_status,1.0,1.0,8,26,"{area_code,rate,single_exemp}",3,0.9497300713245109,11,15,37,1,36,0.00014781951904296875
