-----airport-----
target_attribute,total_time,init_time,model_time,del_time,leakage,utility,paths_blocked,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
latitude_deg,0.016068220138549805,0.0,0.0048749446868896484,0.00855398178100586,1.0,-4.0,10,6,24,9748776,27
latitude_deg,0.010453939437866211,0.0,0.0036590099334716797,0.003946065902709961,1.0,-5.0,16,8,24,9748776,27
latitude_deg,0.009735107421875,0.0,0.003709077835083008,0.0030219554901123047,1.0,-2.5,4,3,24,9748776,27
latitude_deg,0.009656190872192383,0.0,0.003706216812133789,0.002991199493408203,1.0,-3.0,6,4,24,9748776,27
latitude_deg,0.00989389419555664,0.0,0.0037419795989990234,0.0030989646911621094,1.0,-3.5,11,5,24,9748776,27
latitude_deg,0.009109973907470703,0.0,0.0035941600799560547,0.0024678707122802734,1.0,-3.0,9,4,24,9748776,27
latitude_deg,0.010096073150634766,0.0,0.0036458969116210938,0.0033583641052246094,1.0,-6.0,23,10,24,9748776,27
latitude_deg,0.009578943252563477,0.0,0.0036983489990234375,0.0026869773864746094,1.0,-4.0,13,6,24,9748776,27
latitude_deg,0.009567022323608398,0.0,0.003793954849243164,0.002708911895751953,1.0,-3.5,6,5,24,9748776,27
latitude_deg,0.01267695426940918,0.0,0.0058629512786865234,0.0037360191345214844,1.0,-3.0,4,4,24,9748776,27
latitude_deg,0.009207963943481445,0.0,0.003590106964111328,0.0027570724487304688,1.0,-3.5,8,5,24,9748776,27
latitude_deg,0.008913993835449219,0.0,0.0033969879150390625,0.002699136734008789,1.0,-3.5,11,5,24,9748776,27
latitude_deg,0.009705066680908203,0.0,0.0034389495849609375,0.0034210681915283203,1.0,-4.5,16,7,24,9748776,27
latitude_deg,0.009210824966430664,0.0,0.0036818981170654297,0.0027952194213867188,1.0,-5.0,21,8,24,9748776,27
latitude_deg,0.010262012481689453,0.0,0.003631114959716797,0.0037250518798828125,1.0,-5.0,20,8,24,9748776,27
latitude_deg,0.009449005126953125,0.0,0.0035588741302490234,0.003094911575317383,1.0,-4.5,17,7,24,9748776,27
latitude_deg,0.00895380973815918,0.0,0.003507852554321289,0.002655029296875,1.0,-4.0,12,6,24,9748776,27
latitude_deg,0.008973836898803711,0.0,0.003469228744506836,0.002640962600708008,1.0,-4.0,11,6,24,9748776,27
latitude_deg,0.008482933044433594,0.0,0.0034418106079101562,0.002157926559448242,1.0,-3.0,12,4,24,9748776,27
latitude_deg,0.009031057357788086,0.0,0.0034351348876953125,0.002753734588623047,1.0,-4.5,17,7,24,9748776,27
latitude_deg,0.009448051452636719,0.0,0.0034470558166503906,0.003130197525024414,1.0,-5.0,18,8,24,9748776,27
latitude_deg,0.009155035018920898,0.0,0.003378152847290039,0.0028769969940185547,1.0,-4.5,19,7,24,9748776,27
latitude_deg,0.008999824523925781,0.0,0.0033791065216064453,0.0027730464935302734,1.0,-4.5,16,7,24,9748776,27
latitude_deg,0.008928060531616211,0.0,0.0033600330352783203,0.002755880355834961,1.0,-4.0,11,6,24,9748776,27
latitude_deg,0.009530067443847656,0.0,0.003428936004638672,0.003271341323852539,1.0,-4.5,16,7,24,9748776,27
