method,dataset,target_attribute,tau,rho,lam,iter,total_time,init_time,ilp_time,leakage,utility,mask_size,num_vertices,num_edges,edge_members,memory_overhead_bytes,num_rdrs_base,num_rdrs_surviving,max_depth,ilp_num_cells,ilp_num_vars,ilp_num_constrs,activated_dependencies_count
baseline3_ilp,airport,home_link,0.200,1.000,0.500,0,0.082695,0.061547,0.021035,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.200,1.000,0.500,1,0.030000,0.028402,0.001511,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.200,1.000,0.500,2,0.025180,0.023551,0.001548,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.200,1.000,0.500,3,0.022575,0.020873,0.001633,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.200,1.000,0.500,4,0.026013,0.024144,0.001779,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.200,1.000,0.500,5,0.022816,0.021257,0.001478,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.200,1.000,0.500,6,0.024339,0.022784,0.001477,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.200,1.000,0.500,7,0.026803,0.025354,0.001380,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.200,1.000,0.500,8,0.025908,0.024458,0.001379,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.200,1.000,0.500,9,0.026779,0.024997,0.001701,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.200,1.000,0.500,10,0.025455,0.023848,0.001525,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.200,1.000,0.500,11,0.030878,0.029403,0.001409,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.200,1.000,0.500,12,0.022349,0.020557,0.001699,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.200,1.000,0.500,13,0.021516,0.019867,0.001563,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.200,1.000,0.500,14,0.024315,0.022653,0.001574,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.200,1.000,0.500,15,0.026732,0.024688,0.001961,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.200,1.000,0.500,16,0.023610,0.022123,0.001414,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.200,1.000,0.500,17,0.027590,0.025995,0.001518,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.200,1.000,0.500,18,0.030346,0.028814,0.001453,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.200,1.000,0.500,19,0.025358,0.023872,0.001414,0.000000000001,-0.600000000001,6,7,10,26,35712,38,12,2,7,113,148,10
baseline3_ilp,airport,home_link,0.300,1.000,0.500,0,0.028999,0.026861,0.002035,0.000000000001,-0.583333333334,7,8,13,33,44632,38,15,2,8,141,186,13
