alpha,leakage,utility,mask_size
6,0.0,-5.0,10
6,1.0,-9.0,6
6,1.0,-7.0,2
6,0.0,-4.0,8
6,0.0,-5.0,10
alpha,leakage,utility,mask_size
7,0.0,-5.0,10
7,1.0,-12.0,10
7,1.0,-9.5,5
7,0.0,-5.0,10
7,1.0,-12.0,10
7,0.0,-5.0,10
7,0.0,-5.0,10
7,1.0,-12.0,10
7,0.0,-5.0,10
7,1.0,-9.0,4
7,1.0,-12.0,10
7,1.0,-12.0,10
7,1.0,-12.0,10
7,1.0,-12.0,10
7,1.0,-7.0,0
7,1.0,-12.0,10
7,1.0,-12.0,10
7,1.0,-12.0,10
7,1.0,-10.5,7
7,1.0,-12.0,10
7,1.0,-12.0,10
7,1.0,-12.0,10
7,1.0,-12.0,10
7,1.0,-12.0,10
7,1.0,-12.0,10
7,1.0,-12.0,10
7,1.0,-12.0,10
7,1.0,-12.0,10
7,1.0,-12.0,10
7,1.0,-12.0,10
7,1.0,-8.5,3
7,1.0,-8.5,3
7,0.0,-3.0,6
7,1.0,-7.0,0
7,1.0,-9.0,4
7,0.0,-3.0,6
7,0.0,-2.5,5
7,0.0,-3.5,7
7,1.0,-8.5,3
7,9.999778782798785e-13,-2.5000000000069997,5
7,1.0,-11.0,8
7,0.0,-5.0,10
7,0.0,-4.5,9
7,1.0,-7.0,0
7,0.0,-5.0,10
7,0.0,-3.0,6
7,0.0,-4.0,8
7,0.0,-5.0,10
7,0.0,-5.0,10
7,0.0,-5.0,10
alpha,leakage,utility,mask_size
8,1.0,-13.0,10
8,1.0,-13.0,10
8,1.0,-8.0,0
8,1.0,-13.0,10
8,1.0,-8.5,1
8,1.0,-13.0,10
8,1.0,-13.0,10
8,1.0,-9.5,3
8,1.0,-13.0,10
8,1.0,-13.0,10
8,1.0,-13.0,10
8,1.0,-13.0,10
8,1.0,-12.0,8
8,1.0,-12.0,8
8,1.0,-13.0,10
8,1.0,-13.0,10
8,1.0,-10.5,5
8,1.0,-13.0,10
