dataset,premise,target,N_valid,support,groups,avg_size,K,avgK,p,p0,p_lcb95,w_norm
flights,DayofMonth,FlightDate,499308.0,1.0,31,16106.709677419354,61.0,1.967741935483871,0.9884640342233652,0.0351246124636496,0.9881640573586722,0.9880440874276109
flights,DayofMonth,DayOfWeek,499308.0,1.0,31,16106.709677419354,7.0,1.967741935483871,0.9884640342233652,0.1603258910331899,0.9881640573586722,0.986261377296926
flights,OriginCityMarketID,OriginWac,499308.0,1.0,277,1802.5559566787003,52.0,1.0144404332129964,0.9589632050758248,0.1273001834539002,0.9584094153970192,0.9529771931354504
flights,OriginCityMarketID,OriginStateName,499308.0,1.0,277,1802.5559566787003,52.0,1.0144404332129964,0.9589632050758248,0.1273001834539002,0.9584094153970192,0.9529771931354504
flights,OriginCityMarketID,OriginStateFips,499308.0,1.0,277,1802.5559566787003,52.0,1.0144404332129964,0.9589632050758248,0.1273001834539002,0.9584094153970192,0.9529771931354504
flights,OriginCityMarketID,OriginState,499308.0,1.0,277,1802.5559566787003,52.0,1.0144404332129964,0.9589632050758248,0.1273001834539002,0.9584094153970192,0.9529771931354504
flights,OriginCityName,OriginAirportSeqID,499308.0,1.0,294,1698.3265306122448,299.0,1.0170068027210883,0.9482623951548944,0.0622441458979227,0.9476445559415656,0.9448282784705776
flights,OriginCityName,OriginAirportID,499308.0,1.0,294,1698.3265306122448,299.0,1.0170068027210883,0.9482623951548944,0.0622441458979227,0.9476445559415656,0.9448282784705776
flights,OriginCityName,Origin,499308.0,1.0,294,1698.3265306122448,299.0,1.0170068027210883,0.9482623951548944,0.0622441458979227,0.9476445559415656,0.9448282784705776
flights,OriginCityMarketID,OriginCityName,499308.0,1.0,277,1802.5559566787003,294.0,1.0613718411552346,0.9047962379933828,0.0623502928052424,0.9039790273071274,0.8984655343289703
flights,OriginCityMarketID,OriginAirportID,499308.0,1.0,277,1802.5559566787003,299.0,1.0794223826714802,0.8605429915002363,0.0622441458979227,0.8595793170869657,0.8512864431720376
flights,OriginCityMarketID,Origin,499308.0,1.0,277,1802.5559566787003,299.0,1.0794223826714802,0.8605429915002363,0.0622441458979227,0.8595793170869657,0.8512864431720376
flights,OriginCityMarketID,OriginAirportSeqID,499308.0,1.0,277,1802.5559566787003,299.0,1.0794223826714802,0.8605429915002363,0.0622441458979227,0.8595793170869657,0.8512864431720376
flights,"AirlineID,OriginWac",OriginCityMarketID,499308.0,1.0,464,1076.094827586207,277.0,2.4439655172413794,0.7273446449886644,0.0623502928052424,0.7261076661831658,0.7092140562523496
flights,"OriginState,UniqueCarrier",OriginCityMarketID,499308.0,1.0,464,1076.094827586207,277.0,2.4439655172413794,0.7273446449886644,0.0623502928052424,0.7261076661831658,0.7092140562523496
flights,"Carrier,OriginStateName",OriginCityMarketID,499308.0,1.0,464,1076.094827586207,277.0,2.4439655172413794,0.7273446449886644,0.0623502928052424,0.7261076661831658,0.7092140562523496
flights,"Carrier,OriginWac",OriginCityMarketID,499308.0,1.0,464,1076.094827586207,277.0,2.4439655172413794,0.7273446449886644,0.0623502928052424,0.7261076661831658,0.7092140562523496
