dc_id,dc_str,m,nV,nE_best,best_head_idx,best_base,weight
45,t0.gps_code str EQUAL t1.gps_code str AND t0.wikipedia_link str UNEQUAL t1.wikipedia_link str,2,2464,0,-1,0.0,0.0
46,t0.continent str EQUAL t1.continent str AND t0.scheduled_service str UNEQUAL t1.scheduled_service str AND t0.home_link str UNEQUAL t1.home_link str,3,108,0,-1,0.0,0.0
47,t0.elevation_ft int EQUAL t1.elevation_ft int AND t0.latitude_deg float LESS t1.latitude_deg float,2,76356,0,-1,0.0,0.0
48,t0.elevation_ft int EQUAL t1.elevation_ft int AND t0.continent str EQUAL t1.continent str,2,14781,0,-1,0.0,0.0
49,t0.wikipedia_link str EQUAL t1.wikipedia_link str AND t0.local_code str EQUAL t1.local_code str AND t0.home_link str UNEQUAL t1.home_link str,3,27,0,-1,0.0,0.0
50,t0.municipality str EQUAL t1.municipality str AND t0.type str UNEQUAL t1.type str,2,80471,0,-1,0.0,0.0
51,t0.continent str EQUAL t1.continent str AND t0.gps_code str EQUAL t1.gps_code str AND t0.local_code str UNEQUAL t1.local_code str,3,186,0,-1,0.0,0.0
52,t0.gps_code str EQUAL t1.gps_code str AND t0.municipality str EQUAL t1.municipality str,2,46777,0,-1,0.0,0.0
53,t0.continent str EQUAL t1.continent str AND t0.gps_code str EQUAL t1.gps_code str AND t0.longitude_deg float LESS t1.longitude_deg float,3,9531,0,-1,0.0,0.0
54,t0.scheduled_service str UNEQUAL t1.scheduled_service str AND t0.gps_code str EQUAL t1.gps_code str,2,55318,0,-1,0.0,0.0
55,t0.continent str EQUAL t1.continent str AND t0.gps_code str EQUAL t1.gps_code str AND t0.id str LESS_EQUAL t1.id str,3,9531,0,-1,0.0,0.0
56,t0.iso_country str EQUAL t1.iso_country str AND t0.type str EQUAL t1.type str AND t0.home_link str UNEQUAL t1.home_link str,3,297,0,-1,0.0,0.0
57,t0.iso_country str EQUAL t1.iso_country str AND t0.id str LESS_EQUAL t1.id str AND t0.home_link str UNEQUAL t1.home_link str,3,297,0,-1,0.0,0.0
58,t0.scheduled_service str UNEQUAL t1.scheduled_service str AND t0.iata_code str EQUAL t1.iata_code str,2,2739,0,-1,0.0,0.0
59,t0.keywords str EQUAL t1.keywords str AND t0.continent str EQUAL t1.continent str AND t0.gps_code str EQUAL t1.gps_code str,3,189,0,-1,0.0,0.0
60,t0.local_code str EQUAL t1.local_code str AND t0.continent str EQUAL t1.continent str AND t0.home_link str UNEQUAL t1.home_link str,3,1,0,-1,0.0,0.0
61,t0.iata_code str UNEQUAL t1.iata_code str AND t0.iso_country str EQUAL t1.iso_country str AND t0.keywords str UNEQUAL t1.keywords str,3,138,0,-1,0.0,0.0
62,t0.elevation_ft int EQUAL t1.elevation_ft int AND t0.home_link str UNEQUAL t1.home_link str,2,257,0,-1,0.0,0.0
63,t0.iata_code str UNEQUAL t1.iata_code str AND t0.gps_code str EQUAL t1.gps_code str,2,2376,0,-1,0.0,0.0
64,t0.iso_country str EQUAL t1.iso_country str AND t0.local_code str EQUAL t1.local_code str,2,27332,0,-1,0.0,0.0
65,t0.iso_country str EQUAL t1.iso_country str AND t0.gps_code str EQUAL t1.gps_code str,2,55120,0,-1,0.0,0.0
66,t0.iso_country str EQUAL t1.iso_country str AND t0.iata_code str EQUAL t1.iata_code str AND t0.home_link str UNEQUAL t1.home_link str,3,102,0,-1,0.0,0.0
67,t0.type str EQUAL t1.type str AND t0.scheduled_service str UNEQUAL t1.scheduled_service str AND t0.home_link str UNEQUAL t1.home_link str,3,297,113,1,0.4180587879749603,0.16805878797496032
68,t0.continent str EQUAL t1.continent str AND t0.iata_code str EQUAL t1.iata_code str AND t0.home_link str UNEQUAL t1.home_link str,3,19,0,-1,0.0,0.0
69,t0.municipality str EQUAL t1.municipality str AND t0.home_link str UNEQUAL t1.home_link str,2,261,0,-1,0.0,0.0
