dc_id,dc_str,m,nV,nE_best,best_head_idx,best_base,weight
31,t0.Carrier String EQUAL t1.Carrier String AND t0.DayOfWeek int LESS t1.DayOfWeek int AND t0.OriginWac int EQUAL t1.OriginWac int,3,100000,0,-1,0.0,0.0
32,t0.OriginAirportSeqID int LESS t1.OriginAirportSeqID int AND t0.DayOfWeek int LESS t1.DayOfWeek int AND t0.OriginStateName String EQUAL t1.OriginStateName String,3,100000,0,-1,0.0,0.0
33,t0.OriginStateFips int LESS_EQUAL t1.OriginStateFips int AND t0.DayofMonth int EQUAL t1.DayofMonth int AND t0.AirlineID int GREATER_EQUAL t1.AirlineID int,3,100000,0,-1,0.0,0.0
34,t0.OriginCityName String UNEQUAL t1.OriginCityName String AND t0.OriginAirportSeqID int GREATER_EQUAL t1.OriginAirportSeqID int AND t0.OriginAirportID int LESS_EQUAL t1.OriginAirportID int,3,100000,48867,1,0.9998908942597325,0.7498908942597325
35,t0.OriginAirportID int LESS_EQUAL t1.OriginAirportID int AND t0.Month int LESS t1.Month int,2,100000,0,-1,0.0,0.0
36,t0.OriginAirportSeqID int GREATER t1.OriginAirportSeqID int AND t0.DayOfWeek int LESS t1.DayOfWeek int AND t0.OriginStateName String EQUAL t1.OriginStateName String,3,100000,0,-1,0.0,0.0
37,t0.OriginAirportSeqID int EQUAL t1.OriginAirportSeqID int AND t0.OriginState String UNEQUAL t1.OriginState String,2,100000,94152,0,0.9985876550337053,0.7485876550337053
38,t0.Month int LESS t1.Month int AND t0.OriginAirportSeqID int LESS_EQUAL t1.OriginAirportSeqID int,2,100000,0,-1,0.0,0.0
39,t0.OriginCityMarketID int EQUAL t1.OriginCityMarketID int AND t0.UniqueCarrier String EQUAL t1.UniqueCarrier String,2,100000,0,-1,0.0,0.0
40,t0.DayofMonth int EQUAL t1.DayofMonth int AND t0.OriginWac int EQUAL t1.OriginWac int,2,100000,0,-1,0.0,0.0
41,t0.DayofMonth int EQUAL t1.DayofMonth int AND t0.AirlineID int EQUAL t1.AirlineID int,2,100000,0,-1,0.0,0.0
42,t0.UniqueCarrier String EQUAL t1.UniqueCarrier String AND t0.Carrier String UNEQUAL t1.Carrier String,2,100000,89623,0,0.9997046107995099,0.7497046107995099
43,t0.Carrier String EQUAL t1.Carrier String AND t0.UniqueCarrier String UNEQUAL t1.UniqueCarrier String,2,100000,89623,0,0.9997046107995099,0.7497046107995099
44,t0.OriginWac int LESS_EQUAL t1.OriginWac int AND t0.AirlineID int LESS t1.AirlineID int AND t0.FlightDate String EQUAL t1.FlightDate String,3,100000,0,-1,0.0,0.0
45,t0.OriginCityMarketID int EQUAL t1.OriginCityMarketID int AND t0.OriginState String UNEQUAL t1.OriginState String,2,100000,94152,0,0.899104797459267,0.649104797459267
46,t0.DayOfWeek int LESS t1.DayOfWeek int AND t0.OriginStateFips int EQUAL t1.OriginStateFips int AND t0.AirlineID int EQUAL t1.AirlineID int,3,100000,0,-1,0.0,0.0
47,t0.AirlineID int LESS t1.AirlineID int AND t0.OriginAirportSeqID int GREATER t1.OriginAirportSeqID int AND t0.OriginWac int EQUAL t1.OriginWac int,3,100000,0,-1,0.0,0.0
48,t0.OriginAirportSeqID int GREATER_EQUAL t1.OriginAirportSeqID int AND t0.Month int LESS t1.Month int,2,100000,0,-1,0.0,0.0
