-----airport-----
attribute,total_time,init_time,model_time,del_time,leakage,paths_blocked,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
latitude_deg,0.12862920761108398,0.04990506172180176,0.07335996627807617,0.0050928592681884766,0.0,120,15,120,17350,15
latitude_deg,0.06499314308166504,0.022188663482666016,0.0399169921875,0.002796173095703125,0.0,120,15,120,17350,15
latitude_deg,0.05623817443847656,0.017535924911499023,0.03645014762878418,0.0021638870239257812,0.0,120,15,120,17350,15
latitude_deg,0.0604860782623291,0.02199387550354004,0.03565382957458496,0.0027441978454589844,0.0,120,15,120,17350,15
latitude_deg,0.054499149322509766,0.01690816879272461,0.034809112548828125,0.002696990966796875,0.0,120,15,120,17350,15
latitude_deg,0.054097890853881836,0.016993045806884766,0.03502392768859863,0.002003192901611328,0.0,120,15,120,17350,15
latitude_deg,0.05449962615966797,0.016624927520751953,0.03481483459472656,0.0029821395874023438,0.0,120,15,120,17350,15
latitude_deg,0.05299496650695801,0.01494908332824707,0.035366058349609375,0.002608776092529297,0.0,120,15,120,17350,15
latitude_deg,0.054087162017822266,0.016979217529296875,0.03462505340576172,0.002403736114501953,0.0,120,15,120,17350,15
latitude_deg,0.05941605567932129,0.021828174591064453,0.03539586067199707,0.002117156982421875,0.0,120,15,120,17350,15
latitude_deg,0.05867290496826172,0.016536712646484375,0.03960919380187988,0.002452850341796875,0.0,120,15,120,17350,15
latitude_deg,0.05889010429382324,0.013093948364257812,0.039399147033691406,0.0063169002532958984,0.0,120,15,120,17350,15
latitude_deg,0.04995369911193848,0.012559652328491211,0.0352170467376709,0.0021011829376220703,0.0,120,15,120,17350,15
latitude_deg,0.05094766616821289,0.012084245681762695,0.035913944244384766,0.0028657913208007812,0.0,120,15,120,17350,15
latitude_deg,0.04926109313964844,0.012670278549194336,0.03427290916442871,0.002235889434814453,0.0,120,15,120,17350,15
latitude_deg,0.05087614059448242,0.013129949569702148,0.03457379341125488,0.0031032562255859375,0.0,120,15,120,17350,15
latitude_deg,0.04999709129333496,0.012293100357055664,0.0352168083190918,0.002404928207397461,0.0,120,15,120,17350,15
latitude_deg,0.050414085388183594,0.012525081634521484,0.03436589241027832,0.0034601688385009766,0.0,120,15,120,17350,15
latitude_deg,0.04925537109375,0.012445211410522461,0.03481769561767578,0.0019252300262451172,0.0,120,15,120,17350,15
latitude_deg,0.05052065849304199,0.012722969055175781,0.03411221504211426,0.0036225318908691406,0.0,120,15,120,17350,15
latitude_deg,0.05203890800476074,0.013093948364257812,0.03461503982543945,0.004257917404174805,0.0,120,15,120,17350,15
latitude_deg,0.04861593246459961,0.01213383674621582,0.03439688682556152,0.002017498016357422,0.0,120,15,120,17350,15
latitude_deg,0.050820112228393555,0.012212991714477539,0.034622907638549805,0.0039212703704833984,0.0,120,15,120,17350,15
latitude_deg,0.05208611488342285,0.012357234954833984,0.03584694862365723,0.0037980079650878906,0.0,120,15,120,17350,15
latitude_deg,0.05162811279296875,0.012122154235839844,0.03433990478515625,0.0051021575927734375,0.0,120,15,120,17350,15
latitude_deg,0.04876399040222168,0.012079000473022461,0.03452897071838379,0.002095937728881836,0.0,120,15,120,17350,15
latitude_deg,0.048419952392578125,0.011981964111328125,0.034423112869262695,0.001950979232788086,0.0,120,15,120,17350,15
latitude_deg,0.04876995086669922,0.012401103973388672,0.03429293632507324,0.0020160675048828125,0.0,120,15,120,17350,15
latitude_deg,0.052366018295288086,0.012259960174560547,0.03516507148742676,0.004860877990722656,0.0,120,15,120,17350,15
latitude_deg,0.050087928771972656,0.012996196746826172,0.03507590293884277,0.0019409656524658203,0.0,120,15,120,17350,15
