-----airport-----
target_attribute,total_time,init_time,model_time,del_time,leakage,utility,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
latitude_deg,0.26505517959594727,0.00017499923706054688,0.25957202911376953,0.0053081512451171875,0.9999999999934464,-3.499999999993446,5,24,17157680,14
latitude_deg,0.23514199256896973,6.699562072753906e-05,0.22817397117614746,0.0069010257720947266,0.9999999991808,-3.9999999991808,6,24,17157680,14
latitude_deg,0.23957014083862305,6.604194641113281e-05,0.23198795318603516,0.007516145706176758,0.9999998976,-4.4999998976,7,24,17157680,14
latitude_deg,0.2345292568206787,6.604194641113281e-05,0.23040509223937988,0.004058122634887695,0.999999995904,-3.499999995904,5,24,17157680,14
latitude_deg,0.2332441806793213,6.699562072753906e-05,0.22801923751831055,0.005157947540283203,0.96,-4.46,7,24,17157680,14
latitude_deg,0.23632597923278809,7.390975952148438e-05,0.2301781177520752,0.006073951721191406,0.8,-4.8,8,24,17157680,14
latitude_deg,0.2340681552886963,6.699562072753906e-05,0.23077011108398438,0.003231048583984375,0.9999999999934464,-3.499999999993446,5,24,17157680,14
latitude_deg,0.23772668838500977,6.890296936035156e-05,0.2316129207611084,0.006044864654541016,0.99999999983616,-3.49999999983616,5,24,17157680,14
latitude_deg,0.2472209930419922,6.890296936035156e-05,0.24030494689941406,0.0068471431732177734,0.8,-5.3,9,24,17157680,14
latitude_deg,0.23626303672790527,6.604194641113281e-05,0.23030686378479004,0.0058901309967041016,0.9999998976,-4.4999998976,7,24,17157680,14
latitude_deg,0.2343430519104004,6.175041198730469e-05,0.22820305824279785,0.006078243255615234,0.999999999967232,-3.499999999967232,5,24,17157680,14
latitude_deg,0.23529911041259766,6.29425048828125e-05,0.22910213470458984,0.006134033203125,0.992,-5.492,9,24,17157680,14
latitude_deg,0.23385882377624512,6.580352783203125e-05,0.22815632820129395,0.005636692047119141,0.999999999967232,-3.499999999967232,5,24,17157680,14
latitude_deg,0.23456215858459473,7.390975952148438e-05,0.22885823249816895,0.005630016326904297,0.9999999991808,-3.4999999991808,5,24,17157680,14
latitude_deg,0.23757600784301758,7.200241088867188e-05,0.23245906829833984,0.0050449371337890625,0.9999999991808,-3.9999999991808,6,24,17157680,14
latitude_deg,0.24237895011901855,6.604194641113281e-05,0.2369520664215088,0.005360841751098633,0.999999999967232,-3.999999999967232,6,24,17157680,14
latitude_deg,0.2326209545135498,7.200241088867188e-05,0.22641301155090332,0.0061359405517578125,0.96,-4.96,8,24,17157680,14
latitude_deg,0.23634028434753418,6.699562072753906e-05,0.23000192642211914,0.0062713623046875,0.999999995904,-3.499999995904,5,24,17157680,14
latitude_deg,0.23653626441955566,7.009506225585938e-05,0.22982215881347656,0.006644010543823242,0.8,-5.3,9,24,17157680,14
latitude_deg,0.23709368705749512,6.914138793945312e-05,0.23096776008605957,0.006056785583496094,0.999999999967232,-3.499999999967232,5,24,17157680,14
latitude_deg,0.2332289218902588,7.295608520507812e-05,0.22704410552978516,0.006111860275268555,0.992,-5.492,9,24,17157680,14
latitude_deg,0.23437118530273438,6.699562072753906e-05,0.22849011421203613,0.005814075469970703,0.9984,-4.9984,8,24,17157680,14
latitude_deg,0.23534703254699707,6.198883056640625e-05,0.22986793518066406,0.0054171085357666016,0.9984,-3.4984,5,24,17157680,14
latitude_deg,0.2423408031463623,5.793571472167969e-05,0.2340099811553955,0.008272886276245117,0.992,-5.492,9,24,17157680,14
latitude_deg,0.23576807975769043,6.508827209472656e-05,0.22871685028076172,0.006986141204833984,0.99999744,-3.49999744,5,24,17157680,14
latitude_deg,0.24142718315124512,6.723403930664062e-05,0.23592090606689453,0.005439043045043945,0.9999999991808,-3.4999999991808,5,24,17157680,14
latitude_deg,0.23901653289794922,6.771087646484375e-05,0.23202109336853027,0.0069277286529541016,0.99999744,-5.49999744,9,24,17157680,14
latitude_deg,0.23551201820373535,7.343292236328125e-05,0.22968173027038574,0.005756855010986328,0.9999999991808,-3.4999999991808,5,24,17157680,14
latitude_deg,0.23581385612487793,6.389617919921875e-05,0.2301490306854248,0.005600929260253906,0.999999999967232,-2.999999999967232,4,24,17157680,14
latitude_deg,0.23575901985168457,6.29425048828125e-05,0.22881507873535156,0.006880998611450195,0.992,-4.992,8,24,17157680,14
latitude_deg,0.23545122146606445,6.4849853515625e-05,0.22850322723388672,0.006883144378662109,0.992,-4.992,8,24,17157680,14
latitude_deg,0.2360217571258545,6.389617919921875e-05,0.23043584823608398,0.005522012710571289,0.9999999999999996,-1.9999999999999996,2,24,17157680,14
latitude_deg,0.2347571849822998,6.389617919921875e-05,0.22829818725585938,0.006395101547241211,0.99999744,-4.49999744,7,24,17157680,14
