-----airport-----
attribute,total_time,init_time,model_time,del_time,leakage,paths_blocked,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
latitude_deg,0.13899803161621094,0.052809953689575195,0.0803370475769043,0.005354881286621094,0.0,120,15,120,17350,15
latitude_deg,0.08045792579650879,0.020574092864990234,0.05655980110168457,0.003206014633178711,0.0,120,15,120,17350,15
latitude_deg,0.07648801803588867,0.018375158309936523,0.05511283874511719,0.002880096435546875,0.0,120,15,120,17350,15
latitude_deg,0.07664799690246582,0.018537044525146484,0.054968833923339844,0.0030312538146972656,0.0,120,15,120,17350,15
latitude_deg,0.07605910301208496,0.017679214477539062,0.05521392822265625,0.0030579566955566406,0.0,120,15,120,17350,15
latitude_deg,0.07687497138977051,0.018898725509643555,0.05481314659118652,0.003064870834350586,0.0,120,15,120,17350,15
latitude_deg,0.07706403732299805,0.01890707015991211,0.05509495735168457,0.002969026565551758,0.0,120,15,120,17350,15
latitude_deg,0.07703304290771484,0.01897287368774414,0.054968833923339844,0.0029811859130859375,0.0,120,15,120,17350,15
latitude_deg,0.07739090919494629,0.018712759017944336,0.0556950569152832,0.002866983413696289,0.0,120,15,120,17350,15
latitude_deg,0.07895708084106445,0.02168416976928711,0.054393768310546875,0.002791166305541992,0.0,120,15,120,17350,15
latitude_deg,0.07674598693847656,0.017906904220581055,0.055325984954833984,0.0033931732177734375,0.0,120,15,120,17350,15
latitude_deg,0.0754697322845459,0.018545866012573242,0.054094791412353516,0.0027320384979248047,0.0,120,15,120,17350,15
latitude_deg,0.07607197761535645,0.018131017684936523,0.054821014404296875,0.0029990673065185547,0.0,120,15,120,17350,15
latitude_deg,0.07514786720275879,0.01786971092224121,0.05426812171936035,0.0028901100158691406,0.0,120,15,120,17350,15
latitude_deg,0.07617998123168945,0.01847672462463379,0.05469989776611328,0.0028922557830810547,0.0,120,15,120,17350,15
latitude_deg,0.07554101943969727,0.018287181854248047,0.054360151290893555,0.002794981002807617,0.0,120,15,120,17350,15
latitude_deg,0.07500004768371582,0.01795792579650879,0.054154157638549805,0.0027899742126464844,0.0,120,15,120,17350,15
latitude_deg,0.07493996620178223,0.01781487464904785,0.05358123779296875,0.003454923629760742,0.0,120,15,120,17350,15
latitude_deg,0.0758059024810791,0.0179290771484375,0.05440115928649902,0.003386974334716797,0.0,120,15,120,17350,15
latitude_deg,0.0745079517364502,0.01777195930480957,0.0538177490234375,0.0028312206268310547,0.0,120,15,120,17350,15
latitude_deg,0.07643604278564453,0.017696857452392578,0.055676937103271484,0.0029582977294921875,0.0,120,15,120,17350,15
latitude_deg,0.07515287399291992,0.018166065216064453,0.05412697792053223,0.0027709007263183594,0.0,120,15,120,17350,15
latitude_deg,0.07561087608337402,0.01789379119873047,0.054780006408691406,0.002830028533935547,0.0,120,15,120,17350,15
latitude_deg,0.07517886161804199,0.01795196533203125,0.054352760314941406,0.002779245376586914,0.0,120,15,120,17350,15
latitude_deg,0.07454228401184082,0.01795673370361328,0.05387592315673828,0.0026161670684814453,0.0,120,15,120,17350,15
latitude_deg,0.07550263404846191,0.017880678176879883,0.054986000061035156,0.0025501251220703125,0.0,120,15,120,17350,15
latitude_deg,0.0763547420501709,0.018013954162597656,0.05483698844909668,0.003401041030883789,0.0,120,15,120,17350,15
latitude_deg,0.07460188865661621,0.0175628662109375,0.054099082946777344,0.002844095230102539,0.0,120,15,120,17350,15
latitude_deg,0.07721090316772461,0.01828789710998535,0.05607104301452637,0.002752065658569336,0.0,120,15,120,17350,15
latitude_deg,0.07706999778747559,0.018062829971313477,0.05584120750427246,0.003065824508666992,0.0,120,15,120,17350,15
latitude_deg,0.07846283912658691,0.01889777183532715,0.05556511878967285,0.003904104232788086,0.0,120,15,120,17350,15
latitude_deg,0.07716608047485352,0.01831817626953125,0.05515694618225098,0.0035948753356933594,0.0,120,15,120,17350,15
latitude_deg,0.07897806167602539,0.01817798614501953,0.05768895149230957,0.00298309326171875,0.0,120,15,120,17350,15
latitude_deg,0.07645177841186523,0.0188901424407959,0.05483508110046387,0.002622842788696289,0.0,120,15,120,17350,15
latitude_deg,0.08475685119628906,0.017200946807861328,0.05217099189758301,0.015260934829711914,0.0,120,15,120,17350,15
latitude_deg,0.07912778854370117,0.018696308135986328,0.05668926239013672,0.003626585006713867,0.0,120,15,120,17350,15
latitude_deg,0.07618188858032227,0.01804518699645996,0.05443286895751953,0.0036079883575439453,0.0,120,15,120,17350,15
latitude_deg,0.07556724548339844,0.017766952514648438,0.05509686470031738,0.002601146697998047,0.0,120,15,120,17350,15
latitude_deg,0.0758061408996582,0.01801609992980957,0.054193973541259766,0.003507852554321289,0.0,120,15,120,17350,15
latitude_deg,0.07547783851623535,0.0182950496673584,0.05442929267883301,0.0026657581329345703,0.0,120,15,120,17350,15
latitude_deg,0.07584190368652344,0.018393754959106445,0.05449414253234863,0.002866983413696289,0.0,120,15,120,17350,15
latitude_deg,0.07639598846435547,0.017117977142333984,0.056520938873291016,0.0026459693908691406,0.0,120,15,120,17350,15
latitude_deg,0.07944512367248535,0.018674850463867188,0.05698084831237793,0.0036683082580566406,0.0,120,15,120,17350,15
latitude_deg,0.0773167610168457,0.018499135971069336,0.05560803413391113,0.0030930042266845703,0.0,120,15,120,17350,15
latitude_deg,0.07494497299194336,0.017806053161621094,0.05404496192932129,0.0029900074005126953,0.0,120,15,120,17350,15
latitude_deg,0.075408935546875,0.01796412467956543,0.05451226234436035,0.0028417110443115234,0.0,120,15,120,17350,15
