-----airport-----
attribute,time,dependencies,cells,depth,space_overhead(B)
latitude_deg,0.9621810913085938,40,15,1,7887
latitude_deg,0.948559045791626,40,15,1,7887
latitude_deg,0.9448232650756836,40,15,1,7887
latitude_deg,0.9662277698516846,40,15,1,7887
latitude_deg,0.9657242298126221,40,15,1,7887
latitude_deg,0.9575021266937256,40,15,1,7887
latitude_deg,0.9479572772979736,40,15,1,7887
latitude_deg,0.9603650569915771,40,15,1,7887
latitude_deg,0.9513931274414062,40,15,1,7887
latitude_deg,0.947655200958252,40,15,1,7887
latitude_deg,0.9504909515380859,40,15,1,7887
latitude_deg,0.9526200294494629,40,15,1,7887
latitude_deg,0.9536459445953369,40,15,1,7887
latitude_deg,0.9617581367492676,40,15,1,7887
latitude_deg,0.9626538753509521,40,15,1,7887
latitude_deg,0.9744620323181152,40,15,1,7887
latitude_deg,0.962054967880249,40,15,1,7887
latitude_deg,0.956538200378418,40,15,1,7887
latitude_deg,0.9480040073394775,40,15,1,7887
latitude_deg,0.9484877586364746,40,15,1,7887
latitude_deg,0.9476070404052734,40,15,1,7887
latitude_deg,0.9554610252380371,40,15,1,7887
latitude_deg,0.9518458843231201,40,15,1,7887
latitude_deg,0.9466822147369385,40,15,1,7887
latitude_deg,0.9493520259857178,40,15,1,7887
latitude_deg,0.9713120460510254,40,15,1,7887
latitude_deg,0.9596831798553467,40,15,1,7887
latitude_deg,0.9564001560211182,40,15,1,7887
latitude_deg,0.9596328735351562,40,15,1,7887
latitude_deg,0.9425759315490723,40,15,1,7887
latitude_deg,0.9595546722412109,40,15,1,7887
latitude_deg,0.9557428359985352,40,15,1,7887
latitude_deg,0.9684610366821289,40,15,1,7887
latitude_deg,0.9480788707733154,40,15,1,7887
latitude_deg,0.9547948837280273,40,15,1,7887
latitude_deg,0.9546031951904297,40,15,1,7887
latitude_deg,0.9741158485412598,40,15,1,7887
latitude_deg,0.9742579460144043,40,15,1,7887
latitude_deg,0.9727182388305664,40,15,1,7887
latitude_deg,0.9715919494628906,40,15,1,7887
latitude_deg,0.9603290557861328,40,15,1,7887
latitude_deg,0.9548227787017822,40,15,1,7887
latitude_deg,0.9780209064483643,40,15,1,7887
latitude_deg,0.9587240219116211,40,15,1,7887
latitude_deg,0.9609761238098145,40,15,1,7887
latitude_deg,0.965831995010376,40,15,1,7887
latitude_deg,0.9558608531951904,40,15,1,7887
latitude_deg,0.9574971199035645,40,15,1,7887
latitude_deg,0.9648399353027344,40,15,1,7887
latitude_deg,0.973120927810669,40,15,1,7887
latitude_deg,0.9713079929351807,40,15,1,7887
latitude_deg,0.9664089679718018,40,15,1,7887
latitude_deg,0.9539258480072021,40,15,1,7887
latitude_deg,0.9571959972381592,40,15,1,7887
latitude_deg,0.9586501121520996,40,15,1,7887
latitude_deg,0.9657511711120605,40,15,1,7887
latitude_deg,0.9611911773681641,40,15,1,7887
latitude_deg,0.962465763092041,40,15,1,7887
latitude_deg,0.9590451717376709,40,15,1,7887
latitude_deg,0.9680700302124023,40,15,1,7887
latitude_deg,0.971264123916626,40,15,1,7887
latitude_deg,0.9697360992431641,40,15,1,7887
latitude_deg,0.964590311050415,40,15,1,7887
latitude_deg,0.9665570259094238,40,15,1,7887
latitude_deg,0.9739830493927002,40,15,1,7887
latitude_deg,0.950901985168457,40,15,1,7887
latitude_deg,0.9763412475585938,40,15,1,7887
latitude_deg,0.9627470970153809,40,15,1,7887
latitude_deg,0.9699380397796631,40,15,1,7887
latitude_deg,0.9688026905059814,40,15,1,7887
latitude_deg,0.9631030559539795,40,15,1,7887
latitude_deg,0.9546561241149902,40,15,1,7887
latitude_deg,0.9616751670837402,40,15,1,7887
latitude_deg,0.972754955291748,40,15,1,7887
latitude_deg,0.9796149730682373,40,15,1,7887
latitude_deg,0.9702541828155518,40,15,1,7887
latitude_deg,0.9759237766265869,40,15,1,7887
latitude_deg,0.974066972732544,40,15,1,7887
latitude_deg,0.9547221660614014,40,15,1,7887
latitude_deg,0.9608159065246582,40,15,1,7887
