-----airport-----
attribute,total_time,num_constraints,cells_deleted,memory_bytes,init_time,model_time,del_time
latitude_deg,0.038667917251586914,40,15,502,1,0.034661054611206055,0.0001010894775390625,0.0025479793548583984
latitude_deg,0.025166034698486328,40,15,502,1,0.022069931030273438,8.702278137207031e-05,0.0020852088928222656
latitude_deg,0.02132892608642578,40,15,502,1,0.018505096435546875,0.00010180473327636719,0.0018601417541503906
latitude_deg,0.0211489200592041,40,15,502,1,0.018353700637817383,8.916854858398438e-05,0.001795053482055664
latitude_deg,0.021795034408569336,40,15,502,1,0.017911911010742188,7.700920104980469e-05,0.0027992725372314453
latitude_deg,0.02057790756225586,40,15,502,1,0.017676115036010742,7.867813110351562e-05,0.0019588470458984375
latitude_deg,0.02199411392211914,40,15,502,1,0.019031047821044922,0.00010585784912109375,0.0019631385803222656
latitude_deg,0.02501082420349121,40,15,502,1,0.022012948989868164,8.988380432128906e-05,0.0019829273223876953
latitude_deg,0.01972198486328125,40,15,502,1,0.01709294319152832,7.677078247070312e-05,0.001722097396850586
latitude_deg,0.020439624786376953,40,15,502,1,0.017537832260131836,9.703636169433594e-05,0.001898050308227539
latitude_deg,0.020127058029174805,40,15,502,1,0.017220258712768555,8.296966552734375e-05,0.0019409656524658203
latitude_deg,0.019865989685058594,40,15,502,1,0.01714611053466797,7.891654968261719e-05,0.0017821788787841797
latitude_deg,0.019783973693847656,40,15,502,1,0.01706099510192871,7.295608520507812e-05,0.0017542839050292969
latitude_deg,0.019896984100341797,40,15,502,1,0.01713418960571289,7.772445678710938e-05,0.0018208026885986328
latitude_deg,0.02104020118713379,40,15,502,1,0.018085956573486328,8.606910705566406e-05,0.002050161361694336
latitude_deg,0.021054983139038086,40,15,502,1,0.01818990707397461,8.487701416015625e-05,0.0018851757049560547
latitude_deg,0.01970982551574707,40,15,502,1,0.016850948333740234,8.106231689453125e-05,0.0018420219421386719
latitude_deg,0.020772218704223633,40,15,502,1,0.017882108688354492,8.177757263183594e-05,0.0019447803497314453
latitude_deg,0.020171165466308594,40,15,502,1,0.017210721969604492,9.131431579589844e-05,0.0020339488983154297
latitude_deg,0.020368099212646484,40,15,502,1,0.0176849365234375,8.20159912109375e-05,0.0017499923706054688
latitude_deg,0.020529985427856445,40,15,502,1,0.017667055130004883,8.797645568847656e-05,0.0018961429595947266
latitude_deg,0.02006387710571289,40,15,502,1,0.017320871353149414,8.0108642578125e-05,0.0018260478973388672
latitude_deg,0.019996166229248047,40,15,502,1,0.017152070999145508,8.606910705566406e-05,0.0018880367279052734
latitude_deg,0.020656108856201172,40,15,502,1,0.017916202545166016,8.893013000488281e-05,0.0017931461334228516
latitude_deg,0.020691871643066406,40,15,502,1,0.017668724060058594,0.00010514259338378906,0.0018742084503173828
latitude_deg,0.019700288772583008,40,15,502,1,0.016750097274780273,9.393692016601562e-05,0.0020449161529541016
latitude_deg,0.02095198631286621,40,15,502,1,0.01832723617553711,8.082389831542969e-05,0.001725912094116211
latitude_deg,0.02097010612487793,40,15,502,1,0.018017053604125977,9.298324584960938e-05,0.0019829273223876953
latitude_deg,0.02103900909423828,40,15,502,1,0.018049001693725586,8.296966552734375e-05,0.001981973648071289
latitude_deg,0.01925516128540039,40,15,502,1,0.01636981964111328,8.702278137207031e-05,0.0018880367279052734
latitude_deg,0.02045297622680664,40,15,502,1,0.01779317855834961,8.20159912109375e-05,0.0017452239990234375
latitude_deg,0.021603107452392578,40,15,502,1,0.018607139587402344,8.96453857421875e-05,0.002076864242553711
latitude_deg,0.01981210708618164,40,15,502,1,0.017199039459228516,9.989738464355469e-05,0.0016970634460449219
latitude_deg,0.020452022552490234,40,15,502,1,0.017455101013183594,8.821487426757812e-05,0.001992940902709961
latitude_deg,0.019717931747436523,40,15,502,1,0.017080068588256836,8.20159912109375e-05,0.001722097396850586
latitude_deg,0.018991708755493164,40,15,502,1,0.016249895095825195,7.891654968261719e-05,0.0018491744995117188
latitude_deg,0.021469831466674805,40,15,502,1,0.01865386962890625,8.797645568847656e-05,0.0018749237060546875
latitude_deg,0.02067732810974121,40,15,502,1,0.017838001251220703,8.511543273925781e-05,0.0018949508666992188
latitude_deg,0.019820690155029297,40,15,502,1,0.017021894454956055,9.799003601074219e-05,0.001809835433959961
latitude_deg,0.020119905471801758,40,15,502,1,0.017183303833007812,0.0001628398895263672,0.0019299983978271484
