-----airport-----
target_attribute,total_time,init_time,model_time,del_time,leakage,utility,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
latitude_deg,0.16106486320495605,0.00012493133544921875,0.15732717514038086,0.0036127567291259766,0.0,-3.5,7,24,17157680,14
latitude_deg,0.1618177890777588,0.0001049041748046875,0.15659403800964355,0.005118846893310547,0.0,-2.5,5,24,17157680,14
latitude_deg,0.15471196174621582,0.00011205673217773438,0.15063190460205078,0.003968000411987305,0.0,-2.0,4,24,17157680,14
latitude_deg,0.15632414817810059,0.00010704994201660156,0.1522541046142578,0.003962993621826172,0.0,-2.0,4,24,17157680,14
latitude_deg,0.15556907653808594,0.00010395050048828125,0.14947295188903809,0.00599217414855957,0.0,-2.5,5,24,17157680,14
latitude_deg,0.1539781093597412,0.00011181831359863281,0.14943623542785645,0.004430055618286133,0.0,-2.5,5,24,17157680,14
latitude_deg,0.1585226058959961,0.00011181831359863281,0.1532149314880371,0.0051958560943603516,0.0,-3.0,6,24,17157680,14
latitude_deg,0.15562033653259277,0.00010514259338378906,0.15079808235168457,0.004717111587524414,0.0,-3.0,6,24,17157680,14
latitude_deg,0.15395379066467285,0.00011420249938964844,0.14650487899780273,0.007334709167480469,0.0,-5.0,10,24,17157680,14
latitude_deg,0.15121102333068848,0.00010800361633300781,0.1471691131591797,0.003933906555175781,0.0,-2.0,4,24,17157680,14
latitude_deg,0.15750885009765625,0.000102996826171875,0.15151596069335938,0.005889892578125,0.0,-2.0,4,24,17157680,14
latitude_deg,0.16694879531860352,0.00011205673217773438,0.1604616641998291,0.00637507438659668,0.0,-4.5,9,24,17157680,14
latitude_deg,0.15605998039245605,0.000102996826171875,0.14737582206726074,0.008581161499023438,0.0,-5.5,11,24,17157680,14
latitude_deg,0.1510910987854004,0.000102996826171875,0.1445920467376709,0.006396055221557617,0.0,-2.5,5,24,17157680,14
latitude_deg,0.14757609367370605,9.799003601074219e-05,0.13959503173828125,0.007883071899414062,0.0,-4.0,8,24,17157680,14
latitude_deg,0.15241599082946777,9.870529174804688e-05,0.146895170211792,0.005422115325927734,0.0,-2.5,5,24,17157680,14
latitude_deg,0.1488027572631836,9.584426879882812e-05,0.14200901985168457,0.006697893142700195,0.0,-4.0,8,24,17157680,14
latitude_deg,0.1554713249206543,0.00013518333435058594,0.1501162052154541,0.005219936370849609,0.0,-3.5,7,24,17157680,14
latitude_deg,0.14687204360961914,9.799003601074219e-05,0.14284205436706543,0.003931999206542969,0.0,-2.5,5,24,17157680,14
latitude_deg,0.1524970531463623,0.00011897087097167969,0.14503097534179688,0.00734710693359375,0.0,-3.5,7,24,17157680,14
latitude_deg,0.15348386764526367,9.894371032714844e-05,0.1472148895263672,0.006170034408569336,0.0,-3.5,7,24,17157680,14
latitude_deg,0.15569281578063965,9.894371032714844e-05,0.14917612075805664,0.006417751312255859,0.0,-4.0,8,24,17157680,14
latitude_deg,0.15030956268310547,9.608268737792969e-05,0.14381170272827148,0.006401777267456055,0.0,-2.0,4,24,17157680,14
latitude_deg,0.1513080596923828,0.00010013580322265625,0.1469099521636963,0.004297971725463867,0.0,-3.5,7,24,17157680,14
latitude_deg,0.15084409713745117,0.0001163482666015625,0.14464783668518066,0.006079912185668945,0.0,-3.5,7,24,17157680,14
latitude_deg,0.15166068077087402,0.00010132789611816406,0.14621376991271973,0.005345582962036133,0.0,-4.5,9,24,17157680,14
latitude_deg,0.14955592155456543,9.608268737792969e-05,0.14467406272888184,0.004785776138305664,0.0,-4.0,8,24,17157680,14
latitude_deg,0.1658492088317871,0.00011920928955078125,0.1599118709564209,0.00581812858581543,0.0,-3.0,6,24,17157680,14
latitude_deg,0.15369224548339844,9.918212890625e-05,0.14806294441223145,0.005530118942260742,0.0,-2.5,5,24,17157680,14
latitude_deg,0.15154790878295898,9.703636169433594e-05,0.1452498435974121,0.006201028823852539,0.0,-2.5,5,24,17157680,14
latitude_deg,0.1490030288696289,9.775161743164062e-05,0.14342236518859863,0.005482912063598633,0.0,-3.5,7,24,17157680,14
latitude_deg,0.1584618091583252,0.00010085105895996094,0.15062499046325684,0.0077359676361083984,0.0,-3.0,6,24,17157680,14
latitude_deg,0.1552741527557373,9.703636169433594e-05,0.1469590663909912,0.008218050003051758,0.0,-4.0,8,24,17157680,14
latitude_deg,0.15163397789001465,9.799003601074219e-05,0.1458890438079834,0.005646944046020508,0.0,-3.5,7,24,17157680,14
latitude_deg,0.14690613746643066,9.703636169433594e-05,0.1411149501800537,0.005694150924682617,0.0,-2.0,4,24,17157680,14
latitude_deg,0.15087509155273438,9.799003601074219e-05,0.14616608619689941,0.004611015319824219,0.0,-3.0,6,24,17157680,14
latitude_deg,0.16249465942382812,0.00011110305786132812,0.15392470359802246,0.008458852767944336,0.0,-2.0,4,24,17157680,14
latitude_deg,0.14989376068115234,0.00010180473327636719,0.14342689514160156,0.006365060806274414,0.0,-3.5,7,24,17157680,14
latitude_deg,0.14869308471679688,0.00010895729064941406,0.14281892776489258,0.005765199661254883,0.0,-5.0,10,24,17157680,14
latitude_deg,0.1486063003540039,0.00010514259338378906,0.14231586456298828,0.006185293197631836,0.0,-4.5,9,24,17157680,14
latitude_deg,0.14656352996826172,9.679794311523438e-05,0.14049100875854492,0.0059757232666015625,0.0,-3.0,6,24,17157680,14
latitude_deg,0.1480271816253662,9.894371032714844e-05,0.14445710182189941,0.0034711360931396484,0.0,-1.5,3,24,17157680,14
latitude_deg,0.15556979179382324,0.00010180473327636719,0.15080499649047852,0.004662990570068359,0.0,-3.0,6,24,17157680,14
latitude_deg,0.15414643287658691,9.918212890625e-05,0.14927983283996582,0.004767417907714844,0.0,-4.5,9,24,17157680,14
latitude_deg,0.16879796981811523,9.822845458984375e-05,0.16296172142028809,0.005738019943237305,0.0,-4.5,9,24,17157680,14
latitude_deg,0.14879965782165527,0.00010180473327636719,0.14167404174804688,0.007023811340332031,0.0,-4.0,8,24,17157680,14
latitude_deg,0.14850687980651855,0.00010704994201660156,0.14365696907043457,0.004742860794067383,0.0,-3.5,7,24,17157680,14
latitude_deg,0.1524677276611328,0.00010585784912109375,0.14615201950073242,0.006209850311279297,0.0,-3.5,7,24,17157680,14
latitude_deg,0.1518568992614746,0.00010991096496582031,0.14658713340759277,0.005159854888916016,0.0,-2.5,5,24,17157680,14
latitude_deg,0.14824795722961426,0.00010323524475097656,0.14139580726623535,0.00674891471862793,0.0,-2.0,4,24,17157680,14
latitude_deg,0.1470329761505127,9.989738464355469e-05,0.14256811141967773,0.004364967346191406,0.0,-0.0,0,24,17157680,14
latitude_deg,0.1491539478302002,0.00010275840759277344,0.14411211013793945,0.004939079284667969,0.0,-2.5,5,24,17157680,14
latitude_deg,0.1492760181427002,0.0001010894775390625,0.143812894821167,0.005362033843994141,0.0,-1.5,3,24,17157680,14
latitude_deg,0.14905786514282227,0.00010204315185546875,0.14352989196777344,0.005425930023193359,0.0,-4.5,9,24,17157680,14
latitude_deg,0.15287399291992188,9.918212890625e-05,0.14836502075195312,0.0044097900390625,0.0,-2.5,5,24,17157680,14
latitude_deg,0.15377306938171387,0.00013494491577148438,0.14815497398376465,0.005483150482177734,0.0,-2.0,4,24,17157680,14
latitude_deg,0.15027523040771484,0.00011301040649414062,0.14383506774902344,0.006327152252197266,0.0,-2.5,5,24,17157680,14
latitude_deg,0.15227794647216797,0.00010395050048828125,0.14547014236450195,0.006703853607177734,0.0,-3.0,6,24,17157680,14
latitude_deg,0.14853525161743164,0.00010323524475097656,0.14346599578857422,0.004966020584106445,0.0,-2.5,5,24,17157680,14
latitude_deg,0.15152525901794434,0.00011396408081054688,0.14286303520202637,0.008548259735107422,0.0,-4.5,9,24,17157680,14
latitude_deg,0.16739702224731445,0.00010418891906738281,0.16207480430603027,0.005218029022216797,0.0,-3.0,6,24,17157680,14
