-----airport-----
attribute,total_time,init_time,model_time,del_time,leakage,paths_blocked,mask_size,num_paths,memory_overhead_bytes
latitude_deg,0.14061331748962402,0.03592967987060547,0.1013021469116211,0.0032167434692382812,0.0,24,15,24,17350
latitude_deg,0.08397388458251953,0.02171802520751953,0.05895185470581055,0.0031702518463134766,0.0,24,15,24,17350
latitude_deg,0.07688498497009277,0.01887798309326172,0.05457115173339844,0.003320932388305664,0.0,24,15,24,17350
latitude_deg,0.07891201972961426,0.020661592483520508,0.05510902404785156,0.0030450820922851562,0.0,24,15,24,17350
latitude_deg,0.07700920104980469,0.019481182098388672,0.05384492874145508,0.0035970211029052734,0.0,24,15,24,17350
latitude_deg,0.07584691047668457,0.018017053604125977,0.05506110191345215,0.0026769638061523438,0.0,24,15,24,17350
latitude_deg,0.07603716850280762,0.018353939056396484,0.054757118225097656,0.002834796905517578,0.0,24,15,24,17350
latitude_deg,0.07481217384338379,0.018249988555908203,0.05359601974487305,0.0028688907623291016,0.0,24,15,24,17350
latitude_deg,0.07614898681640625,0.018547773361206055,0.05399799346923828,0.0035028457641601562,0.0,24,15,24,17350
latitude_deg,0.07635307312011719,0.018707990646362305,0.054683685302734375,0.0028603076934814453,0.0,24,15,24,17350
latitude_deg,0.07523012161254883,0.01841902732849121,0.053572893142700195,0.0031523704528808594,0.0,24,15,24,17350
latitude_deg,0.07512879371643066,0.01804518699645996,0.054492950439453125,0.002501964569091797,0.0,24,15,24,17350
latitude_deg,0.07605814933776855,0.018276691436767578,0.055116891860961914,0.0025653839111328125,0.0,24,15,24,17350
latitude_deg,0.07706594467163086,0.0178830623626709,0.055674076080322266,0.0034079551696777344,0.0,24,15,24,17350
latitude_deg,0.0769200325012207,0.017414093017578125,0.05668377876281738,0.0027120113372802734,0.0,24,15,24,17350
latitude_deg,0.07578706741333008,0.018095016479492188,0.05471682548522949,0.0028781890869140625,0.0,24,15,24,17350
latitude_deg,0.07477307319641113,0.017195940017700195,0.05474376678466797,0.002746105194091797,0.0,24,15,24,17350
latitude_deg,0.07494187355041504,0.01720404624938965,0.05428600311279297,0.003359079360961914,0.0,24,15,24,17350
latitude_deg,0.07541489601135254,0.01755499839782715,0.054982900619506836,0.0027620792388916016,0.0,24,15,24,17350
latitude_deg,0.07937121391296387,0.018208026885986328,0.05600881576538086,0.0050201416015625,0.0,24,15,24,17350
latitude_deg,0.07738065719604492,0.01906585693359375,0.055315256118774414,0.00289154052734375,0.0,24,15,24,17350
latitude_deg,0.07684826850891113,0.0179440975189209,0.0552828311920166,0.0035300254821777344,0.0,24,15,24,17350
latitude_deg,0.07789206504821777,0.018815994262695312,0.05587601661682129,0.0030901432037353516,0.0,24,15,24,17350
latitude_deg,0.07402968406677246,0.017337799072265625,0.053956031799316406,0.00263214111328125,0.0,24,15,24,17350
latitude_deg,0.07753992080688477,0.017958879470825195,0.05495405197143555,0.0045239925384521484,0.0,24,15,24,17350
latitude_deg,0.08095192909240723,0.018564224243164062,0.05825304985046387,0.004019975662231445,0.0,24,15,24,17350
latitude_deg,0.07840609550476074,0.019037961959838867,0.05636787414550781,0.0028662681579589844,0.0,24,15,24,17350
latitude_deg,0.07704901695251465,0.01947188377380371,0.05433225631713867,0.0031397342681884766,0.0,24,15,24,17350
latitude_deg,0.07760310173034668,0.018772125244140625,0.05566072463989258,0.0030412673950195312,0.0,24,15,24,17350
latitude_deg,0.07837796211242676,0.01891613006591797,0.05563020706176758,0.0037229061126708984,0.0,24,15,24,17350
latitude_deg,0.07678008079528809,0.018532991409301758,0.05511116981506348,0.0030317306518554688,0.0,24,15,24,17350
latitude_deg,0.0758662223815918,0.018225908279418945,0.05468130111694336,0.002869844436645508,0.0,24,15,24,17350
latitude_deg,0.07563018798828125,0.017846107482910156,0.055487871170043945,0.002196073532104492,0.0,24,15,24,17350
latitude_deg,0.0757148265838623,0.018082857131958008,0.05457711219787598,0.0029609203338623047,0.0,24,15,24,17350
latitude_deg,0.07814502716064453,0.018201112747192383,0.056266069412231445,0.0035648345947265625,0.0,24,15,24,17350
latitude_deg,0.07723402976989746,0.018269777297973633,0.05627608299255371,0.0025751590728759766,0.0,24,15,24,17350
latitude_deg,0.07556676864624023,0.01828789710998535,0.05431985855102539,0.002871274948120117,0.0,24,15,24,17350
latitude_deg,0.07510876655578613,0.018126726150512695,0.05438089370727539,0.002512216567993164,0.0,24,15,24,17350
latitude_deg,0.07610511779785156,0.018214941024780273,0.05496382713317871,0.0028269290924072266,0.0,24,15,24,17350
latitude_deg,0.07553601264953613,0.01798701286315918,0.05436110496520996,0.0030908584594726562,0.0,24,15,24,17350
latitude_deg,0.07535600662231445,0.01796698570251465,0.054505109786987305,0.002798795700073242,0.0,24,15,24,17350
latitude_deg,0.07538819313049316,0.01799917221069336,0.0546419620513916,0.002650022506713867,0.0,24,15,24,17350
latitude_deg,0.09385514259338379,0.017249107360839844,0.056143999099731445,0.020328044891357422,0.0,24,15,24,17350
latitude_deg,0.07728886604309082,0.018697023391723633,0.05556917190551758,0.0029168128967285156,0.0,24,15,24,17350
latitude_deg,0.07686519622802734,0.018993377685546875,0.05509305000305176,0.002664804458618164,0.0,24,15,24,17350
latitude_deg,0.07618308067321777,0.0183260440826416,0.055092811584472656,0.0026662349700927734,0.0,24,15,24,17350
