-----airport-----
attribute,total_time,num_explanations,cells_deleted,max_depth,memory_bytes,init_time,model_time,del_time
latitude_deg,0.12214231491088867,22,15,1,300,0.06368017196655273,0.020502567291259766,0.0015621185302734375
latitude_deg,0.07988905906677246,22,15,1,300,0.05614805221557617,0.0010449886322021484,0.0021669864654541016
latitude_deg,0.08187079429626465,22,15,1,300,0.057617902755737305,0.0009284019470214844,0.0020821094512939453
latitude_deg,0.0777430534362793,22,15,1,300,0.05349874496459961,0.0008790493011474609,0.0027222633361816406
latitude_deg,0.0835268497467041,22,15,1,300,0.06009483337402344,0.0009453296661376953,0.0018939971923828125
latitude_deg,0.07840704917907715,22,15,1,300,0.054563045501708984,0.0008749961853027344,0.0018458366394042969
latitude_deg,0.07982492446899414,22,15,1,300,0.05725908279418945,0.0008611679077148438,0.002597808837890625
latitude_deg,0.08066916465759277,22,15,1,300,0.057032108306884766,0.0010120868682861328,0.0021610260009765625
latitude_deg,0.07514071464538574,22,15,1,300,0.05308175086975098,0.0008471012115478516,0.0021750926971435547
latitude_deg,0.0827169418334961,22,15,1,300,0.05919623374938965,0.0008535385131835938,0.0024607181549072266
latitude_deg,0.07933497428894043,22,15,1,300,0.05556821823120117,0.0009176731109619141,0.0021262168884277344
latitude_deg,0.08032703399658203,22,15,1,300,0.05712413787841797,0.0009007453918457031,0.002534151077270508
latitude_deg,0.0835561752319336,22,15,1,300,0.05846118927001953,0.0008976459503173828,0.0018661022186279297
latitude_deg,0.07845783233642578,22,15,1,300,0.056549787521362305,0.00086212158203125,0.001631021499633789
latitude_deg,0.0827798843383789,22,15,1,300,0.05731201171875,0.0008740425109863281,0.002370119094848633
latitude_deg,0.07819294929504395,22,15,1,300,0.05347800254821777,0.001024007797241211,0.0038619041442871094
latitude_deg,0.08015608787536621,22,15,1,300,0.05520009994506836,0.0009899139404296875,0.0015749931335449219
latitude_deg,0.07800817489624023,22,15,1,300,0.05486631393432617,0.0009317398071289062,0.0019199848175048828
latitude_deg,0.0769357681274414,22,15,1,300,0.05373787879943848,0.0009658336639404297,0.0017330646514892578
latitude_deg,0.0789031982421875,22,15,1,300,0.054522037506103516,0.0008690357208251953,0.0029790401458740234
latitude_deg,0.07489395141601562,22,15,1,300,0.051332950592041016,0.0008912086486816406,0.0017609596252441406
latitude_deg,0.07879209518432617,22,15,1,300,0.05568194389343262,0.0008649826049804688,0.0017611980438232422
latitude_deg,0.0767202377319336,22,15,1,300,0.05378413200378418,0.0008718967437744141,0.0018379688262939453
latitude_deg,0.08379697799682617,22,15,1,300,0.058569908142089844,0.0009140968322753906,0.0020461082458496094
latitude_deg,0.07845711708068848,22,15,1,300,0.05523204803466797,0.0008871555328369141,0.0017819404602050781
latitude_deg,0.08135819435119629,22,15,1,300,0.05517411231994629,0.0010190010070800781,0.0022041797637939453
latitude_deg,0.07962417602539062,22,15,1,300,0.05646109580993652,0.0008759498596191406,0.0017879009246826172
latitude_deg,0.07597589492797852,22,15,1,300,0.05406999588012695,0.0008490085601806641,0.0016682147979736328
latitude_deg,0.07666397094726562,22,15,1,300,0.05358600616455078,0.0009799003601074219,0.0019390583038330078
latitude_deg,0.07616829872131348,22,15,1,300,0.05382490158081055,0.0008528232574462891,0.0016682147979736328
latitude_deg,0.07695794105529785,22,15,1,300,0.054934024810791016,0.0008568763732910156,0.0018229484558105469
latitude_deg,0.07749104499816895,22,15,1,300,0.05348992347717285,0.0008101463317871094,0.00208282470703125
latitude_deg,0.07709121704101562,22,15,1,300,0.05395984649658203,0.0008194446563720703,0.0019538402557373047
latitude_deg,0.07803893089294434,22,15,1,300,0.05472993850708008,0.0008027553558349609,0.0021927356719970703
latitude_deg,0.08308982849121094,22,15,1,300,0.05645608901977539,0.0008816719055175781,0.002582073211669922
latitude_deg,0.08200812339782715,22,15,1,300,0.05741596221923828,0.0010271072387695312,0.0025370121002197266
latitude_deg,0.08113574981689453,22,15,1,300,0.057254791259765625,0.0009200572967529297,0.002490997314453125
latitude_deg,0.0800938606262207,22,15,1,300,0.05631589889526367,0.0009319782257080078,0.0022192001342773438
latitude_deg,0.08260202407836914,22,15,1,300,0.05598807334899902,0.0008711814880371094,0.0019769668579101562
latitude_deg,0.07799100875854492,22,15,1,300,0.05470013618469238,0.0008697509765625,0.002092123031616211
latitude_deg,0.07556986808776855,22,15,1,300,0.053254127502441406,0.0008358955383300781,0.0018680095672607422
latitude_deg,0.07897496223449707,22,15,1,300,0.05527496337890625,0.0009253025054931641,0.002371072769165039
latitude_deg,0.07568478584289551,22,15,1,300,0.054038047790527344,0.000885009765625,0.0016813278198242188
latitude_deg,0.07625603675842285,22,15,1,300,0.05297589302062988,0.0008230209350585938,0.0018818378448486328
latitude_deg,0.07805609703063965,22,15,1,300,0.054817914962768555,0.0008821487426757812,0.0020749568939208984
latitude_deg,0.07639384269714355,22,15,1,300,0.05350518226623535,0.0008809566497802734,0.0021750926971435547
latitude_deg,0.07576704025268555,22,15,1,300,0.05348086357116699,0.0008211135864257812,0.001726388931274414
latitude_deg,0.07731199264526367,22,15,1,300,0.0544590950012207,0.0008580684661865234,0.002218008041381836
latitude_deg,0.07598018646240234,22,15,1,300,0.05313587188720703,0.0008449554443359375,0.0020089149475097656
latitude_deg,0.08221435546875,22,15,1,300,0.059040069580078125,0.0008978843688964844,0.0023908615112304688
latitude_deg,0.07984304428100586,22,15,1,300,0.05623435974121094,0.0009207725524902344,0.0017549991607666016
latitude_deg,0.07563185691833496,22,15,1,300,0.05283498764038086,0.0008118152618408203,0.002237081527709961
latitude_deg,0.07764911651611328,22,15,1,300,0.05459928512573242,0.0008907318115234375,0.0024728775024414062
latitude_deg,0.07722973823547363,22,15,1,300,0.053772687911987305,0.0008802413940429688,0.002552032470703125
latitude_deg,0.09190201759338379,22,15,1,300,0.06827235221862793,0.0008625984191894531,0.002206087112426758
latitude_deg,0.07813811302185059,22,15,1,300,0.05450320243835449,0.0008978843688964844,0.002104043960571289
latitude_deg,0.07759499549865723,22,15,1,300,0.05320620536804199,0.0008230209350585938,0.002713918685913086
latitude_deg,0.07755112648010254,22,15,1,300,0.05505990982055664,0.0008132457733154297,0.001661062240600586
