epsilon,leakage,utility,mask_sizeepsilon,leakage,utility,mask_size
1,1.0,-1.5,1
1,1.0,-3.5,3
1,1.0,-4.5,4
1,1.0,-3.5,3
1,1.0,-4.5,4
1,1.0,-2.5,2
1,1.0,-3.5,3
1,1.0,-7.5,7
1,1.0,-3.5,3
1,1.0,-5.5,5
1,1.0,-4.5,4
1,1.0,-4.5,4
1,1.0,-0.5,0
1,1.0,-3.5,3
1,1.0,-3.5,3
1,1.0,-3.5,3
1,1.0,-6.5,6
1,1.0,-6.5,6
1,1.0,-5.5,5
1,1.0,-5.5,5
1,1.0,-1.5,1
1,1.0,-7.5,7
1,1.0,-3.5,3
1,1.0,-1.5,1
1,1.0,-2.5,2
1,1.0,-3.5,3
1,1.0,-4.5,4
1,1.0,-6.5,6
1,1.0,-7.5,7
1,1.0,-1.5,1
1,1.0,-2.5,2
1,1.0,-4.5,4
1,1.0,-3.5,3
1,1.0,-5.5,5
1,1.0,-4.5,4
1,1.0,-6.5,6
1,1.0,-4.5,4
1,1.0,-5.5,5
1,1.0,-1.5,1
1,1.0,-3.5,3
1,1.0,-2.5,2
1,1.0,-5.5,5
1,1.0,-7.5,7
1,1.0,-1.5,1
1,1.0,-2.5,2
1,1.0,-2.5,2
1,1.0,-3.5,3
1,1.0,-5.5,5
1,1.0,-7.5,7
1,1.0,-1.5,1
1,1.0,-3.5,3
1,1.0,-2.5,2
1,1.0,-4.5,4
1,1.0,-1.5,1
1,1.0,-6.5,6
1,1.0,-3.5,3
1,1.0,-3.5,3
1,1.0,-3.5,3
1,1.0,-2.5,2
1,1.0,-2.5,2
1,1.0,-3.5,3
1,1.0,-6.5,6
1,1.0,-2.5,2
1,1.0,-5.5,5
1,1.0,-3.5,3
1,1.0,-2.5,2
1,1.0,-5.5,5
1,1.0,-5.5,5
1,1.0,-7.5,7
1,1.0,-4.5,4
1,1.0,-7.5,7
1,1.0,-2.5,2
1,1.0,-3.5,3
1,1.0,-2.5,2
1,1.0,-3.5,3
1,1.0,-3.5,3
1,1.0,-8.5,8
1,1.0,-2.5,2
1,1.0,-4.5,4
1,1.0,-6.5,6
1,1.0,-3.5,3
1,1.0,-2.5,2
1,1.0,-3.5,3
1,1.0,-4.5,4
1,0.0,-6.0,6
1,1.0,-2.5,2
1,1.0,-4.5,4
1,1.0,-4.5,4
1,1.0,-8.5,8
1,1.0,-9.5,9
1,1.0,-6.5,6
1,1.0,-3.5,3
1,1.0,-4.5,4
1,1.0,-4.5,4
1,0.0,-6.0,6
1,1.0,-2.5,2
1,1.0,-4.5,4
1,1.0,-2.5,2
1,1.0,-2.5,2
1,1.0,-1.5,1
1,1.0,-3.5,3
1,1.0,-1.5,1
1,1.0,-3.5,3
1,1.0,-3.5,3
1,1.0,-3.5,3
1,1.0,-1.5,1
1,1.0,-4.5,4
1,1.0,-2.5,2
1,1.0,-4.5,4
1,1.0,-5.5,5
1,1.0,-1.5,1
1,1.0,-6.5,6
1,1.0,-3.5,3
1,1.0,-5.5,5
1,1.0,-3.5,3
1,1.0,-5.5,5
1,1.0,-2.5,2
1,1.0,-2.5,2
1,1.0,-3.5,3
