-----airport-----
attribute,total_time,init_time,model_time,del_time,leakage,utility,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
latitude_deg,0.11966300010681152,0.03575396537780762,0.08089900016784668,0.0026788711547851562,0.0,-7.5,15,200012,17350,15
latitude_deg,0.05277109146118164,0.013175249099731445,0.03764986991882324,0.0018610954284667969,0.0,-7.5,15,200012,17350,15
latitude_deg,0.054023027420043945,0.013962030410766602,0.037960052490234375,0.002026081085205078,0.0,-7.5,15,200012,17350,15
latitude_deg,0.05432701110839844,0.013877153396606445,0.03827095031738281,0.0020971298217773438,0.0,-7.5,15,200012,17350,15
latitude_deg,0.05488777160644531,0.014936685562133789,0.03815293312072754,0.0017092227935791016,0.0,-7.5,15,200012,17350,15
latitude_deg,0.051637887954711914,0.013196945190429688,0.036498069763183594,0.001856088638305664,0.0,-7.5,15,200012,17350,15
latitude_deg,0.0509800910949707,0.012942790985107422,0.03540492057800293,0.0025353431701660156,0.0,-7.5,15,200012,17350,15
latitude_deg,0.05172085762023926,0.01405191421508789,0.03580498695373535,0.0017819404602050781,0.0,-7.5,15,200012,17350,15
latitude_deg,0.04790973663330078,0.01211094856262207,0.034047842025756836,0.0016782283782958984,0.0,-7.5,15,200012,17350,15
latitude_deg,0.05079221725463867,0.01334691047668457,0.03562498092651367,0.0017421245574951172,0.0,-7.5,15,200012,17350,15
-----hospital-----
attribute,total_time,init_time,model_time,del_time,leakage,utility,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
ProviderNumber,0.032044172286987305,0.018997907638549805,0.009706974029541016,0.003247976303100586,0.0,-6.0,12,200000,3362,12
ProviderNumber,0.03372597694396973,0.022441387176513672,0.008938074111938477,0.002283811569213867,0.0,-6.0,12,200000,3362,12
ProviderNumber,0.021783113479614258,0.012943029403686523,0.006757974624633789,0.002012014389038086,0.0,-6.0,12,200000,3362,12
ProviderNumber,0.02534794807434082,0.016693115234375,0.00639796257019043,0.002184152603149414,0.0,-6.0,12,200000,3362,12
ProviderNumber,0.019886016845703125,0.012151002883911133,0.005922079086303711,0.0017468929290771484,0.0,-6.0,12,200000,3362,12
ProviderNumber,0.016785860061645508,0.009535074234008789,0.00557398796081543,0.0016200542449951172,0.0,-6.0,12,200000,3362,12
ProviderNumber,0.01892995834350586,0.011055707931518555,0.005429983139038086,0.0023810863494873047,0.0,-6.0,12,200000,3362,12
ProviderNumber,0.019359111785888672,0.011604070663452148,0.005460977554321289,0.002148151397705078,0.0,-6.0,12,200000,3362,12
ProviderNumber,0.017832040786743164,0.009565114974975586,0.006253957748413086,0.001947164535522461,0.0,-6.0,12,200000,3362,12
ProviderNumber,0.017522096633911133,0.009654760360717773,0.0060999393463134766,0.0017130374908447266,0.0,-6.0,12,200000,3362,12
-----ncvoter-----
attribute,total_time,init_time,model_time,del_time,leakage,utility,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
voter_reg_num,0.04845905303955078,0.03280186653137207,0.01116323471069336,0.004441738128662109,0.0,-7.0,14,200000,2686,14
voter_reg_num,0.03726601600646973,0.0219728946685791,0.010685920715332031,0.004554271697998047,0.0,-7.0,14,200000,2686,14
voter_reg_num,0.0330810546875,0.020231246948242188,0.009962081909179688,0.002840757369995117,0.0,-7.0,14,200000,2686,14
voter_reg_num,0.03218793869018555,0.018711090087890625,0.009672880172729492,0.0037598609924316406,0.0,-7.0,14,200000,2686,14
voter_reg_num,0.03145909309387207,0.018694162368774414,0.009233951568603516,0.0034689903259277344,0.0,-7.0,14,200000,2686,14
voter_reg_num,0.027109861373901367,0.016088008880615234,0.008389711380004883,0.0025854110717773438,0.0,-7.0,14,200000,2686,14
voter_reg_num,0.026060819625854492,0.015218973159790039,0.008330106735229492,0.0024619102478027344,0.0,-7.0,14,200000,2686,14
voter_reg_num,0.029763221740722656,0.017831087112426758,0.009119033813476562,0.002771139144897461,0.0,-7.0,14,200000,2686,14
voter_reg_num,0.030454158782958984,0.01782822608947754,0.009088993072509766,0.0034949779510498047,0.0,-7.0,14,200000,2686,14
voter_reg_num,0.031017780303955078,0.01795506477355957,0.009093761444091797,0.00392603874206543,0.0,-7.0,14,200000,2686,14
-----Onlineretail-----
attribute,total_time,init_time,model_time,del_time,leakage,utility,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
InvoiceNo,0.040572166442871094,0.01588916778564453,0.0223538875579834,0.0022780895233154297,0.0,-4.0,8,200002,7049,8
InvoiceNo,0.037627220153808594,0.014444112777709961,0.021044015884399414,0.002087831497192383,0.0,-4.0,8,200002,7049,8
InvoiceNo,0.040113210678100586,0.014923095703125,0.02228403091430664,0.0028319358825683594,0.0,-4.0,8,200002,7049,8
InvoiceNo,0.03656792640686035,0.011852025985717773,0.022241830825805664,0.002391338348388672,0.0,-4.0,8,200002,7049,8
InvoiceNo,0.03545212745666504,0.01163792610168457,0.021255970001220703,0.0024700164794921875,0.0,-4.0,8,200002,7049,8
InvoiceNo,0.036730051040649414,0.012040138244628906,0.02213573455810547,0.002458333969116211,0.0,-4.0,8,200002,7049,8
InvoiceNo,0.03581690788269043,0.011342048645019531,0.021526098251342773,0.002871990203857422,0.0,-4.0,8,200002,7049,8
InvoiceNo,0.03836202621459961,0.013508081436157227,0.02208399772644043,0.002713918685913086,0.0,-4.0,8,200002,7049,8
InvoiceNo,0.0359039306640625,0.013433218002319336,0.020586013793945312,0.0018107891082763672,0.0,-4.0,8,200002,7049,8
InvoiceNo,0.03665494918823242,0.012642145156860352,0.021545886993408203,0.002396821975708008,0.0,-4.0,8,200002,7049,8
-----adult-----
attribute,total_time,init_time,model_time,del_time,leakage,utility,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells
education,0.013897895812988281,0.008074045181274414,0.0038118362426757812,0.0019512176513671875,0.0,-3.0,6,10,1145,6
education,0.014623165130615234,0.008901119232177734,0.0037627220153808594,0.0019083023071289062,0.0,-3.0,6,10,1145,6
education,0.014404773712158203,0.008720874786376953,0.003754854202270508,0.001882314682006836,0.0,-3.0,6,10,1145,6
education,0.010660886764526367,0.006741762161254883,0.0026128292083740234,0.001253366470336914,0.0,-3.0,6,10,1145,6
education,0.008948087692260742,0.0054280757904052734,0.002334117889404297,0.0011348724365234375,0.0,-3.0,6,10,1145,6
education,0.00967097282409668,0.005787849426269531,0.0023789405822753906,0.0014500617980957031,0.0,-3.0,6,10,1145,6
education,0.009344816207885742,0.0053558349609375,0.0024640560150146484,0.0014691352844238281,0.0,-3.0,6,10,1145,6
education,0.010335206985473633,0.005270957946777344,0.003648996353149414,0.0013370513916015625,0.0,-3.0,6,10,1145,6
education,0.010114192962646484,0.006003856658935547,0.0027408599853515625,0.001299142837524414,0.0,-3.0,6,10,1145,6
education,0.009141206741333008,0.005411863327026367,0.002454042434692383,0.0012221336364746094,0.0,-3.0,6,10,1145,6
