beta,leakage,utility,mask_size
2.5,1.0,-0.5,0
2.5,1.0,-8.0,3
2.5,1.0,-0.5,0
2.5,1.0,-5.5,2
2.5,1.0,-3.0,1
2.5,1.0,-5.5,2
2.5,1.0,-3.0,1
2.5,1.0,-5.5,2
2.5,1.0,-5.5,2
2.5,1.0,-0.5,0
2.5,1.0,-0.5,0
2.5,1.0,-3.0,1
2.5,1.0,-3.0,1
2.5,1.0,-0.5,0
2.5,1.0,-5.5,2
2.5,1.0,-0.5,0
2.5,1.0,-3.0,1
2.5,1.0,-0.5,0
2.5,1.0,-5.5,2
2.5,1.0,-3.0,1
2.5,1.0,-0.5,0
2.5,1.0,-3.0,1
2.5,1.0,-0.5,0
2.5,1.0,-3.0,1
2.5,1.0,-0.5,0
2.5,1.0,-0.5,0
2.5,1.0,-3.0,1
2.5,1.0,-0.5,0
2.5,1.0,-0.5,0
2.5,1.0,-0.5,0
2.5,1.0,-5.5,2
2.5,1.0,-0.5,0
2.5,1.0,-0.5,0
2.5,1.0,-0.5,0
2.5,1.0,-0.5,0
2.5,1.0,-0.5,0
2.5,1.0,-3.0,1
2.5,1.0,-3.0,1
2.5,1.0,-3.0,1
2.5,1.0,-0.5,0
2.5,0.0,-5.0,2
2.5,1.0,-0.5,0
2.5,1.0,-3.0,1
beta,leakage,utility,mask_size
3.0,1.0,-0.5,0
3.0,1.0,-6.5,2
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-6.5,2
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-6.5,2
3.0,1.0,-3.5,1
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-3.5,1
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-3.5,1
3.0,1.0,-3.5,1
3.0,1.0,-3.5,1
3.0,1.0,-3.5,1
3.0,1.0,-3.5,1
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-3.5,1
3.0,1.0,-3.5,1
3.0,1.0,-3.5,1
3.0,1.0,-0.5,0
3.0,1.0,-6.5,2
3.0,1.0,-3.5,1
3.0,1.0,-6.5,2
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-6.5,2
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
3.0,1.0,-3.5,1
3.0,1.0,-0.5,0
3.0,1.0,-0.5,0
beta,leakage,utility,mask_size
3.5,1.0,-0.5,0
3.5,1.0,-4.0,1
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-4.0,1
3.5,1.0,-4.0,1
3.5,1.0,-4.0,1
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-4.0,1
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-7.5,2
3.5,1.0,-4.0,1
3.5,1.0,-0.5,0
3.5,1.0,-4.0,1
3.5,1.0,-4.0,1
3.5,1.0,-4.0,1
3.5,1.0,-0.5,0
3.5,1.0,-4.0,1
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-4.0,1
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-4.0,1
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-4.0,1
3.5,1.0,-4.0,1
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-4.0,1
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
3.5,1.0,-0.5,0
beta,leakage,utility,mask_size
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-4.5,1
4.0,1.0,-4.5,1
4.0,1.0,-0.5,0
4.0,1.0,-4.5,1
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-4.5,1
4.0,1.0,-4.5,1
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
4.0,1.0,-0.5,0
