timestamp,dataset,target_attribute,iter,epsilon,lam,build_time_s,delete_time_s,rss_before_build_bytes,rss_after_build_bytes,rss_delta_build_bytes,rss_before_delete_bytes,rss_after_delete_bytes,rss_delta_delete_bytes,py_peak_build_bytes,py_peak_delete_bytes,save_dir_size_bytes
2025-12-29T11:58:17,airport,latitude_deg,1,50.0,0.5,1.548962,0.000348,87769088,99221504,11452416,99221504,99221504,0,14969358,1774,969548
2025-12-29T11:58:18,airport,latitude_deg,2,50.0,0.5,1.531131,0.000323,99221504,103825408,4603904,102776832,102776832,0,14894950,1750,969548
2025-12-29T11:58:20,airport,latitude_deg,3,50.0,0.5,1.519380,0.000308,102776832,105496576,2719744,104448000,104448000,0,14894942,1750,969548
2025-12-29T11:58:21,airport,latitude_deg,4,50.0,0.5,1.521865,0.000325,103399424,107839488,4440064,106790912,106807296,16384,14894934,1750,969548
2025-12-29T11:58:23,airport,latitude_deg,5,50.0,0.5,1.534987,0.000328,105758720,111198208,5439488,110166016,110182400,16384,14894926,1750,969548
2025-12-29T11:58:25,airport,latitude_deg,6,50.0,0.5,1.531729,0.000303,109133824,114049024,4915200,113000448,113000448,0,14894918,1750,969548
2025-12-29T11:58:26,airport,latitude_deg,7,50.0,0.5,1.531853,0.000306,111951872,115195904,3244032,114147328,114147328,0,14894902,1750,969548
2025-12-29T11:58:28,airport,latitude_deg,8,50.0,0.5,1.544636,0.000376,113098752,115720192,2621440,114671616,114671616,0,14894894,1750,969548
2025-12-29T11:58:29,airport,latitude_deg,9,50.0,0.5,1.543211,0.000305,113623040,115785728,2162688,114737152,114737152,0,14894886,1750,969548
2025-12-29T11:58:31,airport,latitude_deg,10,50.0,0.5,1.557903,0.000313,113688576,115834880,2146304,114786304,114786304,0,14894878,1750,969548
2025-12-29T11:58:32,airport,latitude_deg,11,50.0,0.5,1.539553,0.000311,113737728,116457472,2719744,115408896,115408896,0,14894870,1750,969548
2025-12-29T11:58:34,airport,latitude_deg,12,50.0,0.5,1.518429,0.000342,114360320,116457472,2097152,115408896,115408896,0,14894862,1750,969548
2025-12-29T11:58:35,airport,latitude_deg,13,50.0,0.5,1.553494,0.000336,114360320,117686272,3325952,116637696,116637696,0,14894854,1750,969548
2025-12-29T11:58:37,airport,latitude_deg,14,50.0,0.5,1.546442,0.000297,115589120,119586816,3997696,118538240,118538240,0,14894846,1750,969548
2025-12-29T11:58:39,airport,latitude_deg,15,50.0,0.5,1.529165,0.000276,117489664,119619584,2129920,118571008,118571008,0,14894830,1750,969548
2025-12-29T11:58:40,airport,latitude_deg,16,50.0,0.5,1.564397,0.000290,117522432,119619584,2097152,118571008,118571008,0,14894822,1750,969548
2025-12-29T11:58:42,airport,latitude_deg,17,50.0,0.5,1.533393,0.000320,117522432,120242176,2719744,119193600,119193600,0,14894814,1750,969548
2025-12-29T11:58:43,airport,latitude_deg,18,50.0,0.5,1.528093,0.000301,118145024,120258560,2113536,119209984,119209984,0,14894806,1750,969548
2025-12-29T11:58:45,airport,latitude_deg,19,50.0,0.5,1.536599,0.000369,118161408,106479616,-11681792,100057088,100057088,0,14894798,1750,969548
2025-12-29T11:58:46,airport,latitude_deg,20,50.0,0.5,1.543484,0.000340,99008512,102678528,3670016,101646336,101662720,16384,14894790,1750,969548
2025-12-29T11:58:48,airport,latitude_deg,21,50.0,0.5,1.535477,0.000387,100614144,103972864,3358720,102924288,102957056,32768,14894782,1750,969548
2025-12-29T11:58:50,airport,latitude_deg,22,50.0,0.5,1.532698,0.000284,101924864,106643456,4718592,105594880,105594880,0,14894782,1750,969548
2025-12-29T11:58:51,airport,latitude_deg,23,50.0,0.5,1.526397,0.000322,104546304,107495424,2949120,106446848,106446848,0,14894782,1750,969548
2025-12-29T11:58:53,airport,latitude_deg,24,50.0,0.5,1.531412,0.000320,105398272,108118016,2719744,107069440,107069440,0,14894782,1750,969548
2025-12-29T11:58:54,airport,latitude_deg,25,50.0,0.5,1.534887,0.000288,106020864,108675072,2654208,107626496,107626496,0,14894782,1750,969548
