epsilon,leakage,utility,mask_size
0.3,0.99968,-1.9996800000000001,2
0.3,0.99968,-1.9996800000000001,2
0.3,0.9984,-1.9984,2
-----airport-----
epsilon,leakage,utility,mask_size
0.4,0.8,-5.8,10
0.4,0.8,-5.8,10
0.4,0.8,-5.8,10
0.4,0.8,-5.8,10
0.4,0.0,-5.0,10
0.4,0.96,-5.96,10
0.4,0.96,-5.96,10
0.4,0.0,-5.0,10
0.4,0.992,-5.992,10
0.4,0.96,-4.96,8
-----hospital-----
epsilon,leakage,utility,mask_size
0.4,0.9999998976,-5.4999998976,9
0.4,0.9999998976,-5.9999998976,10
0.4,0.99999997952,-5.49999997952,9
0.4,0.9999998976,-5.9999998976,10
0.4,0.9999998976,-5.9999998976,10
0.4,0.99999997952,-4.49999997952,7
0.4,0.9999998976,-5.4999998976,9
0.4,0.9999999991808,-1.4999999991808,1
0.4,0.9999998976,-5.9999998976,10
0.4,0.9999998976,-5.9999998976,10
-----ncvoter-----
epsilon,leakage,utility,mask_size
0.4,0.9999999999934464,-5.999999999993446,10
0.4,0.9999999999934464,-5.999999999993446,10
0.4,0.9999999999934464,-1.4999999999934464,1
0.4,0.9999999999934464,-5.999999999993446,10
0.4,0.9999999999934464,-5.999999999993446,10
0.4,0.9999999999934464,-5.999999999993446,10
0.4,0.9999999999934464,-5.999999999993446,10
0.4,0.9999999999934464,-0.9999999999934464,0
0.4,0.9999999999934464,-5.999999999993446,10
0.4,0.9999999999934464,-4.999999999993446,8
-----Onlineretail-----
epsilon,leakage,utility,mask_size
0.4,0.96,-4.46,7
0.4,0.9984,-3.4984,5
0.4,0.96,-3.46,5
0.4,0.999936,-3.499936,5
0.4,0.96,-4.46,7
0.4,0.999936,-2.999936,4
0.4,0.96,-4.46,7
0.4,0.96,-4.46,7
0.4,0.96,-4.46,7
0.4,0.96,-3.96,6
-----adult-----
epsilon,leakage,utility,mask_size
0.4,0.9984,-1.9984,2
0.4,0.99968,-1.4996800000000001,1
0.4,0.9984,-3.4984,5
0.4,0.9984,-3.4984,5
0.4,0.9984,-3.4984,5
0.4,0.9984,-2.9984,4
0.4,0.9984,-2.4984,3
0.4,0.99968,-0.99968,0
0.4,0.9984,-2.9984,4
0.4,0.9984,-2.9984,4
-----airport-----
epsilon,leakage,utility,mask_size
0.5,0.99999999983616,-3.99999999983616,6
0.5,0.96,-5.96,10
0.5,0.99968,-5.99968,10
0.5,1.0,-1.5,1
