method,dataset,target_attribute,total_time,init_time,model_time,del_time,update_time,leakage,utility,paths_blocked,mask_size,num_paths,memory_overhead_bytes,num_instantiated_cells,num_cells_updated
delexp,airport,latitude_deg,0.5284469127655029,0.011723041534423828,0.510596752166748,0.0,0.006127119064331055,0.0,-0.00024415552707074406,24,8,24,9988080,16,1
delexp,airport,latitude_deg,0.5196490287780762,0.004930973052978516,0.5096960067749023,0.0,0.0050220489501953125,0.0,-0.00027467496795458707,24,9,24,9988152,16,1
delexp,airport,latitude_deg,0.5085420608520508,0.005014896392822266,0.49610209465026855,0.0,0.007425069808959961,0.0016575692967834307,-0.0011034596163463023,24,9,24,9988152,16,1
delexp,airport,latitude_deg,0.5090970993041992,0.004869222640991211,0.49950480461120605,0.0,0.004723072052001953,0.0,-0.00021363608618690105,24,7,24,9988008,16,1
delexp,airport,latitude_deg,0.5172450542449951,0.005143165588378906,0.5068399906158447,0.0,0.005261898040771484,0.0,-0.0003357138497222731,24,11,24,9988296,16,1
delexp,airport,latitude_deg,0.5047781467437744,0.005506038665771484,0.49341511726379395,0.0,0.005856990814208984,0.0,-0.0003357138497222731,24,11,24,9988296,16,1
delexp,airport,latitude_deg,0.5101029872894287,0.005902290344238281,0.4957287311553955,0.0,0.008471965789794922,0.0,-0.00021363608618690105,24,7,24,9988008,16,1
delexp,airport,latitude_deg,0.5149672031402588,0.00489497184753418,0.5040252208709717,0.0,0.00604701042175293,0.0,-0.0003051944088384301,24,10,24,9988224,16,1
delexp,airport,latitude_deg,0.5094139575958252,0.0059888362884521484,0.49618101119995117,0.0,0.007244110107421875,0.0,-0.0003051944088384301,24,10,24,9988224,16,1
delexp,airport,latitude_deg,0.5114572048187256,0.004380941390991211,0.5022242069244385,0.0,0.0048520565032958984,0.0,-0.0003357138497222731,24,11,24,9988296,16,1
delexp,airport,latitude_deg,0.5028626918792725,0.0049707889556884766,0.49163007736206055,0.0,0.0062618255615234375,0.0,-0.00015259720441921504,24,5,24,9987864,16,1
delexp,airport,latitude_deg,0.5119903087615967,0.005017280578613281,0.5006508827209473,0.0,0.006322145462036133,0.0,-0.0003662332906061161,24,12,24,9988368,16,1
delexp,airport,latitude_deg,0.503075122833252,0.00448918342590332,0.49434685707092285,0.0,0.004239082336425781,0.0,-0.00027467496795458707,24,9,24,9988152,16,1
delexp,airport,latitude_deg,0.5190889835357666,0.004782199859619141,0.5099630355834961,0.0,0.004343748092651367,0.041666666666666664,-0.02110800830128792,23,9,24,9988152,16,1
delexp,airport,latitude_deg,0.5151078701019287,0.005160093307495117,0.5067117214202881,0.0,0.003236055374145508,0.0,-0.00018311664530305805,24,6,24,9987936,16,1
delexp,airport,latitude_deg,0.5180051326751709,0.005795001983642578,0.5065310001373291,0.0,0.005679130554199219,0.0,-0.00018311664530305805,24,6,24,9987936,16,1
delexp,airport,latitude_deg,0.5183446407318115,0.0047109127044677734,0.5068309307098389,0.0,0.006802797317504883,0.0,-0.00024415552707074406,24,8,24,9988080,16,1
delexp,airport,latitude_deg,0.5192968845367432,0.006192922592163086,0.5093297958374023,0.0,0.0037741661071777344,0.0,-0.0003051944088384301,24,10,24,9988224,16,1
delexp,airport,latitude_deg,0.5074594020843506,0.004817008972167969,0.49530029296875,0.0,0.007342100143432617,0.0,-0.00021363608618690105,24,7,24,9988008,16,1
delexp,airport,latitude_deg,0.51155686378479,0.004678964614868164,0.501194953918457,0.0,0.005682945251464844,0.0,-0.00027467496795458707,24,9,24,9988152,16,1
delexp,airport,latitude_deg,0.5131251811981201,0.004951000213623047,0.5031912326812744,0.0,0.004982948303222656,0.0,-0.0003051944088384301,24,10,24,9988224,16,1
delexp,airport,latitude_deg,0.5037317276000977,0.005331993103027344,0.4925367832183838,0.0,0.0058629512786865234,0.0,-0.00027467496795458707,24,9,24,9988152,16,1
delexp,airport,latitude_deg,0.5051310062408447,0.004703044891357422,0.494096040725708,0.0,0.006331920623779297,0.0,-0.00027467496795458707,24,9,24,9988152,16,1
delexp,airport,latitude_deg,0.5147206783294678,0.004597902297973633,0.503248929977417,0.0,0.0068738460540771484,0.0,-0.0003051944088384301,24,10,24,9988224,16,1
delexp,airport,latitude_deg,0.5197699069976807,0.004442930221557617,0.511605978012085,0.0,0.003720998764038086,0.0,-0.00027467496795458707,24,9,24,9988152,16,1
delexp,hospital,ProviderNumber,0.08338308334350586,0.005314826965332031,0.07277727127075195,0.0,0.005290985107421875,0.2319786510748355,-0.11843192446267423,10,10,13,1046400,13,1
delexp,hospital,ProviderNumber,0.08193302154541016,0.0036919116973876953,0.07502007484436035,0.0,0.0032210350036621094,0.18732256866550362,-0.09610388325800828,11,10,13,1046400,13,0
delexp,hospital,ProviderNumber,0.08469581604003906,0.00442194938659668,0.07444882392883301,0.0,0.005825042724609375,0.18742233848955467,-0.09615376817003381,11,10,13,1046400,13,1
delexp,hospital,ProviderNumber,0.0819854736328125,0.0043621063232421875,0.07408928871154785,0.0,0.003534078598022461,0.2321056821387112,-0.11849543999461207,10,10,13,1046400,13,1
delexp,hospital,ProviderNumber,0.08118605613708496,0.0036230087280273438,0.07321000099182129,0.0,0.004353046417236328,0.18742233848955467,-0.09615376817003381,11,10,13,1046400,13,1
delexp,hospital,ProviderNumber,0.08316493034362793,0.0036339759826660156,0.07585406303405762,0.0,0.003676891326904297,0.18742233848955467,-0.09615376817003381,11,10,13,1046400,13,1
delexp,hospital,ProviderNumber,0.08324027061462402,0.0036051273345947266,0.07449817657470703,0.0,0.005136966705322266,0.2651419855450264,-0.13476933180524403,10,9,13,1046328,13,1
delexp,hospital,ProviderNumber,0.08207106590270996,0.0035719871520996094,0.07369804382324219,0.0,0.004801034927368164,0.16806094764260784,-0.08671733263908604,11,11,13,1046472,13,1
delexp,hospital,ProviderNumber,0.08337259292602539,0.004007816314697266,0.07345890998840332,0.0,0.005905866622924805,0.24771983695099967,-0.12630251740075632,10,10,13,1046400,13,1
delexp,hospital,ProviderNumber,0.08461594581604004,0.003726959228515625,0.07561707496643066,0.0,0.00527191162109375,0.16806094764260784,-0.08671733263908604,11,11,13,1046472,13,1
delexp,hospital,ProviderNumber,0.08294892311096191,0.003557920455932617,0.07440996170043945,0.0,0.004981040954589844,0.24771983695099967,-0.12630251740075632,10,10,13,1046400,13,1
delexp,hospital,ProviderNumber,0.08144307136535645,0.003720998764038086,0.07376503944396973,0.0,0.003957033157348633,0.26733886179357474,-0.1358677699295182,10,9,13,1046328,13,1
delexp,hospital,ProviderNumber,0.08292055130004883,0.0034742355346679688,0.07352709770202637,0.0,0.005919218063354492,0.18732256866550362,-0.09610388325800828,11,10,13,1046400,13,1
delexp,hospital,ProviderNumber,0.08238387107849121,0.0037441253662109375,0.07511186599731445,0.0,0.0035278797149658203,0.18837618464340083,-0.09638643135443124,11,9,13,1046328,13,1
delexp,hospital,ProviderNumber,0.08323407173156738,0.003651857376098633,0.07459497451782227,0.0,0.004987239837646484,0.34535147823962187,-0.17438555836749048,9,7,13,1046184,13,1
delexp,hospital,ProviderNumber,0.0844731330871582,0.0036149024963378906,0.07476615905761719,0.0,0.006092071533203125,0.18732256866550362,-0.09610388325800828,11,10,13,1046400,13,1
delexp,hospital,ProviderNumber,0.08197402954101562,0.003674745559692383,0.07317924499511719,0.0,0.005120038986206055,0.25310719028752443,-0.1289961940690187,10,10,13,1046400,13,1
delexp,hospital,ProviderNumber,0.08341670036315918,0.003676891326904297,0.07559394836425781,0.0,0.00414586067199707,0.34485757236969355,-0.17389434554000066,9,6,13,1046112,13,1
delexp,hospital,ProviderNumber,0.08434510231018066,0.0036749839782714844,0.07455205917358398,0.0,0.006118059158325195,0.25310311061961943,-0.12874989434254053,10,9,13,1046328,13,1
