-----airport-----
target_attribute,total_time,init_time,model_time,del_time,leakage,utility,mask_size,num_paths,memory_overhead_bytes
latitude_deg,0.19461846351623535,0.0015401840209960938,0.17842411994934082,0.014654159545898438,0.0,-1.5,3,24,17157680
latitude_deg,0.1542959213256836,0.00012302398681640625,0.14702105522155762,0.00715184211730957,0.0,-2.0,4,24,17157680
latitude_deg,0.15190601348876953,0.00015091896057128906,0.1471560001373291,0.004599094390869141,0.0,-2.5,5,24,17157680
latitude_deg,0.15070867538452148,0.00010180473327636719,0.14667701721191406,0.003929853439331055,0.0,-2.5,5,24,17157680
latitude_deg,0.14958906173706055,0.00010180473327636719,0.14447426795959473,0.005012989044189453,0.0,-2.0,4,24,17157680
latitude_deg,0.15051674842834473,0.00010704994201660156,0.14557790756225586,0.004831790924072266,0.0,-1.5,3,24,17157680
latitude_deg,0.15003728866577148,0.00011205673217773438,0.14531898498535156,0.0046062469482421875,0.0,-3.5,7,24,17157680
latitude_deg,0.17533111572265625,0.0001068115234375,0.1702883243560791,0.0049359798431396484,0.0,-2.5,5,24,17157680
latitude_deg,0.15064454078674316,0.00011587142944335938,0.1458578109741211,0.004670858383178711,0.0,-1.0,2,24,17157680
latitude_deg,0.15085697174072266,0.00011205673217773438,0.14387798309326172,0.006866931915283203,0.0,-4.0,8,24,17157680
latitude_deg,0.14802908897399902,0.00010895729064941406,0.1421358585357666,0.005784273147583008,0.0,-3.0,6,24,17157680
latitude_deg,0.15215182304382324,0.00011992454528808594,0.146406888961792,0.005625009536743164,0.0,-4.0,8,24,17157680
latitude_deg,0.14628887176513672,0.00011277198791503906,0.14096999168395996,0.005206108093261719,0.0,-2.5,5,24,17157680
latitude_deg,0.14973902702331543,0.0001049041748046875,0.14279413223266602,0.0068399906158447266,0.0,-2.5,5,24,17157680
latitude_deg,0.15210533142089844,0.00010323524475097656,0.1456608772277832,0.006341218948364258,0.0,-3.5,7,24,17157680
latitude_deg,0.1479969024658203,0.00010204315185546875,0.1414487361907959,0.006446123123168945,0.0,-4.0,8,24,17157680
latitude_deg,0.14773058891296387,0.00010585784912109375,0.1409471035003662,0.0066776275634765625,0.0,-3.5,7,24,17157680
latitude_deg,0.15394902229309082,0.00011515617370605469,0.14736390113830566,0.0064699649810791016,0.0,-2.5,5,24,17157680
latitude_deg,0.15173697471618652,0.00010704994201660156,0.1447441577911377,0.0068857669830322266,0.0,-4.5,9,24,17157680
latitude_deg,0.1543729305267334,0.00010800361633300781,0.14667510986328125,0.007589817047119141,0.0,-3.5,7,24,17157680
latitude_deg,0.14876103401184082,0.0001049041748046875,0.14422392845153809,0.004432201385498047,0.0,-1.0,2,24,17157680
latitude_deg,0.1488971710205078,0.00010418891906738281,0.14267611503601074,0.0061168670654296875,0.0,-2.0,4,24,17157680
latitude_deg,0.16173148155212402,0.00010609626770019531,0.14600324630737305,0.015622138977050781,0.0,-3.5,7,24,17157680
latitude_deg,0.15338993072509766,0.00011587142944335938,0.14792394638061523,0.0053501129150390625,0.0,-3.5,7,24,17157680
latitude_deg,0.1599888801574707,0.00011491775512695312,0.15405726432800293,0.00581669807434082,0.0,-2.5,5,24,17157680
latitude_deg,0.16935157775878906,0.00010204315185546875,0.14293289184570312,0.02631664276123047,0.0,-1.5,3,24,17157680
