-----airport-----
attribute,total_time,num_constraints,cells_deleted,memory_bytes,init_time,model_time,del_time
latitude_deg,0.046459197998046875,40,15,7887,1,0.04162001609802246,6.413459777832031e-05,0.003342866897583008
latitude_deg,0.03662109375,40,15,7887,1,0.03221297264099121,5.0067901611328125e-05,0.002997875213623047
latitude_deg,0.025728940963745117,40,15,7887,1,0.022584915161132812,3.1948089599609375e-05,0.002218961715698242
latitude_deg,0.02208089828491211,40,15,7887,1,0.019032955169677734,3.814697265625e-05,0.002104043960571289
latitude_deg,0.020646333694458008,40,15,7887,1,0.01751708984375,3.1948089599609375e-05,0.0021419525146484375
latitude_deg,0.023430824279785156,40,15,7887,1,0.018848180770874023,3.695487976074219e-05,0.003461122512817383
latitude_deg,0.020720243453979492,40,15,7887,1,0.017454147338867188,3.0040740966796875e-05,0.0023148059844970703
latitude_deg,0.022099018096923828,40,15,7887,1,0.019075870513916016,3.1948089599609375e-05,0.00202178955078125
latitude_deg,0.020685911178588867,40,15,7887,1,0.017737865447998047,3.0040740966796875e-05,0.0019991397857666016
latitude_deg,0.021365880966186523,40,15,7887,1,0.018359899520874023,3.1948089599609375e-05,0.00203704833984375
latitude_deg,0.02039813995361328,40,15,7887,1,0.01748037338256836,3.0040740966796875e-05,0.002048969268798828
latitude_deg,0.020000934600830078,40,15,7887,1,0.017301082611083984,3.1948089599609375e-05,0.001878976821899414
latitude_deg,0.019541025161743164,40,15,7887,1,0.016778945922851562,2.9087066650390625e-05,0.0018587112426757812
latitude_deg,0.021329879760742188,40,15,7887,1,0.01845407485961914,3.0040740966796875e-05,0.0020558834075927734
latitude_deg,0.02090001106262207,40,15,7887,1,0.017995119094848633,3.0994415283203125e-05,0.0019237995147705078
latitude_deg,0.020527124404907227,40,15,7887,1,0.01767110824584961,3.1948089599609375e-05,0.002035856246948242
latitude_deg,0.02045917510986328,40,15,7887,1,0.017589092254638672,2.7894973754882812e-05,0.001977205276489258
latitude_deg,0.02035212516784668,40,15,7887,1,0.017313241958618164,3.3855438232421875e-05,0.002138853073120117
latitude_deg,0.02022409439086914,40,15,7887,1,0.016950130462646484,3.1948089599609375e-05,0.002391815185546875
latitude_deg,0.020874977111816406,40,15,7887,1,0.0179750919342041,3.0040740966796875e-05,0.0019991397857666016
latitude_deg,0.02138495445251465,40,15,7887,1,0.018095016479492188,2.8133392333984375e-05,0.002466917037963867
latitude_deg,0.026515960693359375,40,15,7887,1,0.02356410026550293,3.409385681152344e-05,0.002003908157348633
latitude_deg,0.023458003997802734,40,15,7887,1,0.0191648006439209,3.409385681152344e-05,0.003319978713989258
latitude_deg,0.021480083465576172,40,15,7887,1,0.01844501495361328,3.0994415283203125e-05,0.0020122528076171875
latitude_deg,0.023929119110107422,40,15,7887,1,0.020634174346923828,3.790855407714844e-05,0.0022542476654052734
latitude_deg,0.021438121795654297,40,15,7887,1,0.018560171127319336,3.5762786865234375e-05,0.0019047260284423828
latitude_deg,0.021314144134521484,40,15,7887,1,0.017913103103637695,3.7670135498046875e-05,0.0024271011352539062
latitude_deg,0.020168781280517578,40,15,7887,1,0.017518997192382812,3.0994415283203125e-05,0.0017948150634765625
latitude_deg,0.019567012786865234,40,15,7887,1,0.016896963119506836,2.9087066650390625e-05,0.0017158985137939453
latitude_deg,0.02132892608642578,40,15,7887,1,0.01859593391418457,3.0994415283203125e-05,0.0018439292907714844
latitude_deg,0.020596981048583984,40,15,7887,1,0.01759505271911621,2.7894973754882812e-05,0.0021293163299560547
latitude_deg,0.02024102210998535,40,15,7887,1,0.017635822296142578,2.7179718017578125e-05,0.0017020702362060547
latitude_deg,0.020038127899169922,40,15,7887,1,0.01714801788330078,3.0040740966796875e-05,0.0019440650939941406
latitude_deg,0.01993393898010254,40,15,7887,1,0.017336130142211914,2.7894973754882812e-05,0.001712799072265625
latitude_deg,0.02163219451904297,40,15,7887,1,0.018746137619018555,3.0994415283203125e-05,0.0019559860229492188
latitude_deg,0.020341873168945312,40,15,7887,1,0.017615079879760742,2.8848648071289062e-05,0.0018470287322998047
latitude_deg,0.02025127410888672,40,15,7887,1,0.01743292808532715,2.574920654296875e-05,0.001950979232788086
latitude_deg,0.020292043685913086,40,15,7887,1,0.017502307891845703,3.266334533691406e-05,0.0018892288208007812
latitude_deg,0.021008729934692383,40,15,7887,1,0.01763772964477539,3.0040740966796875e-05,0.0024111270904541016
latitude_deg,0.019985198974609375,40,15,7887,1,0.01737523078918457,3.1948089599609375e-05,0.0017800331115722656
latitude_deg,0.01989006996154785,40,15,7887,1,0.01729893684387207,3.218650817871094e-05,0.001756906509399414
latitude_deg,0.02022099494934082,40,15,7887,1,0.017589569091796875,2.9325485229492188e-05,0.0016908645629882812
latitude_deg,0.01995706558227539,40,15,7887,1,0.01711893081665039,2.7894973754882812e-05,0.0018668174743652344
latitude_deg,0.02062702178955078,40,15,7887,1,0.017654895782470703,2.9087066650390625e-05,0.0019779205322265625
latitude_deg,0.021219730377197266,40,15,7887,1,0.018558979034423828,3.0994415283203125e-05,0.0017976760864257812
latitude_deg,0.0195770263671875,40,15,7887,1,0.017068147659301758,2.8848648071289062e-05,0.001699209213256836
latitude_deg,0.0207059383392334,40,15,7887,1,0.01807379722595215,2.8133392333984375e-05,0.0018041133880615234
latitude_deg,0.020221948623657227,40,15,7887,1,0.0175628662109375,3.0994415283203125e-05,0.0017938613891601562
latitude_deg,0.023950815200805664,40,15,7887,1,0.021234750747680664,3.504753112792969e-05,0.0018801689147949219
latitude_deg,0.020154953002929688,40,15,7887,1,0.017123937606811523,2.9087066650390625e-05,0.0020761489868164062
latitude_deg,0.02033686637878418,40,15,7887,1,0.017491817474365234,3.0040740966796875e-05,0.0018990039825439453
latitude_deg,0.02023911476135254,40,15,7887,1,0.017527103424072266,2.6702880859375e-05,0.0018169879913330078
latitude_deg,0.02025604248046875,40,15,7887,1,0.017627954483032227,3.0994415283203125e-05,0.0016798973083496094
latitude_deg,0.020665884017944336,40,15,7887,1,0.01795792579650879,2.7179718017578125e-05,0.0017409324645996094
latitude_deg,0.019995927810668945,40,15,7887,1,0.017300844192504883,2.574920654296875e-05,0.0018329620361328125
latitude_deg,0.020067930221557617,40,15,7887,1,0.017343997955322266,2.7179718017578125e-05,0.0018548965454101562
latitude_deg,0.02064371109008789,40,15,7887,1,0.017966747283935547,2.7894973754882812e-05,0.0017080307006835938
latitude_deg,0.021121978759765625,40,15,7887,1,0.01827216148376465,3.504753112792969e-05,0.001867055892944336
latitude_deg,0.019984006881713867,40,15,7887,1,0.01718306541442871,3.2901763916015625e-05,0.0018949508666992188
latitude_deg,0.020179033279418945,40,15,7887,1,0.01759195327758789,2.8133392333984375e-05,0.00167083740234375
latitude_deg,0.020799875259399414,40,15,7887,1,0.017791032791137695,2.47955322265625e-05,0.001909017562866211
latitude_deg,0.020157814025878906,40,15,7887,1,0.017207860946655273,2.8133392333984375e-05,0.0020842552185058594
