-----airport-----
attribute,total_time,num_constraints,cells_deleted,memory_bytes,max_depth,init_time,model_time,del_time
latitude_deg,0.04125189781188965,40,15,7887,1,0.03655290603637695,6.413459777832031e-05,0.002798795700073242
latitude_deg,0.026654958724975586,40,15,7887,1,0.02324223518371582,3.886222839355469e-05,0.002218008041381836
latitude_deg,0.0295560359954834,40,15,7887,1,0.026009798049926758,3.719329833984375e-05,0.002318859100341797
latitude_deg,0.022236108779907227,40,15,7887,1,0.01928997039794922,3.218650817871094e-05,0.002017974853515625
latitude_deg,0.024168968200683594,40,15,7887,1,0.0210721492767334,4.076957702636719e-05,0.0020999908447265625
latitude_deg,0.023426055908203125,40,15,7887,1,0.020141124725341797,3.600120544433594e-05,0.002218008041381836
latitude_deg,0.027034759521484375,40,15,7887,1,0.02348804473876953,6.079673767089844e-05,0.0023870468139648438
latitude_deg,0.022289752960205078,40,15,7887,1,0.018971920013427734,3.719329833984375e-05,0.0023920536041259766
latitude_deg,0.021923065185546875,40,15,7887,1,0.019223928451538086,3.62396240234375e-05,0.0018029212951660156
latitude_deg,0.022654056549072266,40,15,7887,1,0.0197141170501709,3.504753112792969e-05,0.0020151138305664062
latitude_deg,0.021472930908203125,40,15,7887,1,0.018604040145874023,3.504753112792969e-05,0.001968860626220703
latitude_deg,0.023469924926757812,40,15,7887,1,0.020471811294555664,4.029273986816406e-05,0.0021219253540039062
latitude_deg,0.021200895309448242,40,15,7887,1,0.018277883529663086,3.314018249511719e-05,0.001968860626220703
latitude_deg,0.021386146545410156,40,15,7887,1,0.018661022186279297,3.3855438232421875e-05,0.0018291473388671875
latitude_deg,0.020529985427856445,40,15,7887,1,0.017815113067626953,2.7894973754882812e-05,0.0017468929290771484
latitude_deg,0.021287918090820312,40,15,7887,1,0.018294095993041992,2.7894973754882812e-05,0.0019943714141845703
latitude_deg,0.021288156509399414,40,15,7887,1,0.018410921096801758,3.933906555175781e-05,0.0018770694732666016
latitude_deg,0.021489858627319336,40,15,7887,1,0.018599987030029297,3.0040740966796875e-05,0.002002239227294922
latitude_deg,0.021062850952148438,40,15,7887,1,0.018156051635742188,3.814697265625e-05,0.0018820762634277344
latitude_deg,0.020657777786254883,40,15,7887,1,0.01791095733642578,3.0040740966796875e-05,0.0018389225006103516
latitude_deg,0.021641016006469727,40,15,7887,1,0.018744230270385742,3.0994415283203125e-05,0.0019080638885498047
latitude_deg,0.02070784568786621,40,15,7887,1,0.018010854721069336,2.8133392333984375e-05,0.0017802715301513672
latitude_deg,0.020434856414794922,40,15,7887,1,0.017828941345214844,2.7179718017578125e-05,0.0017039775848388672
latitude_deg,0.02204108238220215,40,15,7887,1,0.019032001495361328,2.8848648071289062e-05,0.0018320083618164062
latitude_deg,0.021776914596557617,40,15,7887,1,0.018995046615600586,2.8848648071289062e-05,0.0018908977508544922
latitude_deg,0.021172285079956055,40,15,7887,1,0.01831793785095215,3.1948089599609375e-05,0.0018589496612548828
latitude_deg,0.021889209747314453,40,15,7887,1,0.018175125122070312,2.8848648071289062e-05,0.0027751922607421875
latitude_deg,0.04649233818054199,40,15,7887,1,0.04319000244140625,3.790855407714844e-05,0.0022530555725097656
latitude_deg,0.02525496482849121,40,15,7887,1,0.02230691909790039,4.100799560546875e-05,0.0019490718841552734
latitude_deg,0.02223992347717285,40,15,7887,1,0.01913619041442871,3.7670135498046875e-05,0.002088785171508789
latitude_deg,0.02314591407775879,40,15,7887,1,0.02020716667175293,3.790855407714844e-05,0.0020301342010498047
latitude_deg,0.02195000648498535,40,15,7887,1,0.019164085388183594,3.790855407714844e-05,0.0018260478973388672
latitude_deg,0.02319622039794922,40,15,7887,1,0.020275115966796875,4.982948303222656e-05,0.0019352436065673828
latitude_deg,0.022558927536010742,40,15,7887,1,0.019501209259033203,3.790855407714844e-05,0.002079010009765625
latitude_deg,0.022052288055419922,40,15,7887,1,0.019140958786010742,3.695487976074219e-05,0.001961946487426758
latitude_deg,0.02135014533996582,40,15,7887,1,0.018672943115234375,3.910064697265625e-05,0.0017478466033935547
latitude_deg,0.02176809310913086,40,15,7887,1,0.018809080123901367,3.814697265625e-05,0.0020079612731933594
latitude_deg,0.022738933563232422,40,15,7887,1,0.019858837127685547,3.790855407714844e-05,0.0018987655639648438
latitude_deg,0.022697925567626953,40,15,7887,1,0.019947052001953125,3.4809112548828125e-05,0.001798868179321289
latitude_deg,0.034919023513793945,40,15,7887,1,0.031890869140625,3.62396240234375e-05,0.001965045928955078
latitude_deg,0.0219728946685791,40,15,7887,1,0.01891613006591797,5.4836273193359375e-05,0.0020439624786376953
latitude_deg,0.023482084274291992,40,15,7887,1,0.020020008087158203,4.601478576660156e-05,0.0024089813232421875
latitude_deg,0.021795272827148438,40,15,7887,1,0.01902294158935547,3.695487976074219e-05,0.0018618106842041016
latitude_deg,0.021513938903808594,40,15,7887,1,0.01862311363220215,3.886222839355469e-05,0.0019812583923339844
latitude_deg,0.020388126373291016,40,15,7887,1,0.017759323120117188,3.3855438232421875e-05,0.0017459392547607422
latitude_deg,0.02190685272216797,40,15,7887,1,0.01923203468322754,2.9802322387695312e-05,0.0017552375793457031
latitude_deg,0.021507978439331055,40,15,7887,1,0.0183560848236084,3.790855407714844e-05,0.002042055130004883
latitude_deg,0.020135879516601562,40,15,7887,1,0.01741790771484375,3.218650817871094e-05,0.0018279552459716797
latitude_deg,0.01946711540222168,40,15,7887,1,0.016849994659423828,3.314018249511719e-05,0.0017848014831542969
latitude_deg,0.02116990089416504,40,15,7887,1,0.018425941467285156,3.0994415283203125e-05,0.001783132553100586
latitude_deg,0.02033209800720215,40,15,7887,1,0.017571210861206055,3.1948089599609375e-05,0.0018627643585205078
latitude_deg,0.020078182220458984,40,15,7887,1,0.01723313331604004,2.9087066650390625e-05,0.001940011978149414
latitude_deg,0.020325899124145508,40,15,7887,1,0.017515897750854492,2.6941299438476562e-05,0.0019180774688720703
latitude_deg,0.020529985427856445,40,15,7887,1,0.01781296730041504,4.291534423828125e-05,0.0017900466918945312
latitude_deg,0.020418167114257812,40,15,7887,1,0.01753377914428711,2.9087066650390625e-05,0.0019872188568115234
latitude_deg,0.020984172821044922,40,15,7887,1,0.018271207809448242,3.2901763916015625e-05,0.001850128173828125
latitude_deg,0.02054286003112793,40,15,7887,1,0.017850875854492188,3.218650817871094e-05,0.0017070770263671875
latitude_deg,0.020995140075683594,40,15,7887,1,0.018107891082763672,3.314018249511719e-05,0.0019910335540771484
latitude_deg,0.019583940505981445,40,15,7887,1,0.016926050186157227,2.8848648071289062e-05,0.0017731189727783203
latitude_deg,0.020800113677978516,40,15,7887,1,0.01796698570251465,2.7894973754882812e-05,0.0018658638000488281
latitude_deg,0.020341873168945312,40,15,7887,1,0.01773691177368164,2.9087066650390625e-05,0.0017008781433105469
latitude_deg,0.020833969116210938,40,15,7887,1,0.018138885498046875,3.1948089599609375e-05,0.0017659664154052734
latitude_deg,0.020141124725341797,40,15,7887,1,0.0173187255859375,2.9325485229492188e-05,0.0019190311431884766
latitude_deg,0.0210113525390625,40,15,7887,1,0.018121004104614258,3.0279159545898438e-05,0.0019519329071044922
latitude_deg,0.02069091796875,40,15,7887,1,0.018002748489379883,3.0040740966796875e-05,0.0017769336700439453
