alpha,leakage,utility,mask_size
1,0.0,-10.0,10
1,1.0,-4.0,3
1,1.0,-6.0,5
1,1.0,-11.0,10
1,1.0,-11.0,10
1,0.0,-6.0,6
1,1.0,-6.0,5
1,1.0,-8.0,7
1,1.0,-7.0,6
1,1.0,-4.0,3
1,1.0,-8.0,7
1,1.0,-5.0,4
1,1.0,-7.0,6
1,1.0,-7.0,6
1,1.0,-6.0,5
1,1.0,-4.0,3
1,1.0,-6.0,5
1,1.0,-6.0,5
1,1.0,-3.0,2
1,1.0,-6.0,5
1,1.0,-5.0,4
1,1.0,-7.0,6
1,1.0,-7.0,6
1,1.0,-7.0,6
1,1.0,-8.0,7
1,1.0,-8.0,7
1,1.0,-4.0,3
1,1.0,-7.0,6
1,1.0,-4.0,3
1,1.0,-4.0,3
1,1.0,-2.0,1
1,9.999778782798785e-13,-5.000000000001,5
1,1.0,-1.0,0
1,9.999778782798785e-13,-3.000000000001,3
1,1.0,-3.0,2
1,9.999778782798785e-13,-4.000000000001,4
1,0.0,-5.0,5
1,9.999778782798785e-13,-4.000000000001,4
1,1.0,-4.0,3
1,1.0,-2.0,1
1,0.0,-3.0,3
1,0.0,-5.0,5
1,1.0,-2.0,1
1,0.0,-2.0,2
1,1.0,-3.0,2
1,1.0,-4.0,3
1,1.0,-2.0,1
1,0.0,-2.0,2
1,0.0,-4.0,4
1,0.0,-3.0,3
alpha,leakage,utility,mask_size
2,1.0,-9.0,7
2,1.0,-8.0,6
2,1.0,-7.0,5
2,1.0,-9.0,7
2,1.0,-6.0,4
2,1.0,-7.0,5
2,1.0,-8.0,6
2,1.0,-4.0,2
2,1.0,-10.0,8
2,0.0,-7.0,7
2,1.0,-8.0,6
2,1.0,-6.0,4
2,1.0,-7.0,5
2,1.0,-3.0,1
2,1.0,-6.0,4
2,1.0,-6.0,4
2,1.0,-8.0,6
2,1.0,-5.0,3
2,1.0,-6.0,4
2,1.0,-7.0,5
2,1.0,-5.0,3
2,1.0,-9.0,7
2,1.0,-8.0,6
2,1.0,-7.0,5
2,1.0,-9.0,7
2,1.0,-8.0,6
2,1.0,-10.0,8
2,1.0,-5.0,3
2,1.0,-5.0,3
2,1.0,-7.0,5
2,9.999778782798785e-13,-4.000000000002,4
2,1.0,-5.0,3
2,0.0,-6.0,6
