epsilon,leakage,utility,mask_size
1,0.992,-5.492,9
1,0.9999999999986893,-3.499999999998689,5
1,0.999936,-4.499936,7
1,0.9999999999986893,-3.999999999998689,6
1,0.9999999999934464,-3.999999999993446,6
epsilon,leakage,utility,mask_size
1,0.99999997952,-4.49999997952,7
1,0.99999997952,-3.49999997952,5
1,0.9999999991808,-3.4999999991808,5
1,0.999999995904,-4.499999995904,7
1,0.999999995904,-4.499999995904,7
epsilon,leakage,utility,mask_size
1,0.9999999999934464,-4.499999999993446,7
1,0.9999999999934464,-4.499999999993446,7
1,0.9999999999934464,-4.999999999993446,8
1,0.9999999999934464,-4.499999999993446,7
1,0.9999999999934464,-4.999999999993446,8
epsilon,leakage,utility,mask_size
1,0.96,-3.96,6
1,0.999936,-2.999936,4
1,0.9999872,-2.4999872,3
1,0.9984,-2.9984,4
1,0.96,-3.46,5
epsilon,leakage,utility,mask_size
1,0.9984,-1.9984,2
1,0.99968,-1.4996800000000001,1
1,0.9984,-2.4984,3
1,0.9984,-2.4984,3
1,0.99968,-1.4996800000000001,1
epsilon,leakage,utility,mask_size
2,0.99999997952,-3.49999997952,5
2,0.9999999999999999,-2.5,3
2,0.9999999999999979,-2.999999999999998,4
2,0.999999488,-3.9999994880000003,6
2,0.9999999999999896,-2.4999999999999893,3
epsilon,leakage,utility,mask_size
2,0.999999995904,-1.999999995904,2
2,0.9999998976,-3.9999998976,6
2,0.999999995904,-2.999999995904,4
2,0.9999999991808,-2.9999999991808,4
2,0.999999995904,-2.499999995904,3
epsilon,leakage,utility,mask_size
2,0.9999999999934464,-3.999999999993446,6
2,0.9999999999934464,-2.499999999993446,3
2,0.9999999999934464,-1.9999999999934464,2
2,0.9999999999934464,-3.999999999993446,6
2,0.9999999999934464,-3.999999999993446,6
epsilon,leakage,utility,mask_size
2,0.99999997952,-1.49999997952,1
2,0.96,-3.96,6
2,0.9999872,-1.9999872,2
2,0.99999997952,-1.99999997952,2
2,0.99999744,-1.99999744,2
epsilon,leakage,utility,mask_size
2,0.99968,-1.4996800000000001,1
2,0.99968,-1.9996800000000001,2
2,0.99968,-1.4996800000000001,1
2,0.9984,-2.4984,3
2,0.9984,-1.9984,2
epsilon,leakage,utility,mask_size
3,0.99999999983616,-3.99999999983616,6
3,0.999999995904,-4.499999995904,7
3,0.9984,-4.4984,7
3,0.9999999991808,-2.9999999991808,4
3,1.0,-1.5,1
epsilon,leakage,utility,mask_size
3,0.9999999991808,-1.9999999991808,2
3,0.9999999991808,-1.9999999991808,2
3,0.9999999991808,-1.9999999991808,2
3,0.9999999991808,-1.9999999991808,2
3,0.99999997952,-3.49999997952,5
epsilon,leakage,utility,mask_size
3,0.9999999999934464,-3.499999999993446,5
3,0.9999999999934464,-3.499999999993446,5
3,0.9999999999934464,-3.999999999993446,6
3,0.9999999999934464,-2.499999999993446,3
3,0.9999999999934464,-3.999999999993446,6
epsilon,leakage,utility,mask_size
3,0.99999997952,-1.49999997952,1
3,0.96,-2.46,3
3,0.9999872,-1.9999872,2
3,0.99999997952,-1.49999997952,1
3,0.9999872,-2.9999872,4
epsilon,leakage,utility,mask_size
3,0.9984,-2.4984,3
3,0.99968,-1.4996800000000001,1
