method,dataset,target_attribute,epsilon_m,lambda,L0,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,memory_overhead_bytes,num_instantiated_cells
delmin,hospital,ProviderNumber,,,,0.026686906814575195,0.005511045455932617,0.019888877868652344,0.0012869834899902344,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.026035308837890625,0.004266977310180664,0.020328998565673828,0.0014393329620361328,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.026501893997192383,0.006167888641357422,0.0191500186920166,0.0011839866638183594,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.026065826416015625,0.004358053207397461,0.020546913146972656,0.0011608600616455078,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.023993730545043945,0.0043828487396240234,0.018664836883544922,0.000946044921875,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.022246122360229492,0.0042209625244140625,0.01708507537841797,0.0009400844573974609,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.022188901901245117,0.004181861877441406,0.017091035842895508,0.0009160041809082031,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.022003889083862305,0.0040667057037353516,0.01681804656982422,0.0011191368103027344,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.021142959594726562,0.004431247711181641,0.01562786102294922,0.0010838508605957031,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.02212357521057129,0.004323720932006836,0.016954898834228516,0.0008449554443359375,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.022002458572387695,0.004357337951660156,0.016268014907836914,0.001377105712890625,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.021216154098510742,0.0041408538818359375,0.0161893367767334,0.0008859634399414062,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.02141714096069336,0.004086017608642578,0.016427993774414062,0.0009031295776367188,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.021385908126831055,0.003936767578125,0.01666712760925293,0.000782012939453125,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.02674412727355957,0.004353046417236328,0.016398191452026367,0.005992889404296875,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.01882004737854004,0.004272937774658203,0.013767004013061523,0.0007801055908203125,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.02004528045654297,0.00400996208190918,0.015127182006835938,0.0009081363677978516,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.020481109619140625,0.004024028778076172,0.015367984771728516,0.0010890960693359375,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.020802736282348633,0.00411224365234375,0.01574873924255371,0.0009417533874511719,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.021329164505004883,0.00426793098449707,0.015859365463256836,0.0012018680572509766,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.018892765045166016,0.0040378570556640625,0.01366877555847168,0.0011861324310302734,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.020295143127441406,0.00499725341796875,0.014351844787597656,0.000946044921875,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.01851511001586914,0.003701925277709961,0.013964176177978516,0.0008490085601806641,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.018161535263061523,0.00400996208190918,0.013155698776245117,0.0009958744049072266,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.019683361053466797,0.0038220882415771484,0.014835119247436523,0.001026153564453125,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.017638683319091797,0.0038721561431884766,0.012824773788452148,0.0009417533874511719,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.01833200454711914,0.004712104797363281,0.012686967849731445,0.0009329319000244141,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.017431259155273438,0.003778219223022461,0.012754201889038086,0.0008988380432128906,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.017605066299438477,0.003773927688598633,0.012902021408081055,0.0009291172027587891,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.017461776733398438,0.0036110877990722656,0.012847900390625,0.0010027885437011719,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.019563913345336914,0.004069089889526367,0.014416694641113281,0.0010781288146972656,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.01735401153564453,0.0036809444427490234,0.012742996215820312,0.0009300708770751953,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.020322084426879883,0.004145145416259766,0.015069007873535156,0.001107931137084961,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.020409822463989258,0.003936052322387695,0.015686988830566406,0.0007867813110351562,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.021907806396484375,0.004111766815185547,0.016885995864868164,0.0009100437164306641,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.021899700164794922,0.0041468143463134766,0.01685500144958496,0.0008978843688964844,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.020420312881469727,0.0041332244873046875,0.01532888412475586,0.0009582042694091797,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.020608186721801758,0.003947019577026367,0.015647172927856445,0.0010139942169189453,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.020483970642089844,0.0040130615234375,0.015768766403198242,0.0007021427154541016,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.021741151809692383,0.004263877868652344,0.016648054122924805,0.0008292198181152344,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.018932819366455078,0.004031181335449219,0.014116764068603516,0.0007848739624023438,0.0,0.6623992294064142,-0.5,0,9,2884,10
delmin,hospital,ProviderNumber,,,,0.020150184631347656,0.004052162170410156,0.015176057815551758,0.0009219646453857422,0.0,0.6623992294064142,-0.5,0,9,2884,10
