dataset,target,hypergraph_mode,tau,mask,mask_size,inference_zone_size,leakage_noisy_or,leakage_greedy_disjoint,leakage_max,utility_noisy_or,utility_greedy_disjoint,utility_max,bounds_ok
airport,continent,MAX,,,0,6,0.49830908053361767,0.49830908053361767,0.4021581592014304,-1000.0,-1000.0,-1000.0,True
airport,continent,MAX,,home_link,1,6,0.49830908053361767,0.49830908053361767,0.4021581592014304,-1001.0,-1001.0,-1001.0,True
airport,continent,MAX,,iso_country,1,6,0.23807295734272593,0.23807295734272593,0.1608300302363469,-1001.0,-1001.0,-1001.0,True
airport,continent,MAX,,keywords,1,6,0.49830908053361767,0.49830908053361767,0.4021581592014304,-1001.0,-1001.0,-1001.0,True
airport,continent,MAX,,municipality,1,6,0.49830908053361767,0.49830908053361767,0.4021581592014304,-1001.0,-1001.0,-1001.0,True
airport,continent,MAX,,scheduled_service,1,6,0.4241653878016389,0.4241653878016389,0.4021581592014304,-1001.0,-1001.0,-1001.0,True
airport,continent,MAX,,type,1,6,0.4236357747645122,0.4236357747645122,0.4021581592014304,-1001.0,-1001.0,-1001.0,True
airport,continent,MAX,,home_link|iso_country,2,6,0.23807295734272593,0.23807295734272593,0.1608300302363469,-1002.0,-1002.0,-1002.0,True
airport,continent,MAX,,home_link|keywords,2,6,0.49830908053361767,0.49830908053361767,0.4021581592014304,-1002.0,-1002.0,-1002.0,True
airport,continent,MAX,,home_link|municipality,2,6,0.49830908053361767,0.49830908053361767,0.4021581592014304,-1002.0,-1002.0,-1002.0,True
airport,continent,MAX,,home_link|scheduled_service,2,6,0.4289002727264456,0.4241653878016389,0.4021581592014304,-1002.0,-1002.0,-1002.0,True
airport,continent,MAX,,home_link|type,2,6,0.42837197129498616,0.423727723289243,0.4021581592014304,-1002.0,-1002.0,-1002.0,True
airport,continent,MAX,,iso_country|keywords,2,6,0.23807295734272593,0.23807295734272593,0.1608300302363469,-1002.0,-1002.0,-1002.0,True
airport,continent,MAX,,iso_country|municipality,2,6,0.23807295734272593,0.23807295734272593,0.1608300302363469,-1002.0,-1002.0,-1002.0,True
airport,continent,MAX,,iso_country|scheduled_service,2,6,0.06351171407861356,0.03592524660768637,0.0,-2.0,-2.0,-2.0,True
airport,continent,MAX,,iso_country|type,2,6,0.12466526184245019,0.12466526184245019,0.0,-1002.0,-1002.0,-2.0,True
airport,continent,MAX,,keywords|municipality,2,6,0.49830908053361767,0.49830908053361767,0.4021581592014304,-1002.0,-1002.0,-1002.0,True
