method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsmarginal_em,adult,education,0.03307700157165527,0.003965854644775391,0.026684999465942383,0.0024261474609375,0.49122554744404323,Unnamed: 21,-1000.0,7,0,2858,12,epsilon_m,L0
marginal_em,adult,education,0.0216703414916992,0.001371145248413,0.0182900428771972,0.0020091533660888,0.3038956650102904,,-1001.0,7,1,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0219085216522216,0.0013618469238281,0.01833176612854,0.0022149085998535,0.4912255474440432,,-1000.0,7,0,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0219430923461914,0.0013670921325683,0.0183041095733642,0.0022718906402587,0.0,,-12.0,7,12,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0220942497253417,0.0013520717620849,0.0184450149536132,0.0022971630096435,0.0,,-11.0,7,11,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0225963592529296,0.0013740062713623,0.0182490348815917,0.0029733180999755,0.141854762675785,,-1003.0,7,3,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0221996307373046,0.0013630390167236,0.0182337760925292,0.0026028156280517,0.0,,-10.0,7,10,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0218329429626464,0.0013670921325683,0.0181667804718017,0.0022990703582763,0.3038956650102904,,-1001.0,7,1,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0214440822601318,0.0013391971588134,0.0182058811187744,0.0018990039825439,0.0,,-12.0,7,12,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.021918773651123,0.0013709068298339,0.0182578563690185,0.0022900104522705,0.0004258560715968,,-9.0,7,9,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.021360158920288,0.0013370513916015,0.0182561874389648,0.0017669200897216,0.0,,-11.0,7,11,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.022233247756958,0.0013680458068847,0.0183169841766357,0.0025482177734375,0.0004258560715968,,-9.0,7,9,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.021956443786621,0.0013461112976074,0.018193244934082,0.0024170875549316,0.0,,-11.0,7,11,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0220851898193359,0.0013558864593505,0.0182251930236816,0.0025041103363037,0.2673304963584648,,-1002.0,7,2,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0219998359680175,0.0013461112976074,0.0182259082794189,0.0024278163909912,0.0699460066462226,,-4.0,7,4,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0224361419677734,0.0013439655303955,0.0185248851776123,0.0025672912597656,0.3038956650102904,,-1001.0,7,1,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0226340293884277,0.0013661384582519,0.0186009407043457,0.00266695022583,0.4912255474440432,,-1000.0,7,0,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0224940776824951,0.0013501644134521,0.018583059310913,0.0025608539581298,0.3038956650102904,,-1001.0,7,1,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0226681232452392,0.0013830661773681,0.0185780525207519,0.0027070045471191,0.0,,-12.0,7,12,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0223190784454345,0.0014710426330566,0.0184030532836914,0.0024449825286865,0.0010000749761468,,-8.0,7,8,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0220320224761962,0.0013587474822998,0.0183382034301757,0.0023350715637207,0.0046960875635043,,-6.0,7,6,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0222649574279785,0.0013709068298339,0.0182540416717529,0.0026400089263916,0.3038956650102904,,-1001.0,7,1,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0219085216522216,0.0013539791107177,0.0181288719177246,0.0024256706237792,0.0004258560715968,,-9.0,7,9,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0223691463470459,0.0013539791107177,0.0181550979614257,0.0028600692749023,0.141854762675785,,-1003.0,7,3,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0222063064575195,0.0013461112976074,0.0181989669799804,0.0026612281799316,0.0699460066462226,,-4.0,7,4,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0224509239196777,0.0013418197631835,0.0180990695953369,0.0030100345611572,0.0699460066462226,,-4.0,7,4,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0222988128662109,0.0013248920440673,0.0181610584259033,0.0028128623962402,0.0,,-11.0,7,11,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0221900939941406,0.0013489723205566,0.0181701183319091,0.0026710033416748,0.0046960875635043,,-6.0,7,6,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0228970050811767,0.0013349056243896,0.0183160305023193,0.0032460689544677,0.2673304963584648,,-1002.0,7,2,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0233349800109863,0.0013420581817626,0.0183520317077636,0.0036408901214599,0.0,,-12.0,7,12,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0217819213867187,0.0013480186462402,0.0182688236236572,0.0021650791168212,0.4912255474440432,,-1000.0,7,0,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0225589275360107,0.0013289451599121,0.0181169509887695,0.0031130313873291,0.0,,-11.0,7,11,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0220973491668701,0.0013482570648193,0.0182127952575683,0.0025362968444824,0.0,,-10.0,7,10,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0226659774780273,0.0013842582702636,0.0183868408203125,0.0028948783874511,0.2673304963584648,,-1002.0,7,2,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0223939418792724,0.0013670921325683,0.0182440280914306,0.0027828216552734,0.0623400217666499,,-5.0,7,5,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0221388339996337,0.0013339519500732,0.0182459354400634,0.002558946609497,0.4912255474440432,,-1000.0,7,0,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0224277973175048,0.0013470649719238,0.0182206630706787,0.0028600692749023,0.0010000749761468,,-8.0,7,8,2858,12,,,,,,,,,,,,,,0.0,0.1
marginal_em,adult,education,0.0340921878814697,0.001357078552246,0.0294561386108398,0.0032789707183837,0.4912255474440432,,-1000.0,7,0,2858,12,,,,,,,,,,,,,,0.0,0.1
