method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsmarginal_em,hospital,ProviderNumber,0.027265071868896484,0.0014500617980957031,0.023368120193481445,0.002446889877319336,0.0001443939775050973,Unnamed: 21,-9.0,4,9,1823,10,epsilon_m,L0
marginal_em,hospital,ProviderNumber,0.0202977657318115,0.0005300045013427,0.017514944076538,0.0022528171539306,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0166668891906738,0.0005240440368652,0.013838768005371,0.0023040771484375,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.016298770904541,0.0005159378051757,0.0135390758514404,0.0022437572479248,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.015718936920166,0.0005280971527099,0.0129690170288085,0.0022218227386474,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0152451992034912,0.0005261898040771,0.0124080181121826,0.0023109912872314,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0147972106933593,0.000533103942871,0.0119860172271728,0.0022780895233154,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0142269134521484,0.0005428791046142,0.0120010375976562,0.0016829967498779,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0143454074859619,0.000528335571289,0.0121960639953613,0.0016210079193115,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0141909122467041,0.0005290508270263,0.0119998455047607,0.0016620159149169,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0130269527435302,0.0005528926849365,0.0107889175415039,0.0016851425170898,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0143461227416992,0.0005512237548828,0.011927843093872,0.0018670558929443,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0126829147338867,0.0005340576171875,0.010434865951538,0.0017139911651611,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0136010646820068,0.0005159378051757,0.0113840103149414,0.0017011165618896,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0129687786102294,0.0005431175231933,0.0106399059295654,0.0017857551574707,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0143961906433105,0.0005209445953369,0.0115740299224853,0.0023012161254882,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.015334129333496,0.0005550384521484,0.0121331214904785,0.0026459693908691,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0145239830017089,0.0005271434783935,0.0117979049682617,0.0021989345550537,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0229840278625488,0.0005168914794921,0.0202858448028564,0.0021812915802001,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0142021179199218,0.0005178451538085,0.011584997177124,0.0020992755889892,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0143787860870361,0.0005240440368652,0.0117828845977783,0.0020718574523925,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0145876407623291,0.0005338191986083,0.0118999481201171,0.0021538734436035,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0137410163879394,0.0005269050598144,0.0113210678100585,0.0018930435180664,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.014578104019165,0.0005280971527099,0.0119729042053222,0.0020771026611328,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0147948265075683,0.0005371570587158,0.0119388103485107,0.0023188591003417,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0148677825927734,0.000540018081665,0.0119538307189941,0.0023739337921142,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0141060352325439,0.0005278587341308,0.0115749835968017,0.0020031929016113,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0146594047546386,0.0005323886871337,0.0118918418884277,0.0022351741790771,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0143530368804931,0.0005192756652832,0.011650800704956,0.0021829605102539,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.014178991317749,0.0005121231079101,0.0115489959716796,0.0021178722381591,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0147261619567871,0.0005338191986083,0.0120022296905517,0.0021901130676269,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0144309997558593,0.0005247592926025,0.0117490291595458,0.0021572113037109,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0146689414978027,0.000523567199707,0.0117952823638916,0.0023500919342041,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0144541263580322,0.0005440711975097,0.0118441581726074,0.002065896987915,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0144336223602294,0.0005297660827636,0.0116400718688964,0.0022637844085693,0.0,,-10.0,4,10,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0138161182403564,0.0005350112915039,0.0117592811584472,0.0015218257904052,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.014362096786499,0.0005292892456054,0.0115919113159179,0.0022408962249755,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0142431259155273,0.0005230903625488,0.0116829872131347,0.0020370483398437,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0143265724182128,0.0005178451538085,0.0115659236907958,0.0022428035736083,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0136740207672119,0.0005309581756591,0.0115530490875244,0.0015900135040283,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0141758918762207,0.0005040168762207,0.0120420455932617,0.0016298294067382,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0149517059326171,0.0005738735198974,0.0119719505310058,0.0024058818817138,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0142619609832763,0.000572919845581,0.0115540027618408,0.0021350383758544,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0147438049316406,0.0005199909210205,0.012063980102539,0.002159833908081,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0143177509307861,0.0005152225494384,0.011690616607666,0.0021119117736816,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0142817497253417,0.000533103942871,0.0116238594055175,0.0021247863769531,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0138971805572509,0.0005028247833251,0.0118012428283691,0.0015931129455566,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0145885944366455,0.0005040168762207,0.0117707252502441,0.0023138523101806,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0146052837371826,0.0005130767822265,0.0119380950927734,0.0021541118621826,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.014672040939331,0.0005300045013427,0.0118119716644287,0.0023300647735595,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0145180225372314,0.0005297660827636,0.0117619037628173,0.0022263526916503,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0145890712738037,0.0005321502685546,0.0119447708129882,0.0021121501922607,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0144939422607421,0.0005309581756591,0.0118687152862548,0.0020942687988281,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0145554542541503,0.0005202293395996,0.0119960308074951,0.0020391941070556,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0146098136901855,0.0005159378051757,0.011786937713623,0.0023069381713867,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0146238803863525,0.0005388259887695,0.011965274810791,0.0021197795867919,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0144820213317871,0.0005278587341308,0.0118951797485351,0.002058982849121,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0149567127227783,0.0005209445953369,0.0120530128479003,0.002382755279541,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0146059989929199,0.0005419254302978,0.0119428634643554,0.0021212100982666,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0139567852020263,0.000547170639038,0.0118038654327392,0.001605749130249,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0139429569244384,0.0005338191986083,0.0119082927703857,0.0015008449554443,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0144789218902587,0.0005269050598144,0.011674165725708,0.0022778511047363,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.014388084411621,0.0005240440368652,0.0116169452667236,0.0022470951080322,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0140109062194824,0.0005297660827636,0.011531114578247,0.0019500255584716,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0144331455230712,0.0005257129669189,0.0116732120513916,0.0022342205047607,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0142092704772949,0.0005261898040771,0.011549949645996,0.0021331310272216,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
marginal_em,hospital,ProviderNumber,0.0140833854675292,0.0005197525024414,0.0116353034973144,0.0019283294677734,0.000144393977505,,-9.0,4,9,1823,10,,,,,,,,,,,,,,1.0,0.025
