lambda,leakage,utility,mask_size
0.7,0.5681900575173376,-0.5177330402621364,2
0.7,0.2288821396123376,-0.40021749772863635,4
0.7,0.7151856454814501,-0.5006299518370151,0
0.7,0.682552015129659,-0.5377864105907613,1
0.7,0.7151856454814501,-0.5006299518370151,0
0.7,0.7151856454814501,-0.5006299518370151,0
0.7,0.0,-0.30000000000000004,5
0.7,0.4500384497208755,-0.4950269148046128,3
0.7,0.0,-0.36000000000000004,6
0.7,0.2693617282096118,-0.4885532097467283,5
0.7,0.4433069423225279,-0.4903148596257695,3
0.7,0.36457513891655857,-0.49520259724159105,4
0.7,0.0,-0.36000000000000004,6
0.7,0.4697142498776278,-0.44879997491433943,2
0.7,0.2288821396123376,-0.40021749772863635,4
0.7,0.2288821396123376,-0.3402174977286363,3
0.7,0.46957305266532445,-0.4487011368657271,2
0.7,0.37561473038408055,-0.38293031126885635,2
0.7,0.0,-0.36000000000000004,6
0.7,0.7151856454814501,-0.5006299518370151,0
0.7,0.6328149070033673,-0.502970434902357,1
0.7,0.7151856454814501,-0.5006299518370151,0
0.7,0.0,-0.36000000000000004,6
0.7,0.46957305266532445,-0.4487011368657271,2
0.7,0.0,-0.36000000000000004,6
0.7,0.46957305266532445,-0.4487011368657271,2
0.7,0.0,-0.36000000000000004,6
0.7,0.7151856454814501,-0.5006299518370151,0
0.7,0.0,-0.36000000000000004,6
0.7,0.0,-0.36000000000000004,6
0.7,0.0920468199405825,-0.2444327739584078,3
0.7,0.0920468199405825,-0.3644327739584078,5
0.7,0.6646451700889366,-0.5252516190622556,1
0.7,0.46957305266532445,-0.5087011368657272,3
0.7,0.0,-0.36000000000000004,6
0.7,0.0,-0.36000000000000004,6
0.7,0.2288821396123376,-0.46021749772863635,5
0.7,0.0,-0.36000000000000004,6
0.7,0.7151856454814501,-0.5006299518370151,0
0.7,0.0,-0.36000000000000004,6
0.7,0.31213245784760435,-0.45849272049332307,4
0.7,0.37544847764307687,-0.4428139343501538,3
0.7,0.0920468199405825,-0.3044327739584078,4
0.7,0.7151856454814501,-0.5006299518370151,0
0.7,0.5912472883588642,-0.533873101851205,2
0.7,0.0,-0.36000000000000004,6
0.7,0.0,-0.36000000000000004,6
0.7,0.4365917791396565,-0.5456142453977596,4
0.7,0.0,-0.36000000000000004,6
0.7,0.2288821396123376,-0.40021749772863635,4
0.7,0.7151856454814501,-0.5006299518370151,0
0.7,0.4697142498776278,-0.38879997491433943,1
0.7,0.0920468199405825,-0.3044327739584078,4
0.7,0.682552015129659,-0.5377864105907613,1
0.7,0.4697142498776278,-0.38879997491433943,1
0.7,0.07059070463900075,-0.34941349324730053,5
0.7,0.5912472883588642,-0.533873101851205,2
0.7,0.5598596569804244,-0.511901759886297,2
0.7,0.2288821396123376,-0.46021749772863635,5
0.7,0.2288821396123376,-0.40021749772863635,4
0.7,0.527204740336032,-0.4890433182352224,2
0.7,0.37561473038408055,-0.4429303112688564,3
0.7,0.5598596569804244,-0.511901759886297,2
0.7,0.5598596569804244,-0.511901759886297,2
0.7,0.0,-0.24000000000000005,4
0.7,0.4697142498776278,-0.44879997491433943,2
0.7,0.0,-0.24000000000000005,4
0.7,0.2288821396123376,-0.3402174977286363,3
0.7,0.6646451700889366,-0.5252516190622556,1
0.7,0.2288821396123376,-0.46021749772863635,5
0.7,0.4697142498776278,-0.44879997491433943,2
0.7,0.633267038153267,-0.5032869267072869,1
0.7,0.0920468199405825,-0.3644327739584078,5
0.7,0.0920468199405825,-0.3044327739584078,4
0.7,0.7151856454814501,-0.5006299518370151,0
0.7,0.0,-0.30000000000000004,5
0.7,0.312315565021691,-0.3986208955151837,3
0.7,0.7151856454814501,-0.5006299518370151,0
0.7,0.7151856454814501,-0.5006299518370151,0
0.7,0.0920468199405825,-0.3044327739584078,4
0.7,0.2790853616047787,-0.43535975312334513,4
0.7,0.6646451700889366,-0.5252516190622556,1
0.7,0.0920468199405825,-0.3644327739584078,5
0.7,0.7151856454814501,-0.5006299518370151,0
0.7,0.0,-0.36000000000000004,6
0.7,0.0,-0.36000000000000004,6
0.7,0.5912472883588642,-0.533873101851205,2
0.7,0.0,-0.30000000000000004,5
0.7,0.0920468199405825,-0.3644327739584078,5
0.7,0.7151856454814501,-0.5006299518370151,0
0.7,0.0,-0.36000000000000004,6
0.7,0.6328149070033673,-0.502970434902357,1
0.7,0.0,-0.36000000000000004,6
0.7,0.4365917791396565,-0.5456142453977596,4
0.7,0.0,-0.36000000000000004,6
0.7,0.0920468199405825,-0.2444327739584078,3
0.7,0.7151856454814501,-0.5006299518370151,0
0.7,0.5681900575173376,-0.5177330402621364,2
0.7,0.4500384497208755,-0.4950269148046128,3
0.7,0.0,-0.36000000000000004,6
0.7,0.42853421735144903,-0.4999739521460143,6
0.7,0.5468475106079831,-0.5494599240922549,5
0.7,0.261836400724347,-0.3832854805070429,6
0.7,0.6623992294064142,-0.4970127939178232,1
0.7,0.37624468341594786,-0.43003794505783016,5
0.7,0.2629936790618288,-0.38409557534328015,6
0.7,0.6623992294064142,-0.4970127939178232,1
0.7,0.0001443939775050973,-0.3001010757842536,9
0.7,0.3592419527878562,-0.41813603361816604,5
0.7,0.261836400724347,-0.3832854805070429,6
0.7,0.21940735109689347,-0.4535851457678255,9
0.7,0.6623992294064142,-0.4636794605844899,0
0.7,0.24175913958548945,-0.43589806437650935,8
0.7,0.0,-0.33333333333333337,10
0.7,0.261836400724347,-0.41661881384037625,7
0.7,0.21940735109689347,-0.3535851457678254,6
0.7,0.6623992294064142,-0.4636794605844899,0
0.7,0.5069645614182471,-0.4882085263261063,4
0.7,0.6623992294064142,-0.4636794605844899,0
0.7,0.21940735109689347,-0.42025181243449217,8
0.7,0.0,-0.33333333333333337,10
0.7,0.6623992294064142,-0.4970127939178232,1
0.7,0.1406397288464628,-0.3651144768591907,8
0.7,0.37624468341594786,-0.33003794505783013,2
0.7,0.6090400455538584,-0.4596613652210342,1
0.7,0.385599188513301,-0.5032527652926441,7
0.7,0.5069645614182471,-0.4548751929927729,3
0.7,0.6623992294064142,-0.4970127939178232,1
